Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Blood Lust,2.0,['Red'],['R'],None,['Instant'],None,Common,4ED,None,None,None,"If target creature has toughness 5 or greater, it gets +4/-4 until end of turn. Otherwise, it gets +4/-X until end of turn, where X is its toughness minus 1."
Bird Maiden,3.0,['Red'],['R'],None,['Creature'],"['Human', 'Bird']",Common,4ED,1,2,None,Flying
Ball Lightning,3.0,['Red'],['R'],None,['Creature'],['Elemental'],Rare,4ED,6,1,None,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)\nHaste (This creature can attack and {T} as soon as it comes under your control.)\nAt the beginning of the end step, sacrifice Ball Lightning."
Ali Baba,1.0,['Red'],['R'],None,['Creature'],"['Human', 'Rogue']",Uncommon,4ED,1,1,None,{R}: Tap target Wall.
Zombie Master,3.0,['Black'],['B'],None,['Creature'],['Zombie'],Rare,4ED,2,3,None,"Other Zombie creatures have swampwalk. (They can't be blocked as long as defending player controls a Swamp.)\nOther Zombies have ""{B}: Regenerate this permanent."""
Xenic Poltergeist,3.0,['Black'],['B'],None,['Creature'],['Spirit'],Rare,4ED,1,1,None,"{T}: Until your next upkeep, target noncreature artifact becomes an artifact creature with power and toughness each equal to its mana value."
Word of Binding,2.0,['Black'],['B'],None,['Sorcery'],None,Common,4ED,None,None,None,Tap X target creatures.
Will-o'-the-Wisp,1.0,['Black'],['B'],None,['Creature'],['Spirit'],Rare,4ED,0,1,None,"Flying (This creature can't be blocked except by creatures with flying or reach.)\n{B}: Regenerate Will-o'-the-Wisp. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
Weakness,1.0,['Black'],['B'],None,['Enchantment'],['Aura'],Common,4ED,None,None,None,Enchant creature\nEnchanted creature gets -2/-1.
Warp Artifact,2.0,['Black'],['B'],None,['Enchantment'],['Aura'],Rare,4ED,None,None,None,"Enchant artifact\nAt the beginning of the upkeep of enchanted artifact's controller, Warp Artifact deals 1 damage to that player."
Wall of Bone,3.0,['Black'],['B'],None,['Creature'],"['Skeleton', 'Wall']",Uncommon,4ED,1,4,None,"Defender (This creature can't attack.)\n{B}: Regenerate Wall of Bone. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
Vampire Bats,1.0,['Black'],['B'],None,['Creature'],['Bat'],Common,4ED,0,1,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{B}: Vampire Bats gets +1/+0 until end of turn. Activate no more than twice each turn.
Unholy Strength,1.0,['Black'],['B'],None,['Enchantment'],['Aura'],Common,4ED,None,None,None,Enchant creature\nEnchanted creature gets +2/+1.
Terror,2.0,['Black'],['B'],None,['Instant'],None,Common,4ED,None,None,None,"Destroy target nonartifact, nonblack creature. It can't be regenerated."
Spirit Shackle,2.0,['Black'],['B'],None,['Enchantment'],['Aura'],Uncommon,4ED,None,None,None,"Enchant creature\nWhenever enchanted creature becomes tapped, put a -0/-2 counter on it."
Uncle Istvan,4.0,['Black'],['B'],None,['Creature'],['Human'],Uncommon,4ED,1,3,None,Prevent all damage that would be dealt to Uncle Istvan by creatures.
Brothers of Fire,3.0,['Red'],['R'],None,['Creature'],"['Human', 'Shaman']",Common,4ED,2,2,None,{1}{R}{R}: Brothers of Fire deals 1 damage to any target and 1 damage to you.
Junún Efreet,3.0,['Black'],['B'],None,['Creature'],['Efreet'],Uncommon,4ED,3,3,None,"Flying\nAt the beginning of your upkeep, sacrifice Junún Efreet unless you pay {B}{B}."
Hypnotic Specter,3.0,['Black'],['B'],None,['Creature'],['Specter'],Uncommon,4ED,2,2,None,"Flying\nWhenever Hypnotic Specter deals damage to an opponent, that player discards a card at random."
Howl from Beyond,1.0,['Black'],['B'],None,['Instant'],None,Common,4ED,None,None,None,Target creature gets +X/+0 until end of turn.
Greed,4.0,['Black'],['B'],None,['Enchantment'],None,Rare,4ED,None,None,None,"{B}, Pay 2 life: Draw a card."
Gloom,3.0,['Black'],['B'],None,['Enchantment'],None,Uncommon,4ED,None,None,None,White spells cost {3} more to cast.\nActivated abilities of white enchantments cost {3} more to activate.
Frozen Shade,3.0,['Black'],['B'],None,['Creature'],['Shade'],Common,4ED,0,1,None,{B}: Frozen Shade gets +1/+1 until end of turn.
Fear,2.0,['Black'],['B'],None,['Enchantment'],['Aura'],Common,4ED,None,None,None,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)
Evil Presence,1.0,['Black'],['B'],None,['Enchantment'],['Aura'],Uncommon,4ED,None,None,None,Enchant land\nEnchanted land is a Swamp.
Erg Raiders,2.0,['Black'],['B'],None,['Creature'],"['Human', 'Warrior']",Common,4ED,2,3,None,"At the beginning of your end step, if Erg Raiders didn't attack this turn, Erg Raiders deals 2 damage to you unless it came under your control this turn."
Giant Tortoise,2.0,['Blue'],['U'],None,['Creature'],['Turtle'],Common,4ED,1,1,None,Giant Tortoise gets +0/+3 as long as it's untapped.
Ghost Ship,4.0,['Blue'],['U'],None,['Creature'],['Spirit'],Uncommon,4ED,2,4,None,Flying\n{U}{U}{U}: Regenerate Ghost Ship.
Gaseous Form,3.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Common,4ED,None,None,None,Enchant creature\nPrevent all combat damage that would be dealt to and dealt by enchanted creature.
Flood,1.0,['Blue'],['U'],None,['Enchantment'],None,Common,4ED,None,None,None,{U}{U}: Tap target creature without flying.
Flight,1.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Common,4ED,None,None,None,Enchant creature\nEnchanted creature has flying.
Feedback,3.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Uncommon,4ED,None,None,None,"Enchant enchantment\nAt the beginning of the upkeep of enchanted enchantment's controller, Feedback deals 1 damage to that player."
Erosion,3.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Common,4ED,None,None,None,"Enchant land\nAt the beginning of the upkeep of enchanted land's controller, destroy that land unless that player pays {1} or 1 life."
Energy Tap,1.0,['Blue'],['U'],None,['Sorcery'],None,Common,4ED,None,None,None,"Tap target untapped creature you control. If you do, add an amount of {C} equal to that creature's mana value."
Energy Flux,3.0,['Blue'],['U'],None,['Enchantment'],None,Uncommon,4ED,None,None,None,"All artifacts have ""At the beginning of your upkeep, sacrifice this artifact unless you pay {2}."""
Fortified Area,3.0,['White'],['W'],None,['Enchantment'],None,Common,4ED,None,None,None,"Wall creatures you control get +1/+0 and have banding. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)"
Eye for an Eye,2.0,['White'],['W'],None,['Instant'],None,Rare,4ED,None,None,None,"The next time a source of your choice would deal damage to you this turn, instead that source deals that much damage to you and Eye for an Eye deals that much damage to that source's controller."
Elder Land Wurm,7.0,['White'],['W'],None,['Creature'],"['Dragon', 'Wurm']",Rare,4ED,5,5,None,"Defender, trample\nWhen Elder Land Wurm blocks, it loses defender."
El-Hajjâj,3.0,['Black'],['B'],None,['Creature'],"['Human', 'Wizard']",Rare,4ED,1,1,None,"Whenever El-Hajjâj deals damage, you gain that much life."
Drudge Skeletons,2.0,['Black'],['B'],None,['Creature'],['Skeleton'],Common,4ED,1,1,None,"{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
Drain Life,2.0,['Black'],['B'],None,['Sorcery'],None,Common,4ED,None,None,None,"Spend only black mana on X.\nDrain Life deals X damage to any target. You gain life equal to the damage dealt, but not more life than the player's life total before the damage was dealt, the planeswalker's loyalty before the damage was dealt, or the creature's toughness."
Deathlace,1.0,['Black'],['B'],None,['Instant'],None,Rare,4ED,None,None,None,Target spell or permanent becomes black. (Mana symbols on that permanent remain unchanged.)
Deathgrip,2.0,['Black'],['B'],None,['Enchantment'],None,Uncommon,4ED,None,None,None,{B}{B}: Counter target green spell.
Dark Ritual,1.0,['Black'],['B'],None,['Instant'],None,Common,4ED,None,None,None,Add {B}{B}{B}.
Wall of Water,3.0,['Blue'],['U'],None,['Creature'],['Wall'],Uncommon,4ED,0,5,None,Defender (This creature can't attack.)\n{U}: Wall of Water gets +1/+0 until end of turn.
Carrion Ants,4.0,['Black'],['B'],None,['Creature'],['Insect'],Uncommon,4ED,0,1,None,{1}: Carrion Ants gets +1/+1 until end of turn.
Cursed Land,4.0,['Black'],['B'],None,['Enchantment'],['Aura'],Uncommon,4ED,None,None,None,"Enchant land\nAt the beginning of the upkeep of enchanted land's controller, Cursed Land deals 1 damage to that player."
Cyclopean Mummy,2.0,['Black'],['B'],None,['Creature'],['Zombie'],Common,4ED,2,1,None,"When Cyclopean Mummy dies, exile it."
Cosmic Horror,6.0,['Black'],['B'],None,['Creature'],['Horror'],Rare,4ED,7,7,None,"First strike\nAt the beginning of your upkeep, destroy Cosmic Horror unless you pay {3}{B}{B}{B}. If Cosmic Horror is destroyed this way, it deals 7 damage to you."
