Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Amber Prison,4.0,None,None,None,['Artifact'],None,Rare,6ED,None,None,None,"You may choose not to untap Amber Prison during your untap step.\n{4}, {T}: Tap target artifact, creature, or land. That permanent doesn't untap during its controller's untap step for as long as Amber Prison remains tapped."
Ankh of Mishra,2.0,None,None,None,['Artifact'],None,Rare,6ED,None,None,None,"Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller."
Ashnod's Altar,3.0,None,None,None,['Artifact'],None,Uncommon,6ED,None,None,None,Sacrifice a creature: Add {C}{C}.
Bottle of Suleiman,4.0,None,None,None,['Artifact'],None,Rare,6ED,None,None,None,"{1}, Sacrifice Bottle of Suleiman: Flip a coin. If you win the flip, create a 5/5 colorless Djinn artifact creature token with flying. If you lose the flip, Bottle of Suleiman deals 5 damage to you."
Charcoal Diamond,2.0,None,['B'],None,['Artifact'],None,Uncommon,6ED,None,None,None,Charcoal Diamond enters the battlefield tapped.\n{T}: Add {B}.
Crystal Rod,1.0,None,None,None,['Artifact'],None,Uncommon,6ED,None,None,None,"Whenever a player casts a blue spell, you may pay {1}. If you do, you gain 1 life."
Cursed Totem,2.0,None,None,None,['Artifact'],None,Rare,6ED,None,None,None,Activated abilities of creatures can't be activated.
Dancing Scimitar,4.0,None,None,None,"['Artifact', 'Creature']",['Spirit'],Rare,6ED,1,5,None,Flying (This creature can't be blocked except by creatures with flying or reach.)
Dingus Egg,4.0,None,None,None,['Artifact'],None,Rare,6ED,None,None,None,"Whenever a land is put into a graveyard from the battlefield, Dingus Egg deals 2 damage to that land's controller."
Disrupting Scepter,3.0,None,None,None,['Artifact'],None,Rare,6ED,None,None,None,"{3}, {T}: Target player discards a card. Activate only during your turn."
Dragon Engine,3.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,6ED,1,3,None,{2}: Dragon Engine gets +1/+0 until end of turn.
Dragon Mask,3.0,None,None,None,['Artifact'],None,Uncommon,6ED,None,None,None,"{3}, {T}: Target creature you control gets +2/+2 until end of turn. Return it to its owner's hand at the beginning of the next end step. (Return it only if it's on the battlefield.)"
Fire Diamond,2.0,None,['R'],None,['Artifact'],None,Uncommon,6ED,None,None,None,Fire Diamond enters the battlefield tapped.\n{T}: Add {R}.
Flying Carpet,4.0,None,None,None,['Artifact'],None,Rare,6ED,None,None,None,"{2}, {T}: Target creature gains flying until end of turn."
Fountain of Youth,0.0,None,None,None,['Artifact'],None,Uncommon,6ED,None,None,None,"{2}, {T}: You gain 1 life."
Glasses of Urza,1.0,None,None,None,['Artifact'],None,Uncommon,6ED,None,None,None,{T}: Look at target player's hand.
Grinning Totem,4.0,None,None,None,['Artifact'],None,Rare,6ED,None,None,None,"{2}, {T}, Sacrifice Grinning Totem: Search target opponent's library for a card and exile it. Then that player shuffles. Until the beginning of your next upkeep, you may play that card. At the beginning of your next upkeep, if you haven't played it, put it into its owner's graveyard."
The Hive,5.0,None,None,None,['Artifact'],None,Rare,6ED,None,None,None,"{5}, {T}: Create a 1/1 colorless Insect artifact creature token with flying named Wasp. (It can't be blocked except by creatures with flying or reach.)"
Howling Mine,2.0,None,None,None,['Artifact'],None,Rare,6ED,None,None,None,"At the beginning of each player's draw step, if Howling Mine is untapped, that player draws an additional card."
