Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Underground River,0.0,None,"['B', 'U']",None,['Land'],None,Rare,7ED,None,None,None,{T}: Add {C}.\n{T}: Add {U} or {B}. Underground River deals 1 damage to you.
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,7ED,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,7ED,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,7ED,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,7ED,None,None,None,({T}: Add {B}.)
Sulfurous Springs,0.0,None,"['B', 'R']",None,['Land'],None,Rare,7ED,None,None,None,{T}: Add {C}.\n{T}: Add {B} or {R}. Sulfurous Springs deals 1 damage to you.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,7ED,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,7ED,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,7ED,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,7ED,None,None,None,({T}: Add {W}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,7ED,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,7ED,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,7ED,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,7ED,None,None,None,({T}: Add {R}.)
Karplusan Forest,0.0,None,"['G', 'R']",None,['Land'],None,Rare,7ED,None,None,None,{T}: Add {C}.\n{T}: Add {R} or {G}. Karplusan Forest deals 1 damage to you.
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,7ED,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,7ED,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,7ED,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,7ED,None,None,None,({T}: Add {U}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,7ED,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,7ED,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,7ED,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,7ED,None,None,None,({T}: Add {G}.)
City of Brass,0.0,None,None,None,['Land'],None,Rare,7ED,None,None,None,"Whenever City of Brass becomes tapped, it deals 1 damage to you.\n{T}: Add one mana of any color."
Brushland,0.0,None,"['G', 'W']",None,['Land'],None,Rare,7ED,None,None,None,{T}: Add {C}.\n{T}: Add {G} or {W}. Brushland deals 1 damage to you.
Adarkar Wastes,0.0,None,"['U', 'W']",None,['Land'],None,Rare,7ED,None,None,None,{T}: Add {C}.\n{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you.
Wooden Sphere,1.0,None,None,None,['Artifact'],None,Uncommon,7ED,None,None,None,"Whenever a player casts a green spell, you may pay {1}. If you do, you gain 1 life."
Wall of Spears,3.0,None,None,None,"['Artifact', 'Creature']",['Wall'],Uncommon,7ED,2,3,None,Defender (This creature can't attack.)\nFirst strike
Throne of Bone,1.0,None,None,None,['Artifact'],None,Uncommon,7ED,None,None,None,"Whenever a player casts a black spell, you may pay {1}. If you do, you gain 1 life."
Teferi's Puzzle Box,4.0,None,None,None,['Artifact'],None,Rare,7ED,None,None,None,"At the beginning of each player's draw step, that player puts the cards in their hand on the bottom of their library in any order, then draws that many cards."
Storm Cauldron,5.0,None,None,None,['Artifact'],None,Rare,7ED,None,None,None,"Each player may play an additional land during each of their turns.\nWhenever a land is tapped for mana, return it to its owner's hand."
Static Orb,3.0,None,None,None,['Artifact'],None,Rare,7ED,None,None,None,"As long as Static Orb is untapped, players can't untap more than two permanents during their untap steps."
Spellbook,0.0,None,None,None,['Artifact'],None,Uncommon,7ED,None,None,None,You have no maximum hand size.
Soul Net,1.0,None,None,None,['Artifact'],None,Uncommon,7ED,None,None,None,"Whenever a creature dies, you may pay {1}. If you do, you gain 1 life."
Sky Diamond,2.0,None,['U'],None,['Artifact'],None,Uncommon,7ED,None,None,None,Sky Diamond enters the battlefield tapped.\n{T}: Add {U}.
Sisay's Ring,4.0,None,None,None,['Artifact'],None,Uncommon,7ED,None,None,None,{T}: Add {C}{C}.
Rod of Ruin,4.0,None,None,None,['Artifact'],None,Uncommon,7ED,None,None,None,"{3}, {T}: Rod of Ruin deals 1 damage to any target."
