Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Silverback Ape,5.0,['Green'],['G'],None,['Creature'],['Ape'],Uncommon,8ED,5,5,None,None
Enormous Baloth,7.0,['Green'],['G'],None,['Creature'],['Beast'],Uncommon,8ED,7,7,None,None
Vizzerdrix,7.0,['Blue'],['U'],None,['Creature'],"['Rabbit', 'Beast']",Rare,8ED,6,6,None,None
Sea Eagle,2.0,['Blue'],['U'],None,['Creature'],['Bird'],Common,8ED,1,1,None,Flying
Giant Octopus,4.0,['Blue'],['U'],None,['Creature'],['Octopus'],Common,8ED,3,3,None,None
Vengeance,4.0,['White'],['W'],None,['Sorcery'],None,Uncommon,8ED,None,None,None,Destroy target tapped creature.
Eager Cadet,1.0,['White'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,8ED,1,1,None,None
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,8ED,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,8ED,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,8ED,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,8ED,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,8ED,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,8ED,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,8ED,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,8ED,None,None,None,({T}: Add {R}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,8ED,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,8ED,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,8ED,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,8ED,None,None,None,({T}: Add {B}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,8ED,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,8ED,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,8ED,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,8ED,None,None,None,({T}: Add {U}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,8ED,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,8ED,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,8ED,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,8ED,None,None,None,({T}: Add {W}.)
Urza's Tower,0.0,None,None,None,['Land'],"['Urza’s', 'Tower']",Uncommon,8ED,None,None,None,"{T}: Add {C}. If you control an Urza's Mine and an Urza's Power-Plant, add {C}{C}{C} instead."
Urza's Power Plant,0.0,None,None,None,['Land'],"['Urza’s', 'Power-Plant']",Uncommon,8ED,None,None,None,"{T}: Add {C}. If you control an Urza's Mine and an Urza's Tower, add {C}{C} instead."
Urza's Mine,0.0,None,None,None,['Land'],"['Urza’s', 'Mine']",Uncommon,8ED,None,None,None,"{T}: Add {C}. If you control an Urza's Power-Plant and an Urza's Tower, add {C}{C} instead."
Urborg Volcano,0.0,None,"['B', 'R']",None,['Land'],None,Uncommon,8ED,None,None,None,Urborg Volcano enters the battlefield tapped.\n{T}: Add {B} or {R}.
Shivan Oasis,0.0,None,"['G', 'R']",None,['Land'],None,Uncommon,8ED,None,None,None,Shivan Oasis enters the battlefield tapped.\n{T}: Add {R} or {G}.
Salt Marsh,0.0,None,"['B', 'U']",None,['Land'],None,Uncommon,8ED,None,None,None,Salt Marsh enters the battlefield tapped.\n{T}: Add {U} or {B}.
Elfhame Palace,0.0,None,"['G', 'W']",None,['Land'],None,Uncommon,8ED,None,None,None,Elfhame Palace enters the battlefield tapped.\n{T}: Add {G} or {W}.
Coastal Tower,0.0,None,"['U', 'W']",None,['Land'],None,Uncommon,8ED,None,None,None,Coastal Tower enters the battlefield tapped.\n{T}: Add {W} or {U}.
City of Brass,0.0,None,None,None,['Land'],None,Rare,8ED,None,None,None,"Whenever City of Brass becomes tapped, it deals 1 damage to you.\n{T}: Add one mana of any color."
Wooden Sphere,1.0,None,None,None,['Artifact'],None,Uncommon,8ED,None,None,None,"Whenever a player casts a green spell, you may pay {1}. If you do, you gain 1 life."
Wall of Spears,3.0,None,None,None,"['Artifact', 'Creature']",['Wall'],Uncommon,8ED,2,3,None,Defender (This creature can't attack.)\nFirst strike
Vexing Arcanix,4.0,None,None,None,['Artifact'],None,Rare,8ED,None,None,None,"{3}, {T}: Target player chooses a card name, then reveals the top card of their library. If that card has the chosen name, that player puts it into their hand. Otherwise, they put it into their graveyard and Vexing Arcanix deals 2 damage to them."
Urza's Armor,6.0,None,None,None,['Artifact'],None,Rare,8ED,None,None,None,"If a source would deal damage to you, prevent 1 of that damage."
Throne of Bone,1.0,None,None,None,['Artifact'],None,Uncommon,8ED,None,None,None,"Whenever a player casts a black spell, you may pay {1}. If you do, you gain 1 life."
Teferi's Puzzle Box,4.0,None,None,None,['Artifact'],None,Rare,8ED,None,None,None,"At the beginning of each player's draw step, that player puts the cards in their hand on the bottom of their library in any order, then draws that many cards."
Star Compass,2.0,None,None,None,['Artifact'],None,Uncommon,8ED,None,None,None,Star Compass enters the battlefield tapped.\n{T}: Add one mana of any color that a basic land you control could produce.
Spellbook,0.0,None,None,None,['Artifact'],None,Uncommon,8ED,None,None,None,You have no maximum hand size.
Distorting Lens,2.0,None,None,None,['Artifact'],None,Rare,8ED,None,None,None,{T}: Target permanent becomes the color of your choice until end of turn.
Phyrexian Hulk,6.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Golem']",Uncommon,8ED,5,4,None,None
Rod of Ruin,4.0,None,None,None,['Artifact'],None,Uncommon,8ED,None,None,None,"{3}, {T}: Rod of Ruin deals 1 damage to any target."
Skull of Orm,3.0,None,None,None,['Artifact'],None,Rare,8ED,None,None,None,"{5}, {T}: Return target enchantment card from your graveyard to your hand."
Planar Portal,6.0,None,None,None,['Artifact'],None,Rare,8ED,None,None,None,"{6}, {T}: Search your library for a card, put that card into your hand, then shuffle."
Phyrexian Colossus,7.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Golem']",Rare,8ED,8,8,None,Phyrexian Colossus doesn't untap during your untap step.\nPay 8 life: Untap Phyrexian Colossus.\nPhyrexian Colossus can't be blocked except by three or more creatures.
