Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Coral Eel,2.0,['Blue'],['U'],None,['Creature'],['Fish'],Common,9ED,2,1,None,None
Vizzerdrix,7.0,['Blue'],['U'],None,['Creature'],"['Rabbit', 'Beast']",Rare,9ED,6,6,None,None
Index,1.0,['Blue'],['U'],None,['Sorcery'],None,Common,9ED,None,None,None,"Look at the top five cards of your library, then put them back in any order."
Vengeance,4.0,['White'],['W'],None,['Sorcery'],None,Uncommon,9ED,None,None,None,Destroy target tapped creature.
Giant Octopus,4.0,['Blue'],['U'],None,['Creature'],['Octopus'],Common,9ED,3,3,None,None
Goblin Raider,2.0,['Red'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Common,9ED,2,2,None,Goblin Raider can't block.
Enormous Baloth,7.0,['Green'],['G'],None,['Creature'],['Beast'],Uncommon,9ED,7,7,None,None
Sulfurous Springs,0.0,None,"['B', 'R']",None,['Land'],None,Rare,9ED,None,None,None,{T}: Add {C}.\n{T}: Add {B} or {R}. Sulfurous Springs deals 1 damage to you.
Shivan Reef,0.0,None,"['R', 'U']",None,['Land'],None,Rare,9ED,None,None,None,{T}: Add {C}.\n{T}: Add {U} or {R}. Shivan Reef deals 1 damage to you.
Quicksand,0.0,None,None,None,['Land'],None,Uncommon,9ED,None,None,None,"{T}: Add {C}.\n{T}, Sacrifice Quicksand: Target attacking creature without flying gets -1/-2 until end of turn."
Llanowar Wastes,0.0,None,"['B', 'G']",None,['Land'],None,Rare,9ED,None,None,None,{T}: Add {C}.\n{T}: Add {B} or {G}. Llanowar Wastes deals 1 damage to you.
Karplusan Forest,0.0,None,"['G', 'R']",None,['Land'],None,Rare,9ED,None,None,None,{T}: Add {C}.\n{T}: Add {R} or {G}. Karplusan Forest deals 1 damage to you.
Caves of Koilos,0.0,None,"['B', 'W']",None,['Land'],None,Rare,9ED,None,None,None,{T}: Add {C}.\n{T}: Add {W} or {B}. Caves of Koilos deals 1 damage to you.
Brushland,0.0,None,"['G', 'W']",None,['Land'],None,Rare,9ED,None,None,None,{T}: Add {C}.\n{T}: Add {G} or {W}. Brushland deals 1 damage to you.
Battlefield Forge,0.0,None,"['R', 'W']",None,['Land'],None,Rare,9ED,None,None,None,{T}: Add {C}.\n{T}: Add {R} or {W}. Battlefield Forge deals 1 damage to you.
Adarkar Wastes,0.0,None,"['U', 'W']",None,['Land'],None,Rare,9ED,None,None,None,{T}: Add {C}.\n{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you.
Kraken's Eye,2.0,None,None,None,['Artifact'],None,Uncommon,9ED,None,None,None,"Whenever a player casts a blue spell, you may gain 1 life."
Thran Golem,5.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Rare,9ED,3,3,None,"As long as Thran Golem is enchanted, it gets +2/+2 and has flying, first strike, and trample."
Vulshok Morningstar,2.0,None,None,None,['Artifact'],['Equipment'],Uncommon,9ED,None,None,None,Equipped creature gets +2/+2.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)
Wurm's Tooth,2.0,None,None,None,['Artifact'],None,Uncommon,9ED,None,None,None,"Whenever a player casts a green spell, you may gain 1 life."
Ur-Golem's Eye,4.0,None,None,None,['Artifact'],None,Uncommon,9ED,None,None,None,{T}: Add {C}{C}.
Teferi's Puzzle Box,4.0,None,None,None,['Artifact'],None,Rare,9ED,None,None,None,"At the beginning of each player's draw step, that player puts the cards in their hand on the bottom of their library in any order, then draws that many cards."
Tanglebloom,1.0,None,None,None,['Artifact'],None,Uncommon,9ED,None,None,None,"{1}, {T}: You gain 1 life."
Storage Matrix,3.0,None,None,None,['Artifact'],None,Rare,9ED,None,None,None,"As long as Storage Matrix is untapped, each player chooses artifact, creature, or land during their untap step. That player can untap only permanents of the chosen type this step."
Rod of Ruin,4.0,None,None,None,['Artifact'],None,Uncommon,9ED,None,None,None,"{3}, {T}: Rod of Ruin deals 1 damage to any target."
Spellbook,0.0,None,None,None,['Artifact'],None,Uncommon,9ED,None,None,None,You have no maximum hand size.
Slate of Ancestry,4.0,None,None,None,['Artifact'],None,Rare,9ED,None,None,None,"{4}, {T}, Discard your hand: Draw a card for each creature you control."
