Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Oath of Ajani,2.0,"['Green', 'White']","['G', 'W']",['Legendary'],['Enchantment'],None,Rare,AER,None,None,None,"When Oath of Ajani enters the battlefield, put a +1/+1 counter on each creature you control.\nPlaneswalker spells you cast cost {1} less to cast."
Secret Salvage,5.0,['Black'],['B'],None,['Sorcery'],None,Rare,AER,None,None,None,"Exile target nonland card from your graveyard. Search your library for any number of cards with the same name as that card, reveal them, put them into your hand, then shuffle."
Maverick Thopterist,5.0,"['Red', 'Blue']","['R', 'U']",None,['Creature'],"['Human', 'Artificer']",Uncommon,AER,2,2,None,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)\nWhen Maverick Thopterist enters the battlefield, create two 1/1 colorless Thopter artifact creature tokens with flying."
Resourceful Return,2.0,['Black'],['B'],None,['Sorcery'],None,Common,AER,None,None,None,"Return target creature card from your graveyard to your hand. If you control an artifact, draw a card."
Hope of Ghirapur,1.0,None,None,['Legendary'],"['Artifact', 'Creature']",['Thopter'],Rare,AER,1,1,None,"Flying\nSacrifice Hope of Ghirapur: Until your next turn, target player who was dealt combat damage by Hope of Ghirapur this turn can't cast noncreature spells."
Renegade's Getaway,3.0,['Black'],['B'],None,['Instant'],None,Common,AER,None,None,None,"Target permanent gains indestructible until end of turn. Create a 1/1 colorless Servo artifact creature token. (Effects that say ""destroy"" don't destroy a permanent with indestructible, and if it's a creature, it can't be destroyed by damage.)"
Hidden Stockpile,2.0,"['Black', 'White']","['B', 'W']",None,['Enchantment'],None,Uncommon,AER,None,None,None,"Revolt — At the beginning of your end step, if a permanent you controlled left the battlefield this turn, create a 1/1 colorless Servo artifact creature token.\n{1}, Sacrifice a creature: Scry 1."
Perilous Predicament,5.0,['Black'],['B'],None,['Instant'],None,Uncommon,AER,None,None,None,Each opponent sacrifices an artifact creature and a nonartifact creature.
Heart of Kiran,2.0,None,None,['Legendary'],['Artifact'],['Vehicle'],Mythic,AER,4,4,None,"Flying, vigilance\nCrew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)\nYou may remove a loyalty counter from a planeswalker you control rather than pay Heart of Kiran's crew cost."
Night Market Aeronaut,4.0,['Black'],['B'],None,['Creature'],"['Aetherborn', 'Warrior']",Common,AER,2,2,None,Flying\nRevolt — Night Market Aeronaut enters the battlefield with a +1/+1 counter on it if a permanent you controlled left the battlefield this turn.
Dark Intimations,5.0,"['Black', 'Red', 'Blue']","['B', 'R', 'U']",None,['Sorcery'],None,Rare,AER,None,None,None,"Each opponent sacrifices a creature or planeswalker, then discards a card. You return a creature or planeswalker card from your graveyard to your hand, then draw a card.\nWhen you cast a Bolas planeswalker spell, exile Dark Intimations from your graveyard. That planeswalker enters the battlefield with an additional loyalty counter on it."
Midnight Entourage,4.0,['Black'],['B'],None,['Creature'],"['Aetherborn', 'Rogue']",Rare,AER,3,3,None,"Other Aetherborn you control get +1/+1.\nWhenever Midnight Entourage or another Aetherborn you control dies, you draw a card and you lose 1 life."
Gonti's Aether Heart,6.0,None,None,['Legendary'],['Artifact'],None,Mythic,AER,None,None,None,"Whenever Gonti's Aether Heart or another artifact enters the battlefield under your control, you get {E}{E} (two energy counters).\nPay {E}{E}{E}{E}{E}{E}{E}{E}, Exile Gonti's Aether Heart: Take an extra turn after this one."
Ironclad Revolutionary,6.0,['Black'],['B'],None,['Creature'],"['Aetherborn', 'Artificer']",Uncommon,AER,4,4,None,"When Ironclad Revolutionary enters the battlefield, you may sacrifice an artifact. If you do, put two +1/+1 counters on Ironclad Revolutionary and each opponent loses 2 life."
Ajani Unyielding,6.0,"['Green', 'White']","['G', 'W']",['Legendary'],['Planeswalker'],['Ajani'],Mythic,AER,None,None,4,[+2]: Reveal the top three cards of your library. Put all nonland permanent cards revealed this way into your hand and the rest on the bottom of your library in any order.\n[−2]: Exile target creature. Its controller gains life equal to its power.\n[−9]: Put five +1/+1 counters on each creature you control and five loyalty counters on each other planeswalker you control.
Herald of Anguish,7.0,['Black'],['B'],None,['Creature'],['Demon'],Mythic,AER,5,5,None,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)\nFlying\nAt the beginning of your end step, each opponent discards a card.\n{1}{B}, Sacrifice an artifact: Target creature gets -2/-2 until end of turn."
Unbridled Growth,1.0,['Green'],['G'],None,['Enchantment'],['Aura'],Common,AER,None,None,None,"Enchant land\nEnchanted land has ""{T}: Add one mana of any color.""\nSacrifice Unbridled Growth: Draw a card."
Gonti's Machinations,1.0,['Black'],['B'],None,['Enchantment'],None,Uncommon,AER,None,None,None,"Whenever you lose life for the first time each turn, you get {E}. (You get an energy counter. Damage causes loss of life.)\nPay {E}{E}, Sacrifice Gonti's Machinations: Each opponent loses 3 life. You gain life equal to the life lost this way."
Silkweaver Elite,3.0,['Green'],['G'],None,['Creature'],"['Elf', 'Archer']",Common,AER,2,2,None,"Reach (This creature can block creatures with flying.)\nRevolt — When Silkweaver Elite enters the battlefield, if a permanent you controlled left the battlefield this turn, draw a card."
