Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Heirloom Blade,3.0,None,None,None,['Artifact'],['Equipment'],Uncommon,AFC,None,None,None,"Equipped creature gets +3/+1.\nWhenever equipped creature dies, you may reveal cards from the top of your library until you reveal a creature card that shares a creature type with it. Put that card into your hand and the rest on the bottom of your library in a random order.\nEquip {1}"
Explorer's Scope,1.0,None,None,None,['Artifact'],['Equipment'],Common,AFC,None,None,None,"Whenever equipped creature attacks, look at the top card of your library. If it's a land card, you may put it onto the battlefield tapped.\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
Gruul Signet,2.0,None,"['G', 'R']",None,['Artifact'],None,Common,AFC,None,None,None,"{1}, {T}: Add {R}{G}."
Light Up the Stage,3.0,['Red'],['R'],None,['Sorcery'],None,Uncommon,AFC,None,None,None,"Spectacle {R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)\nExile the top two cards of your library. Until the end of your next turn, you may play those cards."
Fellwar Stone,2.0,None,None,None,['Artifact'],None,Uncommon,AFC,None,None,None,{T}: Add one mana of any color that a land an opponent controls could produce.
Chaos Wand,3.0,None,None,None,['Artifact'],None,Rare,AFC,None,None,None,"{4}, {T}: Target opponent exiles cards from the top of their library until they exile an instant or sorcery card. You may cast that card without paying its mana cost. Then put the exiled cards that weren't cast this way on the bottom of that library in a random order."
Burnished Hart,3.0,None,None,None,"['Artifact', 'Creature']",['Elk'],Uncommon,AFC,2,2,None,"{3}, Sacrifice Burnished Hart: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle."
Dragon's Hoard,3.0,None,None,None,['Artifact'],None,Rare,AFC,None,None,None,"Whenever a Dragon enters the battlefield under your control, put a gold counter on Dragon's Hoard.\n{T}, Remove a gold counter from Dragon's Hoard: Draw a card.\n{T}: Add one mana of any color."
Commander's Sphere,3.0,None,None,None,['Artifact'],None,Common,AFC,None,None,None,{T}: Add one mana of any color in your commander's color identity.\nSacrifice Commander's Sphere: Draw a card.
Colossus Hammer,1.0,None,None,None,['Artifact'],['Equipment'],Uncommon,AFC,None,None,None,Equipped creature gets +10/+10 and loses flying.\nEquip {8} ({8}: Attach to target creature you control. Equip only as a sorcery.)
Izzet Chemister,3.0,['Red'],['R'],None,['Creature'],"['Goblin', 'Wizard']",Rare,AFC,1,3,None,"Haste\n{R}, {T}: Exile target instant or sorcery card from your graveyard.\n{1}{R}, {T}, Sacrifice Izzet Chemister: Cast any number of cards exiled with Izzet Chemister without paying their mana costs."
Basilisk Collar,1.0,None,None,None,['Artifact'],['Equipment'],Rare,AFC,None,None,None,Equipped creature has deathtouch and lifelink.\nEquip {2}
Argentum Armor,6.0,None,None,None,['Artifact'],['Equipment'],Rare,AFC,None,None,None,"Equipped creature gets +6/+6.\nWhenever equipped creature attacks, destroy target permanent.\nEquip {6}"
Arcane Signet,2.0,None,None,None,['Artifact'],None,Common,AFC,None,None,None,{T}: Add one mana of any color in your commander's color identity.
Vanish into Memory,4.0,"['Blue', 'White']","['U', 'W']",None,['Instant'],None,Uncommon,AFC,None,None,None,"Exile target creature. You draw cards equal to that creature's power. At the beginning of your next upkeep, return that card to the battlefield under its owner's control. If you do, discard cards equal to that creature's toughness."
Utter End,4.0,"['Black', 'White']","['B', 'W']",None,['Instant'],None,Rare,AFC,None,None,None,Exile target nonland permanent.
Theater of Horrors,3.0,"['Black', 'Red']","['B', 'R']",None,['Enchantment'],None,Rare,AFC,None,None,None,"At the beginning of your upkeep, exile the top card of your library.\nDuring your turn, if an opponent lost life this turn, you may play lands and cast spells from among cards exiled with Theater of Horrors.\n{3}{R}: Theater of Horrors deals 1 damage to target opponent or planeswalker."
Terminate,2.0,"['Black', 'Red']","['B', 'R']",None,['Instant'],None,Uncommon,AFC,None,None,None,Destroy target creature. It can't be regenerated.
Shielding Plax,3.0,"['Green', 'Blue']","['G', 'U']",None,['Enchantment'],['Aura'],Common,AFC,None,None,None,"({G/U} can be paid with either {G} or {U}.)\nEnchant creature\nWhen Shielding Plax enters the battlefield, draw a card.\nEnchanted creature can't be the target of spells or abilities your opponents control."
Savage Ventmaw,6.0,"['Green', 'Red']","['G', 'R']",None,['Creature'],['Dragon'],Uncommon,AFC,4,4,None,"Flying\nWhenever Savage Ventmaw attacks, add {R}{R}{R}{G}{G}{G}. Until end of turn, you don't lose this mana as steps and phases end."
Rakdos Charm,2.0,"['Black', 'Red']","['B', 'R']",None,['Instant'],None,Uncommon,AFC,None,None,None,Choose one —\n• Exile target player's graveyard.\n• Destroy target artifact.\n• Each creature deals 1 damage to its controller.
Obsessive Stitcher,3.0,"['Black', 'Blue']","['B', 'U']",None,['Creature'],"['Human', 'Wizard']",Uncommon,AFC,0,3,None,"{T}: Draw a card, then discard a card.\n{2}{U}{B}, {T}, Sacrifice Obsessive Stitcher: Return target creature card from your graveyard to the battlefield."
Necrotic Sliver,3.0,"['Black', 'White']","['B', 'W']",None,['Creature'],['Sliver'],Uncommon,AFC,2,2,None,"All Slivers have ""{3}, Sacrifice this permanent: Destroy target permanent."""
Knight of Autumn,3.0,"['Green', 'White']","['G', 'W']",None,['Creature'],"['Dryad', 'Knight']",Rare,AFC,2,1,None,"When Knight of Autumn enters the battlefield, choose one —\n• Put two +1/+1 counters on Knight of Autumn.\n• Destroy target artifact or enchantment.\n• You gain 4 life."
Hostage Taker,4.0,"['Black', 'Blue']","['B', 'U']",None,['Creature'],"['Human', 'Pirate']",Rare,AFC,2,3,None,"When Hostage Taker enters the battlefield, exile another target creature or artifact until Hostage Taker leaves the battlefield. You may cast that card for as long as it remains exiled, and you may spend mana as though it were mana of any type to cast that spell."
Fleecemane Lion,2.0,"['Green', 'White']","['G', 'W']",None,['Creature'],['Cat'],Rare,AFC,3,3,None,"{3}{G}{W}: Monstrosity 1. (If this creature isn't monstrous, put a +1/+1 counter on it and it becomes monstrous.)\nAs long as Fleecemane Lion is monstrous, it has hexproof and indestructible."
Despark,2.0,"['Black', 'White']","['B', 'W']",None,['Instant'],None,Uncommon,AFC,None,None,None,Exile target permanent with mana value 4 or greater.
Cold-Eyed Selkie,3.0,"['Green', 'Blue']","['G', 'U']",None,['Creature'],"['Merfolk', 'Rogue']",Rare,AFC,1,1,None,"Islandwalk (This creature can't be blocked as long as defending player controls an Island.)\nWhenever Cold-Eyed Selkie deals combat damage to a player, you may draw that many cards."
Cloudblazer,5.0,"['Blue', 'White']","['U', 'W']",None,['Creature'],"['Human', 'Scout']",Uncommon,AFC,2,2,None,"Flying\nWhen Cloudblazer enters the battlefield, you gain 2 life and draw two cards."
Bituminous Blast,5.0,"['Black', 'Red']","['B', 'R']",None,['Instant'],None,Uncommon,AFC,None,None,None,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)\nBituminous Blast deals 4 damage to target creature."
Behemoth Sledge,3.0,"['Green', 'White']","['G', 'W']",None,['Artifact'],['Equipment'],Uncommon,AFC,None,None,None,Equipped creature gets +2/+2 and has trample and lifelink.\nEquip {3}
Ignite the Future,4.0,['Red'],['R'],None,['Sorcery'],None,Rare,AFC,None,None,None,"Exile the top three cards of your library. Until the end of your next turn, you may play those cards. If this spell was cast from a graveyard, you may play cards this way without paying their mana costs.\nFlashback {7}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Bedevil,3.0,"['Black', 'Red']","['B', 'R']",None,['Instant'],None,Rare,AFC,None,None,None,"Destroy target artifact, creature, or planeswalker."
Bant Charm,3.0,"['Green', 'Blue', 'White']","['G', 'U', 'W']",None,['Instant'],None,Uncommon,AFC,None,None,None,Choose one —\n• Destroy target artifact.\n• Put target creature on the bottom of its owner's library.\n• Counter target instant spell.
Baleful Strix,2.0,"['Black', 'Blue']","['B', 'U']",None,"['Artifact', 'Creature']",['Bird'],Rare,AFC,1,1,None,"Flying, deathtouch\nWhen Baleful Strix enters the battlefield, draw a card."
"Atarka, World Render",7.0,"['Green', 'Red']","['G', 'R']",['Legendary'],['Creature'],['Dragon'],Rare,AFC,6,4,None,"Flying, trample\nWhenever a Dragon you control attacks, it gains double strike until end of turn."
Ashen Rider,8.0,"['Black', 'White']","['B', 'W']",None,['Creature'],['Archon'],Mythic,AFC,5,5,None,"Flying\nWhen Ashen Rider enters the battlefield or dies, exile target permanent."
Wild Growth,1.0,['Green'],['G'],None,['Enchantment'],['Aura'],Common,AFC,None,None,None,"Enchant land\nWhenever enchanted land is tapped for mana, its controller adds an additional {G}."
Verdant Embrace,5.0,['Green'],['G'],None,['Enchantment'],['Aura'],Rare,AFC,None,None,None,"Enchant creature\nEnchanted creature gets +3/+3 and has ""At the beginning of each upkeep, create a 1/1 green Saproling creature token."""
Hoard-Smelter Dragon,6.0,['Red'],['R'],None,['Creature'],['Dragon'],Rare,AFC,5,5,None,"Flying\n{3}{R}: Destroy target artifact. Hoard-Smelter Dragon gets +X/+0 until end of turn, where X is that artifact's mana value."
Utopia Sprawl,1.0,['Green'],['G'],None,['Enchantment'],['Aura'],Common,AFC,None,None,None,"Enchant Forest\nAs Utopia Sprawl enters the battlefield, choose a color.\nWhenever enchanted Forest is tapped for mana, its controller adds an additional one mana of the chosen color."
Gratuitous Violence,5.0,['Red'],['R'],None,['Enchantment'],None,Rare,AFC,None,None,None,"If a creature you control would deal damage to a permanent or player, it deals double that damage to that permanent or player instead."
Shamanic Revelation,5.0,['Green'],['G'],None,['Sorcery'],None,Rare,AFC,None,None,None,Draw a card for each creature you control.\nFerocious — You gain 4 life for each creature you control with power 4 or greater.
Rishkar's Expertise,6.0,['Green'],['G'],None,['Sorcery'],None,Rare,AFC,None,None,None,Draw cards equal to the greatest power among creatures you control.\nYou may cast a spell with mana value 5 or less from your hand without paying its mana cost.
Return to Nature,2.0,['Green'],['G'],None,['Instant'],None,Common,AFC,None,None,None,Choose one —\n• Destroy target artifact.\n• Destroy target enchantment.\n• Exile target card from a graveyard.
Return of the Wildspeaker,5.0,['Green'],['G'],None,['Instant'],None,Rare,AFC,None,None,None,Choose one —\n• Draw cards equal to the greatest power among non-Human creatures you control.\n• Non-Human creatures you control get +3/+3 until end of turn.
Rancor,1.0,['Green'],['G'],None,['Enchantment'],['Aura'],Uncommon,AFC,None,None,None,"Enchant creature\nEnchanted creature gets +2/+0 and has trample.\nWhen Rancor is put into a graveyard from the battlefield, return Rancor to its owner's hand."
Rampant Growth,2.0,['Green'],['G'],None,['Sorcery'],None,Common,AFC,None,None,None,"Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Paradise Druid,2.0,['Green'],['G'],None,['Creature'],"['Elf', 'Druid']",Uncommon,AFC,2,1,None,Paradise Druid has hexproof as long as it's untapped. (It can't be the target of spells or abilities your opponents control.)\n{T}: Add one mana of any color.
Nature's Lore,2.0,['Green'],['G'],None,['Sorcery'],None,Common,AFC,None,None,None,"Search your library for a Forest card, put that card onto the battlefield, then shuffle."
Kindred Summons,7.0,['Green'],['G'],None,['Instant'],None,Rare,AFC,None,None,None,"Choose a creature type. Reveal cards from the top of your library until you reveal X creature cards of the chosen type, where X is the number of creatures you control of that type. Put those cards onto the battlefield, then shuffle the rest of the revealed cards into your library."
Kenrith's Transformation,2.0,['Green'],['G'],None,['Enchantment'],['Aura'],Uncommon,AFC,None,None,None,"Enchant creature\nWhen Kenrith's Transformation enters the battlefield, draw a card.\nEnchanted creature loses all abilities and is a green Elk creature with base power and toughness 3/3. (It loses all other card types and creature types.)"
Heroic Intervention,2.0,['Green'],['G'],None,['Instant'],None,Rare,AFC,None,None,None,Permanents you control gain hexproof and indestructible until end of turn.
