Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,BRB,None,None,None,({T}: Add {W}.)
Scaled Wurm,8.0,['Green'],['G'],None,['Creature'],['Wurm'],Common,BRB,7,6,None,None
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,BRB,None,None,None,({T}: Add {W}.)
Sandstorm,1.0,['Green'],['G'],None,['Instant'],None,Common,BRB,None,None,None,Sandstorm deals 1 damage to each attacking creature.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,BRB,None,None,None,({T}: Add {W}.)
Sanctum Guardian,3.0,['White'],['W'],None,['Creature'],"['Human', 'Cleric']",Uncommon,BRB,1,4,None,"Sacrifice Sanctum Guardian: The next time a source of your choice would deal damage to any target this turn, prevent that damage."
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,BRB,None,None,None,({T}: Add {W}.)
Sanctum Custodian,3.0,['White'],['W'],None,['Creature'],"['Human', 'Cleric']",Common,BRB,1,2,None,{T}: Prevent the next 2 damage that would be dealt to any target this turn.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,BRB,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,BRB,None,None,None,({T}: Add {W}.)
Sadistic Glee,1.0,['Black'],['B'],None,['Enchantment'],['Aura'],Common,BRB,None,None,None,"Enchant creature\nWhenever a creature dies, put a +1/+1 counter on enchanted creature."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,BRB,None,None,None,({T}: Add {R}.)
Rolling Thunder,2.0,['Red'],['R'],None,['Sorcery'],None,Common,BRB,None,None,None,Rolling Thunder deals X damage divided as you choose among any number of targets.
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,BRB,None,None,None,({T}: Add {R}.)
River Boa,2.0,['Green'],['G'],None,['Creature'],['Snake'],Uncommon,BRB,2,1,None,Islandwalk (This creature can't be blocked as long as defending player controls an Island.)\n{G}: Regenerate River Boa.
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,BRB,None,None,None,({T}: Add {R}.)
Remote Isle,0.0,None,['U'],None,['Land'],None,Common,BRB,None,None,None,"Remote Isle enters the battlefield tapped.\n{T}: Add {U}.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,BRB,None,None,None,({T}: Add {R}.)
Reanimate,1.0,['Black'],['B'],None,['Sorcery'],None,Uncommon,BRB,None,None,None,Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to its mana value.
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,BRB,None,None,None,({T}: Add {R}.)
Ray of Command,4.0,['Blue'],['U'],None,['Instant'],None,Common,BRB,None,None,None,"Untap target creature an opponent controls and gain control of it until end of turn. That creature gains haste until end of turn. When you lose control of the creature, tap it."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,BRB,None,None,None,({T}: Add {R}.)
Raging Goblin,1.0,['Red'],['R'],None,['Creature'],"['Goblin', 'Berserker']",Common,BRB,1,1,None,Haste (This creature can attack and {T} as soon as it comes under your control.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,BRB,None,None,None,({T}: Add {R}.)
Prodigal Sorcerer,3.0,['Blue'],['U'],None,['Creature'],"['Human', 'Wizard']",Common,BRB,1,1,None,{T}: Prodigal Sorcerer deals 1 damage to any target.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,BRB,None,None,None,({T}: Add {G}.)
Polluted Mire,0.0,None,['B'],None,['Land'],None,Common,BRB,None,None,None,"Polluted Mire enters the battlefield tapped.\n{T}: Add {B}.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,BRB,None,None,None,({T}: Add {U}.)
Plated Rootwalla,5.0,['Green'],['G'],None,['Creature'],['Lizard'],Common,BRB,3,3,None,{2}{G}: Plated Rootwalla gets +3/+3 until end of turn. Activate only once each turn.
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,BRB,None,None,None,({T}: Add {R}.)
Pincher Beetles,3.0,['Green'],['G'],None,['Creature'],['Insect'],Common,BRB,3,1,None,Shroud (This creature can't be the target of spells or abilities.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,BRB,None,None,None,({T}: Add {R}.)
Phyrexian Ghoul,3.0,['Black'],['B'],None,['Creature'],"['Phyrexian', 'Zombie']",Common,BRB,2,2,None,Sacrifice a creature: Phyrexian Ghoul gets +2/+2 until end of turn.
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,BRB,None,None,None,({T}: Add {U}.)
Pestilence,4.0,['Black'],['B'],None,['Enchantment'],None,Uncommon,BRB,None,None,None,"At the beginning of the end step, if no creatures are on the battlefield, sacrifice Pestilence.\n{B}: Pestilence deals 1 damage to each creature and each player."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,BRB,None,None,None,({T}: Add {U}.)
Pacifism,2.0,['White'],['W'],None,['Enchantment'],['Aura'],Common,BRB,None,None,None,Enchant creature\nEnchanted creature can't attack or block.
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,BRB,None,None,None,({T}: Add {U}.)
Opportunity,6.0,['Blue'],['U'],None,['Instant'],None,Uncommon,BRB,None,None,None,Target player draws four cards.
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,BRB,None,None,None,({T}: Add {U}.)
Nekrataal,4.0,['Black'],['B'],None,['Creature'],"['Human', 'Assassin']",Uncommon,BRB,2,1,None,"First strike\nWhen Nekrataal enters the battlefield, destroy target nonartifact, nonblack creature. That creature can't be regenerated."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,BRB,None,None,None,({T}: Add {G}.)
Mogg Hollows,0.0,None,"['G', 'R']",None,['Land'],None,Uncommon,BRB,None,None,None,{T}: Add {C}.\n{T}: Add {R} or {G}. Mogg Hollows doesn't untap during your next untap step.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,BRB,None,None,None,({T}: Add {G}.)
Master Decoy,2.0,['White'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,BRB,1,2,None,"{W}, {T}: Tap target creature."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,BRB,None,None,None,({T}: Add {G}.)
Manta Riders,1.0,['Blue'],['U'],None,['Creature'],['Merfolk'],Common,BRB,1,1,None,{U}: Manta Riders gains flying until end of turn.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,BRB,None,None,None,({T}: Add {G}.)
Maniacal Rage,2.0,['Red'],['R'],None,['Enchantment'],['Aura'],Common,BRB,None,None,None,Enchant creature\nEnchanted creature gets +2/+2 and can't block.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,BRB,None,None,None,({T}: Add {G}.)
Mana Leak,2.0,['Blue'],['U'],None,['Instant'],None,Common,BRB,None,None,None,Counter target spell unless its controller pays {3}.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,BRB,None,None,None,({T}: Add {G}.)
