Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Moss Kami,6.0,['Green'],['G'],None,['Creature'],['Spirit'],Common,CHK,5,5,None,Trample
Matsu-Tribe Decoy,3.0,['Green'],['G'],None,['Creature'],"['Snake', 'Warrior']",Common,CHK,1,3,None,"{2}{G}: Target creature blocks Matsu-Tribe Decoy this turn if able.\nWhenever Matsu-Tribe Decoy deals combat damage to a creature, tap that creature and it doesn't untap during its controller's next untap step."
Lure,3.0,['Green'],['G'],None,['Enchantment'],['Aura'],Uncommon,CHK,None,None,None,Enchant creature\nAll creatures able to block enchanted creature do so.
Kodama's Reach,3.0,['Green'],['G'],None,['Sorcery'],['Arcane'],Common,CHK,None,None,None,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle."
Kodama's Might,1.0,['Green'],['G'],None,['Instant'],['Arcane'],Common,CHK,None,None,None,"Target creature gets +2/+2 until end of turn.\nSplice onto Arcane {G} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)"
Kodama of the South Tree,4.0,['Green'],['G'],['Legendary'],['Creature'],['Spirit'],Rare,CHK,4,4,None,"Whenever you cast a Spirit or Arcane spell, each other creature you control gets +1/+1 and gains trample until end of turn."
Kodama of the North Tree,5.0,['Green'],['G'],['Legendary'],['Creature'],['Spirit'],Rare,CHK,6,4,None,Trample\nShroud (This creature can't be the target of spells or abilities.)
Kashi-Tribe Warriors,5.0,['Green'],['G'],None,['Creature'],"['Snake', 'Warrior']",Common,CHK,2,4,None,"Whenever Kashi-Tribe Warriors deals combat damage to a creature, tap that creature and it doesn't untap during its controller's next untap step."
Kashi-Tribe Reaver,4.0,['Green'],['G'],None,['Creature'],"['Snake', 'Warrior']",Uncommon,CHK,3,2,None,"Whenever Kashi-Tribe Reaver deals combat damage to a creature, tap that creature and it doesn't untap during its controller's next untap step.\n{1}{G}: Regenerate Kashi-Tribe Reaver."
Kami of the Hunt,3.0,['Green'],['G'],None,['Creature'],['Spirit'],Common,CHK,2,2,None,"Whenever you cast a Spirit or Arcane spell, Kami of the Hunt gets +1/+1 until end of turn."
Jukai Messenger,1.0,['Green'],['G'],None,['Creature'],"['Human', 'Monk']",Common,CHK,1,1,None,Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,CHK,None,None,None,({T}: Add {B}.)
"Jugan, the Rising Star",6.0,['Green'],['G'],['Legendary'],['Creature'],"['Dragon', 'Spirit']",Rare,CHK,5,5,None,"Flying\nWhen Jugan, the Rising Star dies, you may distribute five +1/+1 counters among any number of target creatures."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,CHK,None,None,None,({T}: Add {B}.)
Joyous Respite,4.0,['Green'],['G'],None,['Sorcery'],['Arcane'],Common,CHK,None,None,None,You gain 1 life for each land you control.
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,CHK,None,None,None,({T}: Add {B}.)
"Iname, Life Aspect",6.0,['Green'],['G'],['Legendary'],['Creature'],['Spirit'],Rare,CHK,4,4,None,"When Iname, Life Aspect dies, you may exile it. If you do, return any number of target Spirit cards from your graveyard to your hand."
Humble Budoka,2.0,['Green'],['G'],None,['Creature'],"['Human', 'Monk']",Common,CHK,2,2,None,Shroud (This creature can't be the target of spells or abilities.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,CHK,None,None,None,({T}: Add {U}.)
Honden of Life's Web,5.0,['Green'],['G'],['Legendary'],['Enchantment'],['Shrine'],Uncommon,CHK,None,None,None,"At the beginning of your upkeep, create a 1/1 colorless Spirit creature token for each Shrine you control."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,CHK,None,None,None,({T}: Add {R}.)
Heartbeat of Spring,3.0,['Green'],['G'],None,['Enchantment'],None,Rare,CHK,None,None,None,"Whenever a player taps a land for mana, that player adds one mana of any type that land produced."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,CHK,None,None,None,({T}: Add {R}.)
Hana Kami,1.0,['Green'],['G'],None,['Creature'],['Spirit'],Uncommon,CHK,1,1,None,"{1}{G}, Sacrifice Hana Kami: Return target Arcane card from your graveyard to your hand."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,CHK,None,None,None,({T}: Add {U}.)
Glimpse of Nature,1.0,['Green'],['G'],None,['Sorcery'],None,Rare,CHK,None,None,None,"Whenever you cast a creature spell this turn, draw a card."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,CHK,None,None,None,({T}: Add {B}.)
Gale Force,5.0,['Green'],['G'],None,['Sorcery'],None,Uncommon,CHK,None,None,None,Gale Force deals 5 damage to each creature with flying.
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,CHK,None,None,None,({T}: Add {R}.)
Feral Deceiver,4.0,['Green'],['G'],None,['Creature'],['Spirit'],Common,CHK,3,2,None,"{1}: Look at the top card of your library.\n{2}: Reveal the top card of your library. If it's a land card, Feral Deceiver gets +2/+2 and gains trample until end of turn. Activate only once each turn."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,CHK,None,None,None,({T}: Add {G}.)
Feast of Worms,5.0,['Green'],['G'],None,['Sorcery'],['Arcane'],Uncommon,CHK,None,None,None,"Destroy target land. If that land was legendary, its controller sacrifices another land."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,CHK,None,None,None,({T}: Add {R}.)
Through the Breach,5.0,['Red'],['R'],None,['Instant'],['Arcane'],Rare,CHK,None,None,None,"You may put a creature card from your hand onto the battlefield. That creature gains haste. Sacrifice that creature at the beginning of the next end step.\nSplice onto Arcane {2}{R}{R} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)"
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,CHK,None,None,None,({T}: Add {U}.)
Burr Grafter,4.0,['Green'],['G'],None,['Creature'],['Spirit'],Common,CHK,2,2,None,"Sacrifice Burr Grafter: Target creature gets +2/+2 until end of turn.\nSoulshift 3 (When this creature dies, you may return target Spirit card with mana value 3 or less from your graveyard to your hand.)"
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,CHK,None,None,None,({T}: Add {G}.)
Dosan the Falling Leaf,3.0,['Green'],['G'],['Legendary'],['Creature'],"['Human', 'Monk']",Rare,CHK,2,2,None,Players can cast spells only during their own turns.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,CHK,None,None,None,({T}: Add {G}.)
Dripping-Tongue Zubera,2.0,['Green'],['G'],None,['Creature'],"['Zubera', 'Spirit']",Common,CHK,1,2,None,"When Dripping-Tongue Zubera dies, create a 1/1 colorless Spirit creature token for each Zubera that died this turn."
Commune with Nature,1.0,['Green'],['G'],None,['Sorcery'],None,Common,CHK,None,None,None,Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,CHK,None,None,None,({T}: Add {G}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,CHK,None,None,None,({T}: Add {U}.)
"Budoka Gardener // Dokai, Weaver of Life",2.0,['Green'],['G'],None,['Creature'],"['Human', 'Monk']",Rare,CHK,2,1,None,"{T}: You may put a land card from your hand onto the battlefield. If you control ten or more lands, flip Budoka Gardener."
