Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Muse Vessel,4.0,None,None,None,['Artifact'],None,Rare,DIS,None,None,None,"{3}, {T}: Target player exiles a card from their hand. Activate only as a sorcery.\n{1}: Choose a card exiled with Muse Vessel. You may play that card this turn."
Magewright's Stone,2.0,None,None,None,['Artifact'],None,Uncommon,DIS,None,None,None,"{1}, {T}: Untap target creature that has an activated ability with {T} in its cost."
Seal of Fire,1.0,['Red'],['R'],None,['Enchantment'],None,Common,DIS,None,None,None,Sacrifice Seal of Fire: It deals 2 damage to any target.
Evolution Vat,3.0,None,"['G', 'U']",None,['Artifact'],None,Rare,DIS,None,None,None,"{3}, {T}: Tap target creature and put a +1/+1 counter on it. Until end of turn, that creature gains ""{2}{G}{U}: Double the number of +1/+1 counters on this creature."""
Sandstorm Eidolon,4.0,['Red'],['R'],None,['Creature'],['Spirit'],Common,DIS,2,2,None,"{R}, Sacrifice Sandstorm Eidolon: Target creature can't block this turn.\nWhenever you cast a multicolored spell, you may return Sandstorm Eidolon from your graveyard to your hand."
Bronze Bombshell,4.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,DIS,4,1,None,"When a player other than Bronze Bombshell's owner controls it, that player sacrifices it. If the player does, Bronze Bombshell deals 7 damage to the player."
Rakdos Pit Dragon,4.0,['Red'],['R'],None,['Creature'],['Dragon'],Rare,DIS,3,3,None,{R}{R}: Rakdos Pit Dragon gains flying until end of turn.\n{R}: Rakdos Pit Dragon gets +1/+0 until end of turn.\nHellbent — Rakdos Pit Dragon has double strike as long as you have no cards in hand.
Azorius Signet,2.0,None,"['U', 'W']",None,['Artifact'],None,Common,DIS,None,None,None,"{1}, {T}: Add {W}{U}."
Psychotic Fury,2.0,['Red'],['R'],None,['Instant'],None,Common,DIS,None,None,None,Target multicolored creature gains double strike until end of turn.\nDraw a card.
Ogre Gatecrasher,4.0,['Red'],['R'],None,['Creature'],"['Ogre', 'Rogue']",Common,DIS,3,3,None,"When Ogre Gatecrasher enters the battlefield, destroy target creature with defender."
Trial // Error,4.0,"['White', 'Blue']","['B', 'U', 'W']",None,['Instant'],None,Uncommon,DIS,None,None,None,Return all creatures blocking or blocked by target creature to their owner's hand.
Kindle the Carnage,3.0,['Red'],['R'],None,['Sorcery'],None,Uncommon,DIS,None,None,None,"Discard a card at random. If you do, Kindle the Carnage deals damage equal to that card's mana value to each creature. You may repeat this process any number of times."
Pillar of the Paruns,0.0,None,None,None,['Land'],None,Rare,DIS,None,None,None,{T}: Add one mana of any color. Spend this mana only to cast a multicolored spell.
Kill-Suit Cultist,1.0,['Red'],"['B', 'R']",None,['Creature'],"['Goblin', 'Berserker']",Common,DIS,1,1,None,"Kill-Suit Cultist attacks each combat if able.\n{B}, Sacrifice Kill-Suit Cultist: The next time damage would be dealt to target creature this turn, destroy that creature instead."
