Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Curse of Bloodletting,5.0,['Red'],['R'],None,['Enchantment'],"['Aura', 'Curse']",Rare,DKA,None,None,None,"Enchant player\nIf a source would deal damage to enchanted player, it deals double that damage to that player instead."
Burning Oil,2.0,['Red'],"['R', 'W']",None,['Instant'],None,Uncommon,DKA,None,None,None,Burning Oil deals 3 damage to target attacking or blocking creature.\nFlashback {3}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Executioner's Hood,2.0,None,None,None,['Artifact'],['Equipment'],Common,DKA,None,None,None,Equipped creature has intimidate. (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)
"Elbrus, the Binding Blade // Withengar Unbound",7.0,None,['B'],['Legendary'],['Artifact'],['Equipment'],Mythic,DKA,None,None,None,"Equipped creature gets +1/+0.\nWhen equipped creature deals combat damage to a player, unattach Elbrus, the Binding Blade, then transform it.\nEquip {1}"
Chalice of Life // Chalice of Death,3.0,None,None,None,['Artifact'],None,Uncommon,DKA,None,None,None,"{T}: You gain 1 life. Then if you have at least 10 life more than your starting life total, transform Chalice of Life."
Avacyn's Collar,1.0,None,None,None,['Artifact'],['Equipment'],Uncommon,DKA,None,None,None,"Equipped creature gets +1/+0 and has vigilance.\nWhenever equipped creature dies, if it was a Human, create a 1/1 white Spirit creature token with flying.\nEquip {2}"
Altar of the Lost,3.0,None,None,None,['Artifact'],None,Uncommon,DKA,None,None,None,Altar of the Lost enters the battlefield tapped.\n{T}: Add two mana in any combination of colors. Spend this mana only to cast spells with flashback from a graveyard.
Hinterland Hermit // Hinterland Scourge,2.0,['Red'],['R'],None,['Creature'],"['Human', 'Werewolf']",Common,DKA,2,1,None,"At the beginning of each upkeep, if no spells were cast last turn, transform Hinterland Hermit."
Stromkirk Captain,3.0,"['Black', 'Red']","['B', 'R']",None,['Creature'],"['Vampire', 'Soldier']",Uncommon,DKA,2,2,None,First strike\nOther Vampire creatures you control get +1/+1 and have first strike.
"Sorin, Lord of Innistrad",4.0,"['Black', 'White']","['B', 'W']",['Legendary'],['Planeswalker'],['Sorin'],Mythic,DKA,None,None,3,"[+1]: Create a 1/1 black Vampire creature token with lifelink.\n[−2]: You get an emblem with ""Creatures you control get +1/+0.""\n[−6]: Destroy up to three target creatures and/or other planeswalkers. Return each card put into a graveyard this way to the battlefield under your control."
Immerwolf,3.0,"['Green', 'Red']","['G', 'R']",None,['Creature'],['Wolf'],Uncommon,DKA,2,2,None,Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)\nEach other creature you control that's a Wolf or a Werewolf gets +1/+1.\nNon-Human Werewolves you control can't transform.
