Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Sorrow's Path,0.0,None,None,None,['Land'],None,Rare,DRK,None,None,None,"{T}: Choose two target blocking creatures an opponent controls. If each of those creatures could block all creatures that the other is blocking, remove both of them from combat. Each one then blocks all creatures the other was blocking.\nWhenever Sorrow's Path becomes tapped, it deals 2 damage to you and each creature you control."
Safe Haven,0.0,None,None,None,['Land'],None,Rare,DRK,None,None,None,"{2}, {T}: Exile target creature you control.\nAt the beginning of your upkeep, you may sacrifice Safe Haven. If you do, return each card exiled with Safe Haven to the battlefield under its owner's control."
Maze of Ith,0.0,None,None,None,['Land'],None,Uncommon,DRK,None,None,None,{T}: Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.
City of Shadows,0.0,None,None,None,['Land'],None,Rare,DRK,None,None,None,"{T}, Exile a creature you control: Put a storage counter on City of Shadows.\n{T}: Add {C} for each storage counter on City of Shadows."
War Barge,4.0,None,None,None,['Artifact'],None,Uncommon,DRK,None,None,None,"{3}: Target creature gains islandwalk until end of turn. When War Barge leaves the battlefield this turn, destroy that creature. A creature destroyed this way can't be regenerated. (A creature with islandwalk can't be blocked as long as defending player controls an Island.)"
Diabolic Machine,7.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Uncommon,DRK,4,4,None,{3}: Regenerate Diabolic Machine.
Stone Calendar,5.0,None,None,None,['Artifact'],None,Rare,DRK,None,None,None,Spells you cast cost up to {1} less to cast.
Tower of Coireall,2.0,None,None,None,['Artifact'],None,Uncommon,DRK,None,None,None,{T}: Target creature can't be blocked by Walls this turn.
Wand of Ith,4.0,None,None,None,['Artifact'],None,Uncommon,DRK,None,None,None,"{3}, {T}: Target player reveals a card at random from their hand. If it's a land card, that player discards it unless they pay 1 life. If it isn't a land card, the player discards it unless they pay life equal to its mana value. Activate only during your turn."
Tormod's Crypt,0.0,None,None,None,['Artifact'],None,Uncommon,DRK,None,None,None,"{T}, Sacrifice Tormod's Crypt: Exile target player's graveyard."
Standing Stones,3.0,None,None,None,['Artifact'],None,Uncommon,DRK,None,None,None,"{1}, {T}, Pay 1 life: Add one mana of any color."
Skull of Orm,3.0,None,None,None,['Artifact'],None,Uncommon,DRK,None,None,None,"{5}, {T}: Return target enchantment card from your graveyard to your hand."
Scarecrow,5.0,None,None,None,"['Artifact', 'Creature']",['Scarecrow'],Uncommon,DRK,2,2,None,"{6}, {T}: Prevent all damage that would be dealt to you this turn by creatures with flying."
Necropolis,5.0,None,None,None,"['Artifact', 'Creature']",['Wall'],Uncommon,DRK,0,1,None,"Defender (This creature can't attack.)\nExile a creature card from your graveyard: Put X +0/+1 counters on Necropolis, where X is the exiled card's mana value."
Reflecting Mirror,4.0,None,None,None,['Artifact'],None,Uncommon,DRK,None,None,None,"{X}, {T}: Change the target of target spell with a single target if that target is you. The new target must be a player. X is twice the mana value of that spell."
Fellwar Stone,2.0,None,None,None,['Artifact'],None,Uncommon,DRK,None,None,None,{T}: Add one mana of any color that a land an opponent controls could produce.
