Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Vandalize,5.0,['Red'],['R'],None,['Sorcery'],None,Common,DTK,None,None,None,Choose one or both —\n• Destroy target artifact.\n• Destroy target land.
Twin Bolt,2.0,['Red'],['R'],None,['Instant'],None,Common,DTK,None,None,None,Twin Bolt deals 2 damage divided as you choose among one or two targets.
Tormenting Voice,2.0,['Red'],['R'],None,['Sorcery'],None,Common,DTK,None,None,None,"As an additional cost to cast this spell, discard a card.\nDraw two cards."
Thunderbreak Regent,4.0,['Red'],['R'],None,['Creature'],['Dragon'],Rare,DTK,4,4,None,"Flying\nWhenever a Dragon you control becomes the target of a spell or ability an opponent controls, Thunderbreak Regent deals 3 damage to that player."
Tail Slash,3.0,['Red'],['R'],None,['Instant'],None,Common,DTK,None,None,None,Target creature you control deals damage equal to its power to target creature you don't control.
Summit Prowler,4.0,['Red'],['R'],None,['Creature'],['Yeti'],Common,DTK,4,3,None,None
Stormwing Dragon,6.0,['Red'],['R'],None,['Creature'],['Dragon'],Uncommon,DTK,3,3,None,"Flying, first strike\nMegamorph {5}{R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)\nWhen Stormwing Dragon is turned face up, put a +1/+1 counter on each other Dragon creature you control."
Stormcrag Elemental,6.0,['Red'],['R'],None,['Creature'],['Elemental'],Uncommon,DTK,5,5,None,Trample\nMegamorph {4}{R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
Crater Elemental,3.0,['Red'],['R'],None,['Creature'],['Elemental'],Rare,DTK,0,6,None,"{R}, {T}, Sacrifice Crater Elemental: It deals 4 damage to target creature.\nFormidable — {2}{R}: Crater Elemental has base power 8 until end of turn. Activate only if creatures you control have total power 8 or greater."
Sprinting Warbrute,5.0,['Red'],['R'],None,['Creature'],"['Ogre', 'Berserker']",Common,DTK,5,4,None,"Sprinting Warbrute attacks each combat if able.\nDash {3}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
Berserkers' Onslaught,5.0,['Red'],['R'],None,['Enchantment'],None,Rare,DTK,None,None,None,Attacking creatures you control have double strike.
Atarka Pummeler,5.0,['Red'],['R'],None,['Creature'],"['Ogre', 'Warrior']",Uncommon,DTK,4,5,None,Formidable — {3}{R}{R}: Creatures you control gain menace until end of turn. Activate only if creatures you control have total power 8 or greater. (They can't be blocked except by two or more creatures.)
Atarka Efreet,4.0,['Red'],['R'],None,['Creature'],"['Efreet', 'Shaman']",Common,DTK,5,1,None,"Megamorph {2}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)\nWhen Atarka Efreet is turned face up, it deals 1 damage to any target."
Virulent Plague,3.0,['Black'],['B'],None,['Enchantment'],None,Uncommon,DTK,None,None,None,Creature tokens get -2/-2.
Wandering Tombshell,4.0,['Black'],['B'],None,['Creature'],"['Zombie', 'Turtle']",Common,DTK,1,6,None,None
Vulturous Aven,4.0,['Black'],['B'],None,['Creature'],"['Bird', 'Shaman']",Common,DTK,2,3,None,"Flying\nExploit (When this creature enters the battlefield, you may sacrifice a creature.)\nWhen Vulturous Aven exploits a creature, you draw two cards and you lose 2 life."
Silumgar Butcher,5.0,['Black'],['B'],None,['Creature'],"['Zombie', 'Djinn']",Common,DTK,3,3,None,"Exploit (When this creature enters the battlefield, you may sacrifice a creature.)\nWhen Silumgar Butcher exploits a creature, target creature gets -3/-3 until end of turn."
"Sidisi, Undead Vizier",5.0,['Black'],['B'],['Legendary'],['Creature'],"['Zombie', 'Naga']",Rare,DTK,4,6,None,"Deathtouch\nExploit (When this creature enters the battlefield, you may sacrifice a creature.)\nWhen Sidisi, Undead Vizier exploits a creature, you may search your library for a card, put it into your hand, then shuffle."
Ultimate Price,2.0,['Black'],['B'],None,['Instant'],None,Uncommon,DTK,None,None,None,Destroy target monocolored creature.
Ukud Cobra,4.0,['Black'],['B'],None,['Creature'],['Snake'],Uncommon,DTK,2,5,None,Deathtouch
Sibsig Icebreakers,3.0,['Black'],['B'],None,['Creature'],['Zombie'],Common,DTK,2,3,None,"When Sibsig Icebreakers enters the battlefield, each player discards a card."
Seismic Rupture,3.0,['Red'],['R'],None,['Sorcery'],None,Uncommon,DTK,None,None,None,Seismic Rupture deals 2 damage to each creature without flying.
Screamreach Brawler,3.0,['Red'],['R'],None,['Creature'],"['Orc', 'Berserker']",Common,DTK,2,3,None,"Dash {1}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
Sarkhan's Triumph,3.0,['Red'],['R'],None,['Instant'],None,Uncommon,DTK,None,None,None,"Search your library for a Dragon creature card, reveal it, put it into your hand, then shuffle."
Volcanic Vision,7.0,['Red'],['R'],None,['Sorcery'],None,Rare,DTK,None,None,None,Return target instant or sorcery card from your graveyard to your hand. Volcanic Vision deals damage equal to that card's mana value to each creature your opponents control. Exile Volcanic Vision.
Descent of the Dragons,6.0,['Red'],['R'],None,['Sorcery'],None,Mythic,DTK,None,None,None,"Destroy any number of target creatures. For each creature destroyed this way, its controller creates a 4/4 red Dragon creature token with flying."
Volcanic Rush,5.0,['Red'],['R'],None,['Instant'],None,Common,DTK,None,None,None,Attacking creatures get +2/+0 and gain trample until end of turn.
Sarkhan's Rage,5.0,['Red'],['R'],None,['Instant'],None,Common,DTK,None,None,None,"Sarkhan's Rage deals 5 damage to any target. If you control no Dragons, Sarkhan's Rage deals 2 damage to you."
Sabertooth Outrider,4.0,['Red'],['R'],None,['Creature'],"['Human', 'Warrior']",Common,DTK,4,2,None,"Trample\nFormidable — Whenever Sabertooth Outrider attacks, if creatures you control have total power 8 or greater, Sabertooth Outrider gains first strike until end of turn."
Roast,2.0,['Red'],['R'],None,['Sorcery'],None,Uncommon,DTK,None,None,None,Roast deals 5 damage to target creature without flying.
Rending Volley,1.0,['Red'],['R'],None,['Instant'],None,Uncommon,DTK,None,None,None,This spell can't be countered.\nRending Volley deals 4 damage to target white or blue creature.
Qal Sisma Behemoth,3.0,['Red'],['R'],None,['Creature'],"['Ogre', 'Warrior']",Uncommon,DTK,5,5,None,Qal Sisma Behemoth can't attack or block unless you pay {2}.
Magmatic Chasm,2.0,['Red'],['R'],None,['Sorcery'],None,Common,DTK,None,None,None,Creatures without flying can't block this turn.
Lose Calm,4.0,['Red'],['R'],None,['Sorcery'],None,Common,DTK,None,None,None,Gain control of target creature until end of turn. Untap that creature. It gains haste and menace until end of turn. (A creature with menace can't be blocked except by two or more creatures.)
Lightning Berserker,1.0,['Red'],['R'],None,['Creature'],"['Human', 'Berserker']",Uncommon,DTK,1,1,None,"{R}: Lightning Berserker gets +1/+0 until end of turn.\nDash {R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
Kolaghan Stormsinger,1.0,['Red'],['R'],None,['Creature'],"['Human', 'Shaman']",Common,DTK,1,1,None,"Haste\nMegamorph {R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)\nWhen Kolaghan Stormsinger is turned face up, target creature gains haste until end of turn."
