Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Slaughter,4.0,['Black'],['B'],None,['Instant'],None,Uncommon,EXO,None,None,None,"Buyback—Pay 4 life. (You may pay 4 life in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)\nDestroy target nonblack creature. It can't be regenerated."
Keeper of the Beasts,2.0,['Green'],['G'],None,['Creature'],"['Human', 'Wizard']",Uncommon,EXO,1,2,None,"{G}, {T}: Choose target opponent who controlled more creatures than you did as you activated this ability. Create a 2/2 green Beast creature token."
Scare Tactics,1.0,['Black'],['B'],None,['Instant'],None,Common,EXO,None,None,None,Creatures you control get +1/+0 until end of turn.
Jackalope Herd,4.0,['Green'],['G'],None,['Creature'],"['Rabbit', 'Beast']",Common,EXO,4,5,None,"When you cast a spell, return Jackalope Herd to its owner's hand."
Recurring Nightmare,3.0,['Black'],['B'],None,['Enchantment'],None,Rare,EXO,None,None,None,"Sacrifice a creature, Return Recurring Nightmare to its owner's hand: Return target creature card from your graveyard to the battlefield. Activate only as a sorcery."
Elvish Berserker,1.0,['Green'],['G'],None,['Creature'],"['Elf', 'Berserker']",Common,EXO,1,1,None,"Whenever Elvish Berserker becomes blocked, it gets +1/+1 until end of turn for each creature blocking it."
Plaguebearer,2.0,['Black'],['B'],None,['Creature'],['Zombie'],Rare,EXO,1,1,None,{X}{X}{B}: Destroy target nonblack creature with mana value X.
Elven Palisade,1.0,['Green'],['G'],None,['Enchantment'],None,Uncommon,EXO,None,None,None,Sacrifice a Forest: Target attacking creature gets -3/-0 until end of turn.
Pit Spawn,7.0,['Black'],['B'],None,['Creature'],['Demon'],Rare,EXO,6,4,None,"First strike\nAt the beginning of your upkeep, sacrifice Pit Spawn unless you pay {B}{B}.\nWhenever Pit Spawn deals damage to a creature, exile that creature."
Bequeathal,1.0,['Green'],['G'],None,['Enchantment'],['Aura'],Common,EXO,None,None,None,"Enchant creature\nWhen enchanted creature dies, you draw two cards."
