Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Whisk Away,3.0,['Blue'],['U'],None,['Instant'],None,Common,FRF,None,None,None,Put target attacking or blocking creature on top of its owner's library.
Smoldering Efreet,2.0,['Red'],['R'],None,['Creature'],"['Efreet', 'Monk']",Common,FRF,2,2,None,"When Smoldering Efreet dies, it deals 2 damage to you."
Torrent Elemental,5.0,['Blue'],"['B', 'G', 'U']",None,['Creature'],['Elemental'],Mythic,FRF,3,5,None,"Flying\nWhenever Torrent Elemental attacks, tap all creatures defending player controls.\n{3}{B/G}{B/G}: Put Torrent Elemental from exile onto the battlefield tapped. Activate only as a sorcery."
Temur Battle Rage,2.0,['Red'],['R'],None,['Instant'],None,Common,FRF,None,None,None,Target creature gains double strike until end of turn.\nFerocious — That creature also gains trample until end of turn if you control a creature with power 4 or greater.
Temporal Trespass,11.0,['Blue'],['U'],None,['Sorcery'],None,Mythic,FRF,None,None,None,Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)\nTake an extra turn after this one. Exile Temporal Trespass.
Shockmaw Dragon,6.0,['Red'],['R'],None,['Creature'],['Dragon'],Uncommon,FRF,4,4,None,"Flying\nWhenever Shockmaw Dragon deals combat damage to a player, it deals 1 damage to each creature that player controls."
Supplant Form,6.0,['Blue'],['U'],None,['Instant'],None,Rare,FRF,None,None,None,Return target creature to its owner's hand. You create a token that's a copy of that creature.
Rageform,4.0,['Red'],['R'],None,['Enchantment'],None,Uncommon,FRF,None,None,None,"When Rageform enters the battlefield, it becomes an Aura with enchant creature. Manifest the top card of your library and attach Rageform to it. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)\nEnchanted creature has double strike. (It deals both first-strike and regular combat damage.)"
Sultai Skullkeeper,2.0,['Blue'],['U'],None,['Creature'],"['Naga', 'Shaman']",Common,FRF,2,1,None,"When Sultai Skullkeeper enters the battlefield, mill two cards."
Pyrotechnics,5.0,['Red'],['R'],None,['Sorcery'],None,Uncommon,FRF,None,None,None,Pyrotechnics deals 4 damage divided as you choose among any number of targets.
"Shu Yun, the Silent Tempest",3.0,['Blue'],"['R', 'U', 'W']",['Legendary'],['Creature'],"['Human', 'Monk']",Rare,FRF,3,2,None,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nWhenever you cast a noncreature spell, you may pay {R/W}{R/W}. If you do, target creature gains double strike until end of turn."
Outpost Siege,4.0,['Red'],['R'],None,['Enchantment'],None,Rare,FRF,None,None,None,"As Outpost Siege enters the battlefield, choose Khans or Dragons.\n• Khans — At the beginning of your upkeep, exile the top card of your library. Until end of turn, you may play that card.\n• Dragons — Whenever a creature you control leaves the battlefield, Outpost Siege deals 1 damage to any target."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,FRF,None,None,None,({T}: Add {G}.)
Shifting Loyalties,6.0,['Blue'],['U'],None,['Sorcery'],None,Uncommon,FRF,None,None,None,"Exchange control of two target permanents that share a card type. (Artifact, creature, enchantment, land, and planeswalker are card types.)"
Mardu Runemark,3.0,['Red'],['R'],None,['Enchantment'],['Aura'],Common,FRF,None,None,None,Enchant creature\nEnchanted creature gets +2/+2.\nEnchanted creature has first strike as long as you control a white or black permanent.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,FRF,None,None,None,({T}: Add {G}.)
Sage-Eye Avengers,6.0,['Blue'],['U'],None,['Creature'],"['Djinn', 'Monk']",Rare,FRF,4,5,None,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nWhenever Sage-Eye Avengers attacks, you may return target creature to its owner's hand if its power is less than Sage-Eye Avengers's power."
Mob Rule,6.0,['Red'],['R'],None,['Sorcery'],None,Rare,FRF,None,None,None,Choose one —\n• Gain control of all creatures with power 4 or greater until end of turn. Untap those creatures. They gain haste until end of turn.\n• Gain control of all creatures with power 3 or less until end of turn. Untap those creatures. They gain haste until end of turn.
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,FRF,None,None,None,({T}: Add {R}.)
Rite of Undoing,5.0,['Blue'],['U'],None,['Instant'],None,Uncommon,FRF,None,None,None,Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)\nReturn target nonland permanent you control and target nonland permanent you don't control to their owners' hands.
Mardu Scout,2.0,['Red'],['R'],None,['Creature'],"['Goblin', 'Scout']",Common,FRF,3,1,None,"Dash {1}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,FRF,None,None,None,({T}: Add {R}.)
Renowned Weaponsmith,2.0,['Blue'],['U'],None,['Creature'],"['Human', 'Artificer']",Uncommon,FRF,1,3,None,"{T}: Add {C}{C}. Spend this mana only to cast artifact spells or activate abilities of artifacts.\n{U}, {T}: Search your library for a card named Heart-Piercer Bow or Vial of Dragonfire, reveal it, put it into your hand, then shuffle."
