Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Vernadi Shieldmate,2.0,"['Green', 'White']","['G', 'W']",None,['Creature'],"['Human', 'Soldier']",Common,GRN,2,2,None,Vigilance
Ionize,3.0,"['Red', 'Blue']","['R', 'U']",None,['Instant'],None,Rare,GRN,None,None,None,Counter target spell. Ionize deals 2 damage to that spell's controller.
Piston-Fist Cyclops,3.0,"['Red', 'Blue']","['R', 'U']",None,['Creature'],['Cyclops'],Common,GRN,4,3,None,"Defender\nAs long as you've cast an instant or sorcery spell this turn, Piston-Fist Cyclops can attack as though it didn't have defender."
Hypothesizzle,5.0,"['Red', 'Blue']","['R', 'U']",None,['Instant'],None,Common,GRN,None,None,None,"Draw two cards. Then you may discard a nonland card. When you do, Hypothesizzle deals 4 damage to target creature."
House Guildmage,2.0,"['Black', 'Blue']","['B', 'U']",None,['Creature'],"['Human', 'Wizard']",Uncommon,GRN,2,2,None,"{1}{U}, {T}: Target creature doesn't untap during its controller's next untap step.\n{2}{B}, {T}: Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
Pitiless Gorgon,3.0,"['Black', 'Green']","['B', 'G']",None,['Creature'],['Gorgon'],Common,GRN,2,2,None,Deathtouch
Hammer Dropper,4.0,"['Red', 'White']","['R', 'W']",None,['Creature'],"['Giant', 'Soldier']",Common,GRN,5,2,None,"Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)"
Golgari Findbroker,4.0,"['Black', 'Green']","['B', 'G']",None,['Creature'],"['Elf', 'Shaman']",Uncommon,GRN,3,4,None,"When Golgari Findbroker enters the battlefield, return target permanent card from your graveyard to your hand."
Swathcutter Giant,6.0,"['Red', 'White']","['R', 'W']",None,['Creature'],"['Giant', 'Soldier']",Uncommon,GRN,5,5,None,"Vigilance\nWhenever Swathcutter Giant attacks, it deals 1 damage to each creature defending player controls."
Worldsoul Colossus,2.0,"['Green', 'White']","['G', 'W']",None,['Creature'],['Elemental'],Uncommon,GRN,0,0,None,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nWorldsoul Colossus enters the battlefield with X +1/+1 counters on it.
