Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Slaughterhorn,3.0,['Green'],['G'],None,['Creature'],['Beast'],Common,GTC,3,2,None,"Bloodrush — {G}, Discard Slaughterhorn: Target attacking creature gets +3/+2 until end of turn."
Skarrg Goliath,8.0,['Green'],['G'],None,['Creature'],['Beast'],Rare,GTC,9,9,None,"Trample\nBloodrush — {5}{G}{G}, Discard Skarrg Goliath: Target attacking creature gets +9/+9 and gains trample until end of turn."
Serene Remembrance,1.0,['Green'],['G'],None,['Sorcery'],None,Uncommon,GTC,None,None,None,Shuffle Serene Remembrance and up to three target cards from a single graveyard into their owners' libraries.
Scab-Clan Charger,4.0,['Green'],['G'],None,['Creature'],"['Centaur', 'Warrior']",Common,GTC,2,4,None,"Bloodrush — {1}{G}, Discard Scab-Clan Charger: Target attacking creature gets +2/+4 until end of turn."
Rust Scarab,5.0,['Green'],['G'],None,['Creature'],['Insect'],Uncommon,GTC,4,5,None,"Whenever Rust Scarab becomes blocked, you may destroy target artifact or enchantment defending player controls."
Predator's Rapport,3.0,['Green'],['G'],None,['Instant'],None,Common,GTC,None,None,None,Choose target creature you control. You gain life equal to that creature's power plus its toughness.
Ooze Flux,4.0,['Green'],['G'],None,['Enchantment'],None,Rare,GTC,None,None,None,"{1}{G}, Remove one or more +1/+1 counters from among creatures you control: Create an X/X green Ooze creature token, where X is the number of +1/+1 counters removed this way."
Naturalize,2.0,['Green'],['G'],None,['Instant'],None,Common,GTC,None,None,None,Destroy target artifact or enchantment.
Miming Slime,3.0,['Green'],['G'],None,['Sorcery'],None,Uncommon,GTC,None,None,None,"Create an X/X green Ooze creature token, where X is the greatest power among creatures you control."
Ivy Lane Denizen,4.0,['Green'],['G'],None,['Creature'],"['Elf', 'Warrior']",Common,GTC,2,3,None,"Whenever another green creature enters the battlefield under your control, put a +1/+1 counter on target creature."
Hindervines,3.0,['Green'],['G'],None,['Instant'],None,Uncommon,GTC,None,None,None,Prevent all combat damage that would be dealt this turn by creatures with no +1/+1 counters on them.
Gyre Sage,2.0,['Green'],['G'],None,['Creature'],"['Elf', 'Druid']",Rare,GTC,1,2,None,"Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)\n{T}: Add {G} for each +1/+1 counter on Gyre Sage."
Greenside Watcher,2.0,['Green'],['G'],None,['Creature'],"['Elf', 'Druid']",Common,GTC,2,1,None,{T}: Untap target Gate.
