Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Tek,5.0,None,None,None,"['Artifact', 'Creature']",['Dragon'],Rare,INV,2,2,None,"Tek gets +0/+2 as long as you control a Plains, has flying as long as you control an Island, gets +2/+0 as long as you control a Swamp, has first strike as long as you control a Mountain, and has trample as long as you control a Forest."
Sparring Golem,3.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Uncommon,INV,2,2,None,"Whenever Sparring Golem becomes blocked, it gets +1/+1 until end of turn for each creature blocking it."
Seashell Cameo,3.0,None,"['U', 'W']",None,['Artifact'],None,Uncommon,INV,None,None,None,{T}: Add {W} or {U}.
Phyrexian Lens,3.0,None,None,None,['Artifact'],None,Rare,INV,None,None,None,"{T}, Pay 1 life: Add one mana of any color."
Power Armor,4.0,None,None,None,['Artifact'],None,Uncommon,INV,None,None,None,"Domain — {3}, {T}: Target creature gets +1/+1 until end of turn for each basic land type among lands you control."
Rith's Attendant,5.0,None,"['G', 'R', 'W']",None,"['Artifact', 'Creature']",['Golem'],Uncommon,INV,3,3,None,"{1}, Sacrifice Rith's Attendant: Add {R}{G}{W}."
Planar Portal,6.0,None,None,None,['Artifact'],None,Rare,INV,None,None,None,"{6}, {T}: Search your library for a card, put that card into your hand, then shuffle."
Phyrexian Altar,3.0,None,None,None,['Artifact'],None,Rare,INV,None,None,None,Sacrifice a creature: Add one mana of any color.
Lotus Guardian,7.0,None,None,None,"['Artifact', 'Creature']",['Dragon'],Rare,INV,4,4,None,Flying\n{T}: Add one mana of any color.
Juntu Stakes,2.0,None,None,None,['Artifact'],None,Rare,INV,None,None,None,Creatures with power 1 or less don't untap during their controllers' untap steps.
Darigaaz's Attendant,5.0,None,"['B', 'G', 'R']",None,"['Artifact', 'Creature']",['Golem'],Uncommon,INV,3,3,None,"{1}, Sacrifice Darigaaz's Attendant: Add {B}{R}{G}."
Dromar's Attendant,5.0,None,"['B', 'U', 'W']",None,"['Artifact', 'Creature']",['Golem'],Uncommon,INV,3,3,None,"{1}, Sacrifice Dromar's Attendant: Add {W}{U}{B}."
Drake-Skull Cameo,3.0,None,"['B', 'U']",None,['Artifact'],None,Uncommon,INV,None,None,None,{T}: Add {U} or {B}.
Alloy Golem,6.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Uncommon,INV,4,4,None,"As Alloy Golem enters the battlefield, choose a color.\nAlloy Golem is the chosen color. (It's still an artifact.)"
Wax // Wane,2.0,['Green'],"['G', 'W']",None,['Instant'],None,Uncommon,INV,None,None,None,Target creature gets +2/+2 until end of turn.
Crosis's Attendant,5.0,None,"['B', 'R', 'U']",None,"['Artifact', 'Creature']",['Golem'],Uncommon,INV,3,3,None,"{1}, Sacrifice Crosis's Attendant: Add {U}{B}{R}."
Chromatic Sphere,1.0,None,None,None,['Artifact'],None,Uncommon,INV,None,None,None,"{1}, {T}, Sacrifice Chromatic Sphere: Add one mana of any color. Draw a card."
Bloodstone Cameo,3.0,None,"['B', 'R']",None,['Artifact'],None,Uncommon,INV,None,None,None,{T}: Add {B} or {R}.
Assault // Battery,5.0,['Red'],"['G', 'R']",None,['Sorcery'],None,Uncommon,INV,None,None,None,Assault deals 2 damage to any target.
Pain // Suffering,5.0,['Black'],"['B', 'R']",None,['Sorcery'],None,Uncommon,INV,None,None,None,Target player discards a card.
Spite // Malice,8.0,['Blue'],"['B', 'U']",None,['Instant'],None,Uncommon,INV,None,None,None,Counter target noncreature spell.
Stand // Deliver,4.0,['White'],"['U', 'W']",None,['Instant'],None,Uncommon,INV,None,None,None,Prevent the next 2 damage that would be dealt to target creature this turn.
Yavimaya Kavu,4.0,"['Green', 'Red']","['G', 'R']",None,['Creature'],['Kavu'],Uncommon,INV,*,*,None,Yavimaya Kavu's power is equal to the number of red creatures on the battlefield.\nYavimaya Kavu's toughness is equal to the number of green creatures on the battlefield.
Yavimaya Barbarian,2.0,"['Green', 'Red']","['G', 'R']",None,['Creature'],"['Elf', 'Barbarian']",Common,INV,2,2,None,Protection from blue
Wings of Hope,2.0,"['Blue', 'White']","['U', 'W']",None,['Enchantment'],['Aura'],Common,INV,None,None,None,Enchant creature\nEnchanted creature gets +1/+3 and has flying.
Voracious Cobra,4.0,"['Green', 'Red']","['G', 'R']",None,['Creature'],['Snake'],Uncommon,INV,2,2,None,"First strike\nWhenever Voracious Cobra deals combat damage to a creature, destroy that creature."
Void,5.0,"['Black', 'Red']","['B', 'R']",None,['Sorcery'],None,Rare,INV,None,None,None,Choose a number. Destroy all artifacts and creatures with mana value equal to that number. Then target player reveals their hand and discards all nonland cards with mana value equal to the number.
Vodalian Zombie,2.0,"['Black', 'Blue']","['B', 'U']",None,['Creature'],"['Merfolk', 'Zombie']",Common,INV,2,2,None,Protection from green
Vile Consumption,3.0,"['Black', 'Blue']","['B', 'U']",None,['Enchantment'],None,Rare,INV,None,None,None,"All creatures have ""At the beginning of your upkeep, sacrifice this creature unless you pay 1 life."""
Vicious Kavu,3.0,"['Black', 'Red']","['B', 'R']",None,['Creature'],['Kavu'],Uncommon,INV,2,2,None,"Whenever Vicious Kavu attacks, it gets +2/+0 until end of turn."
Urborg Drake,3.0,"['Black', 'Blue']","['B', 'U']",None,['Creature'],['Drake'],Uncommon,INV,2,3,None,Flying\nUrborg Drake attacks each combat if able.
Undermine,3.0,"['Black', 'Blue']","['B', 'U']",None,['Instant'],None,Rare,INV,None,None,None,Counter target spell. Its controller loses 3 life.
Tsabo Tavoc,7.0,"['Black', 'Red']","['B', 'R']",['Legendary'],['Creature'],"['Phyrexian', 'Horror']",Rare,INV,7,4,None,"First strike, protection from legendary creatures\n{B}{B}, {T}: Destroy target legendary creature. It can't be regenerated."
"Treva, the Renewer",6.0,"['Green', 'Blue', 'White']","['G', 'U', 'W']",['Legendary'],['Creature'],['Dragon'],Rare,INV,6,6,None,"Flying\nWhenever Treva, the Renewer deals combat damage to a player, you may pay {2}{W}. If you do, choose a color, then you gain 1 life for each permanent of that color."
Teferi's Moat,5.0,"['Blue', 'White']","['U', 'W']",None,['Enchantment'],None,Rare,INV,None,None,None,"As Teferi's Moat enters the battlefield, choose a color.\nCreatures of the chosen color without flying can't attack you."
Sterling Grove,2.0,"['Green', 'White']","['G', 'W']",None,['Enchantment'],None,Uncommon,INV,None,None,None,"Other enchantments you control have shroud. (They can't be the targets of spells or abilities.)\n{1}, Sacrifice Sterling Grove: Search your library for an enchantment card, reveal it, then shuffle and put that card on top."
Stalking Assassin,3.0,"['Black', 'Blue']","['B', 'U']",None,['Creature'],"['Human', 'Assassin']",Rare,INV,1,1,None,"{3}{U}, {T}: Tap target creature.\n{3}{B}, {T}: Destroy target tapped creature."
Spinal Embrace,6.0,"['Black', 'Blue']","['B', 'U']",None,['Instant'],None,Rare,INV,None,None,None,"Cast this spell only during combat.\nUntap target creature you don't control and gain control of it. It gains haste until end of turn. At the beginning of the next end step, sacrifice it. If you do, you gain life equal to its toughness."
