Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Winterflame,3.0,"['Red', 'Blue']","['R', 'U']",None,['Instant'],None,Uncommon,KTK,None,None,None,Choose one or both —\n• Tap target creature.\n• Winterflame deals 2 damage to target creature.
Warden of the Eye,5.0,"['Red', 'Blue', 'White']","['R', 'U', 'W']",None,['Creature'],"['Djinn', 'Wizard']",Uncommon,KTK,3,3,None,"When Warden of the Eye enters the battlefield, return target noncreature, nonland card from your graveyard to your hand."
Villainous Wealth,3.0,"['Black', 'Green', 'Blue']","['B', 'G', 'U']",None,['Sorcery'],None,Rare,KTK,None,None,None,Target opponent exiles the top X cards of their library. You may cast any number of spells with mana value X or less from among them without paying their mana costs.
Utter End,4.0,"['Black', 'White']","['B', 'W']",None,['Instant'],None,Rare,KTK,None,None,None,Exile target nonland permanent.
Trap Essence,3.0,"['Green', 'Red', 'Blue']","['G', 'R', 'U']",None,['Instant'],None,Rare,KTK,None,None,None,Counter target creature spell. Put two +1/+1 counters on up to one target creature.
Surrak Dragonclaw,5.0,"['Green', 'Red', 'Blue']","['G', 'R', 'U']",['Legendary'],['Creature'],"['Human', 'Warrior']",Mythic,KTK,6,6,None,Flash\nThis spell can't be countered.\nCreature spells you control can't be countered.\nOther creatures you control have trample.
Temur Charm,3.0,"['Green', 'Red', 'Blue']","['G', 'R', 'U']",None,['Instant'],None,Uncommon,KTK,None,None,None,Choose one —\n• Target creature you control gets +1/+1 until end of turn. It fights target creature you don't control.\n• Counter target spell unless its controller pays {3}.\n• Creatures with power 3 or less can't block this turn.
Temur Ascendancy,3.0,"['Green', 'Red', 'Blue']","['G', 'R', 'U']",None,['Enchantment'],None,Rare,KTK,None,None,None,"Creatures you control have haste.\nWhenever a creature with power 4 or greater enters the battlefield under your control, you may draw a card."
"Sorin, Solemn Visitor",4.0,"['Black', 'White']","['B', 'W']",['Legendary'],['Planeswalker'],['Sorin'],Mythic,KTK,None,None,4,"[+1]: Until your next turn, creatures you control get +1/+0 and gain lifelink.\n[−2]: Create a 2/2 black Vampire creature token with flying.\n[−6]: You get an emblem with ""At the beginning of each opponent's upkeep, that player sacrifices a creature."""
Dismal Backwater,0.0,None,"['B', 'U']",None,['Land'],None,Common,KTK,None,None,None,"Dismal Backwater enters the battlefield tapped.\nWhen Dismal Backwater enters the battlefield, you gain 1 life.\n{T}: Add {U} or {B}."
Snowhorn Rider,6.0,"['Green', 'Red', 'Blue']","['G', 'R', 'U']",None,['Creature'],"['Human', 'Warrior']",Common,KTK,5,5,None,Trample\nMorph {2}{G}{U}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
