Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Borderland Ranger,3.0,['Green'],['G'],None,['Creature'],"['Human', 'Scout', 'Ranger']",Common,M10,2,2,None,"When Borderland Ranger enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,M10,None,None,None,({T}: Add {R}.)
Birds of Paradise,1.0,['Green'],['G'],None,['Creature'],['Bird'],Rare,M10,0,1,None,Flying\n{T}: Add one mana of any color.
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,M10,None,None,None,({T}: Add {R}.)
Awakener Druid,3.0,['Green'],['G'],None,['Creature'],"['Human', 'Druid']",Uncommon,M10,1,1,None,"When Awakener Druid enters the battlefield, target Forest becomes a 4/5 green Treefolk creature for as long as Awakener Druid remains on the battlefield. It's still a land."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,M10,None,None,None,({T}: Add {R}.)
Ant Queen,5.0,['Green'],['G'],None,['Creature'],['Insect'],Rare,M10,5,5,None,{1}{G}: Create a 1/1 green Insect creature token.
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,M10,None,None,None,({T}: Add {B}.)
Acidic Slime,5.0,['Green'],['G'],None,['Creature'],['Ooze'],Uncommon,M10,2,2,None,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)\nWhen Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,M10,None,None,None,({T}: Add {B}.)
Yawning Fissure,5.0,['Red'],['R'],None,['Sorcery'],None,Common,M10,None,None,None,Each opponent sacrifices a land.
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,M10,None,None,None,({T}: Add {B}.)
Warp World,8.0,['Red'],['R'],None,['Sorcery'],None,Rare,M10,None,None,None,"Each player shuffles all permanents they own into their library, then reveals that many cards from the top of their library. Each player puts all artifact, creature, and land cards revealed this way onto the battlefield, then does the same for enchantment cards, then puts all cards revealed this way that weren't put onto the battlefield on the bottom of their library."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,M10,None,None,None,({T}: Add {B}.)
Wall of Fire,3.0,['Red'],['R'],None,['Creature'],['Wall'],Uncommon,M10,0,5,None,Defender (This creature can't attack.)\n{R}: Wall of Fire gets +1/+0 until end of turn.
Protean Hydra,1.0,['Green'],['G'],None,['Creature'],['Hydra'],Mythic,M10,0,0,None,"Protean Hydra enters the battlefield with X +1/+1 counters on it.\nIf damage would be dealt to Protean Hydra, prevent that damage and remove that many +1/+1 counters from it.\nWhenever a +1/+1 counter is removed from Protean Hydra, put two +1/+1 counters on it at the beginning of the next end step."
Viashino Spearhunter,3.0,['Red'],['R'],None,['Creature'],"['Viashino', 'Warrior']",Common,M10,2,1,None,First strike (This creature deals combat damage before creatures without first strike.)
Prized Unicorn,4.0,['Green'],['G'],None,['Creature'],['Unicorn'],Uncommon,M10,2,2,None,All creatures able to block Prized Unicorn do so.
Trumpet Blast,3.0,['Red'],['R'],None,['Instant'],None,Common,M10,None,None,None,Attacking creatures get +2/+0 until end of turn.
Lightning Bolt,1.0,['Red'],['R'],None,['Instant'],None,Common,M10,None,None,None,Lightning Bolt deals 3 damage to any target.
Overrun,5.0,['Green'],['G'],None,['Sorcery'],None,Uncommon,M10,None,None,None,Creatures you control get +3/+3 and gain trample until end of turn.
Kindled Fury,1.0,['Red'],['R'],None,['Instant'],None,Common,M10,None,None,None,Target creature gets +1/+0 and gains first strike until end of turn.
Oakenform,3.0,['Green'],['G'],None,['Enchantment'],['Aura'],Common,M10,None,None,None,Enchant creature\nEnchanted creature gets +3/+3.
Siege-Gang Commander,5.0,['Red'],['R'],None,['Creature'],['Goblin'],Rare,M10,2,2,None,"When Siege-Gang Commander enters the battlefield, create three 1/1 red Goblin creature tokens.\n{1}{R}, Sacrifice a Goblin: Siege-Gang Commander deals 2 damage to any target."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,M10,None,None,None,({T}: Add {U}.)
Sparkmage Apprentice,2.0,['Red'],['R'],None,['Creature'],"['Human', 'Wizard']",Common,M10,1,1,None,"When Sparkmage Apprentice enters the battlefield, it deals 1 damage to any target."
Nature's Spiral,2.0,['Green'],['G'],None,['Sorcery'],None,Uncommon,M10,None,None,None,Return target permanent card from your graveyard to your hand.
Shivan Dragon,6.0,['Red'],['R'],None,['Creature'],['Dragon'],Rare,M10,5,5,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Shivan Dragon gets +1/+0 until end of turn.
Naturalize,2.0,['Green'],['G'],None,['Instant'],None,Common,M10,None,None,None,Destroy target artifact or enchantment.
Stone Giant,4.0,['Red'],['R'],None,['Creature'],['Giant'],Uncommon,M10,3,4,None,{T}: Target creature you control with toughness less than Stone Giant's power gains flying until end of turn. Destroy that creature at the beginning of the next end step.
Shatter,2.0,['Red'],['R'],None,['Instant'],None,Common,M10,None,None,None,Destroy target artifact.
Seismic Strike,3.0,['Red'],['R'],None,['Instant'],None,Common,M10,None,None,None,Seismic Strike deals damage to target creature equal to the number of Mountains you control.
Mold Adder,1.0,['Green'],['G'],None,['Creature'],"['Fungus', 'Snake']",Uncommon,M10,1,1,None,"Whenever an opponent casts a blue or black spell, you may put a +1/+1 counter on Mold Adder."
Raging Goblin,1.0,['Red'],['R'],None,['Creature'],"['Goblin', 'Berserker']",Common,M10,1,1,None,Haste (This creature can attack and {T} as soon as it comes under your control.)
Mist Leopard,4.0,['Green'],['G'],None,['Creature'],['Cat'],Common,M10,3,2,None,Shroud (This creature can't be the target of spells or abilities.)
Prodigal Pyromancer,3.0,['Red'],['R'],None,['Creature'],"['Human', 'Wizard']",Uncommon,M10,1,1,None,{T}: Prodigal Pyromancer deals 1 damage to any target.
Might of Oaks,4.0,['Green'],['G'],None,['Instant'],None,Rare,M10,None,None,None,Target creature gets +7/+7 until end of turn.
Panic Attack,3.0,['Red'],['R'],None,['Sorcery'],None,Common,M10,None,None,None,Up to three target creatures can't block this turn.
