Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Animar, Soul of Elements",3.0,"['Green', 'Red', 'Blue']","['G', 'R', 'U']",['Legendary'],['Creature'],['Elemental'],Mythic,MB1,1,1,None,"Protection from white and from black\nWhenever you cast a creature spell, put a +1/+1 counter on Animar, Soul of Elements.\nCreature spells you cast cost {1} less to cast for each +1/+1 counter on Animar."
Armadillo Cloak,3.0,"['Green', 'White']","['G', 'W']",None,['Enchantment'],['Aura'],Uncommon,MB1,None,None,None,"Enchant creature\nEnchanted creature gets +2/+2 and has trample.\nWhenever enchanted creature deals damage, you gain that much life."
Armament Corps,5.0,"['Black', 'Green', 'White']","['B', 'G', 'W']",None,['Creature'],"['Human', 'Soldier']",Uncommon,MB1,4,4,None,"When Armament Corps enters the battlefield, distribute two +1/+1 counters among one or two target creatures you control."
Assemble the Legion,5.0,"['Red', 'White']","['R', 'W']",None,['Enchantment'],None,Rare,MB1,None,None,None,"At the beginning of your upkeep, put a muster counter on Assemble the Legion. Then create a 1/1 red and white Soldier creature token with haste for each muster counter on Assemble the Legion."
"Athreos, God of Passage",3.0,"['Black', 'White']","['B', 'W']",['Legendary'],"['Enchantment', 'Creature']",['God'],Mythic,MB1,5,4,None,"Indestructible\nAs long as your devotion to white and black is less than seven, Athreos isn't a creature.\nWhenever another creature you own dies, return it to your hand unless target opponent pays 3 life."
Aura Shards,3.0,"['Green', 'White']","['G', 'W']",None,['Enchantment'],None,Uncommon,MB1,None,None,None,"Whenever a creature enters the battlefield under your control, you may destroy target artifact or enchantment."
Azorius Charm,2.0,"['Blue', 'White']","['U', 'W']",None,['Instant'],None,Uncommon,MB1,None,None,None,Choose one —\n• Creatures you control gain lifelink until end of turn.\n• Draw a card.\n• Put target attacking or blocking creature on top of its owner's library.
Azra Oddsmaker,3.0,"['Black', 'Red']","['B', 'R']",None,['Creature'],"['Azra', 'Warrior']",Uncommon,MB1,3,3,None,"At the beginning of combat on your turn, you may discard a card. If you do, choose a creature. Whenever that creature deals combat damage to a player this turn, you draw two cards."
Baleful Strix,2.0,"['Black', 'Blue']","['B', 'U']",None,"['Artifact', 'Creature']",['Bird'],Uncommon,MB1,1,1,None,"Flying, deathtouch\nWhen Baleful Strix enters the battlefield, draw a card."
Baloth Null,6.0,"['Black', 'Green']","['B', 'G']",None,['Creature'],"['Zombie', 'Beast']",Uncommon,MB1,4,5,None,"When Baloth Null enters the battlefield, return up to two target creature cards from your graveyard to your hand."
Bladewing the Risen,7.0,"['Black', 'Red']","['B', 'R']",['Legendary'],['Creature'],"['Zombie', 'Dragon']",Uncommon,MB1,4,4,None,"Flying\nWhen Bladewing the Risen enters the battlefield, you may return target Dragon permanent card from your graveyard to the battlefield.\n{B}{R}: Dragon creatures get +1/+1 until end of turn."
Blightning,3.0,"['Black', 'Red']","['B', 'R']",None,['Sorcery'],None,Uncommon,MB1,None,None,None,Blightning deals 3 damage to target player or planeswalker. That player or that planeswalker's controller discards two cards.
Bloodbraid Elf,4.0,"['Green', 'Red']","['G', 'R']",None,['Creature'],"['Elf', 'Berserker']",Uncommon,MB1,3,2,None,"Haste\nCascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)"
Bear's Companion,5.0,"['Green', 'Red', 'Blue']","['G', 'R', 'U']",None,['Creature'],"['Human', 'Warrior']",Uncommon,MB1,2,2,None,"When Bear's Companion enters the battlefield, create a 4/4 green Bear creature token."
Bituminous Blast,5.0,"['Black', 'Red']","['B', 'R']",None,['Instant'],None,Uncommon,MB1,None,None,None,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)\nBituminous Blast deals 4 damage to target creature."
Bounding Krasis,3.0,"['Green', 'Blue']","['G', 'U']",None,['Creature'],"['Fish', 'Lizard']",Uncommon,MB1,3,3,None,"Flash (You may cast this spell any time you could cast an instant.)\nWhen Bounding Krasis enters the battlefield, you may tap or untap target creature."
Call of the Nightwing,4.0,"['Black', 'Blue']","['B', 'U']",None,['Sorcery'],None,Uncommon,MB1,None,None,None,"Create a 1/1 blue and black Horror creature token with flying.\nCipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
Boros Challenger,2.0,"['Red', 'White']","['R', 'W']",None,['Creature'],"['Human', 'Soldier']",Uncommon,MB1,2,3,None,"Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)\n{2}{R}{W}: Boros Challenger gets +1/+1 until end of turn."
Campaign of Vengeance,5.0,"['Black', 'White']","['B', 'W']",None,['Enchantment'],None,Uncommon,MB1,None,None,None,"Whenever a creature you control attacks, defending player loses 1 life and you gain 1 life."
Cauldron Dance,6.0,"['Black', 'Red']","['B', 'R']",None,['Instant'],None,Uncommon,MB1,None,None,None,Cast this spell only during combat.\nReturn target creature card from your graveyard to the battlefield. That creature gains haste. Return it to your hand at the beginning of the next end step.\nYou may put a creature card from your hand onto the battlefield. That creature gains haste. Its controller sacrifices it at the beginning of the next end step.
Citadel Castellan,3.0,"['Green', 'White']","['G', 'W']",None,['Creature'],"['Human', 'Knight']",Uncommon,MB1,2,3,None,"Vigilance (Attacking doesn't cause this creature to tap.)\nRenown 2 (When this creature deals combat damage to a player, if it isn't renowned, put two +1/+1 counters on it and it becomes renowned.)"
Contraband Kingpin,2.0,"['Black', 'Blue']","['B', 'U']",None,['Creature'],"['Aetherborn', 'Rogue']",Uncommon,MB1,1,4,None,"Lifelink\nWhenever an artifact enters the battlefield under your control, scry 1."
Crosis's Charm,3.0,"['Black', 'Red', 'Blue']","['B', 'R', 'U']",None,['Instant'],None,Uncommon,MB1,None,None,None,Choose one —\n• Return target permanent to its owner's hand.\n• Destroy target nonblack creature. It can't be regenerated.\n• Destroy target artifact.
Corpsejack Menace,4.0,"['Black', 'Green']","['B', 'G']",None,['Creature'],['Fungus'],Uncommon,MB1,4,4,None,"If one or more +1/+1 counters would be put on a creature you control, twice that many +1/+1 counters are put on it instead."
Coiling Oracle,2.0,"['Green', 'Blue']","['G', 'U']",None,['Creature'],"['Snake', 'Elf', 'Druid']",Common,MB1,1,1,None,"When Coiling Oracle enters the battlefield, reveal the top card of your library. If it's a land card, put it onto the battlefield. Otherwise, put that card into your hand."
Belligerent Brontodon,7.0,"['Green', 'White']","['G', 'W']",None,['Creature'],['Dinosaur'],Uncommon,MB1,4,6,None,Each creature you control assigns combat damage equal to its toughness rather than its power.
Cunning Breezedancer,6.0,"['Blue', 'White']","['U', 'W']",None,['Creature'],['Dragon'],Uncommon,MB1,4,4,None,"Flying\nWhenever you cast a noncreature spell, Cunning Breezedancer gets +2/+2 until end of turn."
Deathreap Ritual,4.0,"['Black', 'Green']","['B', 'G']",None,['Enchantment'],None,Uncommon,MB1,None,None,None,"Morbid — At the beginning of each end step, if a creature died this turn, you may draw a card."
