Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Kemba's Legion,7.0,['White'],['W'],None,['Creature'],"['Cat', 'Soldier']",Uncommon,MBS,4,6,None,Vigilance\nKemba's Legion can block an additional creature each combat for each Equipment attached to Kemba's Legion.
Mirran Crusader,3.0,['White'],['W'],None,['Creature'],"['Human', 'Knight']",Rare,MBS,2,2,None,"Double strike, protection from black and from green"
Priests of Norn,3.0,['White'],['W'],None,['Creature'],"['Phyrexian', 'Cleric']",Common,MBS,1,4,None,Vigilance\nInfect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Loxodon Partisan,5.0,['White'],['W'],None,['Creature'],"['Elephant', 'Soldier']",Common,MBS,3,4,None,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)"
Master's Call,3.0,['White'],['W'],None,['Instant'],None,Common,MBS,None,None,None,Create two 1/1 colorless Myr artifact creature tokens.
Leonin Relic-Warder,2.0,['White'],['W'],None,['Creature'],"['Cat', 'Cleric']",Uncommon,MBS,2,2,None,"When Leonin Relic-Warder enters the battlefield, you may exile target artifact or enchantment.\nWhen Leonin Relic-Warder leaves the battlefield, return the exiled card to the battlefield under its owner's control."
Hero of Bladehold,4.0,['White'],['W'],None,['Creature'],"['Human', 'Knight']",Mythic,MBS,3,4,None,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)\nWhenever Hero of Bladehold attacks, create two 1/1 white Soldier creature tokens that are tapped and attacking."
Phyrexian Rebirth,6.0,['White'],['W'],None,['Sorcery'],None,Rare,MBS,None,None,None,"Destroy all creatures, then create an X/X colorless Phyrexian Horror artifact creature token, where X is the number of creatures destroyed this way."
Tine Shrike,4.0,['White'],['W'],None,['Creature'],"['Phyrexian', 'Bird']",Common,MBS,2,1,None,Flying\nInfect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
White Sun's Zenith,3.0,['White'],['W'],None,['Instant'],None,Rare,MBS,None,None,None,Create X 2/2 white Cat creature tokens. Shuffle White Sun's Zenith into its owner's library.
Cryptoplasm,3.0,['Blue'],['U'],None,['Creature'],['Shapeshifter'],Rare,MBS,2,2,None,"At the beginning of your upkeep, you may have Cryptoplasm become a copy of another target creature, except it has this ability."
Consecrated Sphinx,6.0,['Blue'],['U'],None,['Creature'],['Sphinx'],Mythic,MBS,4,6,None,"Flying\nWhenever an opponent draws a card, you may draw two cards."
Victory's Herald,6.0,['White'],['W'],None,['Creature'],['Angel'],Rare,MBS,4,4,None,"Flying\nWhenever Victory's Herald attacks, attacking creatures gain flying and lifelink until end of turn."
Corrupted Conscience,5.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Uncommon,MBS,None,None,None,Enchant creature\nYou control enchanted creature.\nEnchanted creature has infect. (It deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Blue Sun's Zenith,3.0,['Blue'],['U'],None,['Instant'],None,Rare,MBS,None,None,None,Target player draws X cards. Shuffle Blue Sun's Zenith into its owner's library.
