Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Lady Evangela,3.0,"['Black', 'Blue', 'White']","['B', 'U', 'W']",['Legendary'],['Creature'],"['Human', 'Cleric']",Uncommon,ME3,1,2,None,"{W}{B}, {T}: Prevent all combat damage that would be dealt by target creature this turn."
Lady Caleria,7.0,"['Green', 'White']","['G', 'W']",['Legendary'],['Creature'],"['Elf', 'Archer']",Uncommon,ME3,3,6,None,{T}: Lady Caleria deals 3 damage to target attacking or blocking creature.
Kjeldoran Frostbeast,5.0,"['Green', 'White']","['G', 'W']",None,['Creature'],"['Elemental', 'Beast']",Uncommon,ME3,2,4,None,"At end of combat, destroy all creatures blocking or blocked by Kjeldoran Frostbeast."
Kei Takahashi,4.0,"['Green', 'White']","['G', 'W']",['Legendary'],['Creature'],"['Human', 'Cleric']",Uncommon,ME3,2,2,None,{T}: Prevent the next 2 damage that would be dealt to target creature this turn.
Jerrard of the Closed Fist,6.0,"['Green', 'Red']","['G', 'R']",['Legendary'],['Creature'],"['Human', 'Knight']",Common,ME3,6,5,None,None
Jedit Ojanen,7.0,"['Blue', 'White']","['U', 'W']",['Legendary'],['Creature'],"['Cat', 'Warrior']",Common,ME3,5,5,None,None
Hunding Gjornersen,6.0,"['Blue', 'White']","['U', 'W']",['Legendary'],['Creature'],"['Human', 'Warrior']",Uncommon,ME3,5,4,None,"Rampage 1 (Whenever this creature becomes blocked, it gets +1/+1 until end of turn for each creature blocking it beyond the first.)"
Hazezon Tamar,7.0,"['Green', 'Red', 'White']","['G', 'R', 'W']",['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,ME3,2,4,None,"When Hazezon Tamar enters the battlefield, create X 1/1 Sand Warrior creature tokens that are red, green, and white at the beginning of your next upkeep, where X is the number of lands you control at that time.\nWhen Hazezon leaves the battlefield, exile all Sand Warriors."
Halfdane,4.0,"['Black', 'Blue', 'White']","['B', 'U', 'W']",['Legendary'],['Creature'],['Shapeshifter'],Rare,ME3,3,3,None,"At the beginning of your upkeep, change Halfdane's base power and toughness to the power and toughness of target creature other than Halfdane until the end of your next upkeep."
Gwendlyn Di Corci,4.0,"['Black', 'Red', 'Blue']","['B', 'R', 'U']",['Legendary'],['Creature'],"['Human', 'Rogue']",Rare,ME3,3,5,None,{T}: Target player discards a card at random. Activate only during your turn.
The Abyss,4.0,['Black'],['B'],['World'],['Enchantment'],None,Rare,ME3,None,None,None,"At the beginning of each player's upkeep, destroy target nonartifact creature that player controls of their choice. It can't be regenerated."
Gabriel Angelfire,7.0,"['Green', 'White']","['G', 'W']",['Legendary'],['Creature'],['Angel'],Rare,ME3,4,4,None,"At the beginning of your upkeep, choose flying, first strike, trample, or rampage 3. Gabriel Angelfire gains that ability until your next upkeep. (Whenever a creature with rampage 3 becomes blocked, it gets +3/+3 until end of turn for each creature blocking it beyond the first.)"
Chromium,8.0,"['Black', 'Blue', 'White']","['B', 'U', 'W']",['Legendary'],['Creature'],"['Elder', 'Dragon']",Rare,ME3,7,7,None,"Flying\nRampage 2 (Whenever this creature becomes blocked, it gets +2/+2 until end of turn for each creature blocking it beyond the first.)\nAt the beginning of your upkeep, sacrifice Chromium unless you pay {W}{U}{B}."
Boris Devilboon,5.0,"['Black', 'Red']","['B', 'R']",['Legendary'],['Creature'],"['Zombie', 'Wizard']",Uncommon,ME3,2,2,None,"{2}{B}{R}, {T}: Create a 1/1 black and red Demon creature token named Minor Demon."
