Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Armageddon,4.0,['White'],['W'],None,['Sorcery'],None,Mythic,MP2,None,None,None,Destroy all lands.
Vindicate,3.0,"['Black', 'White']","['B', 'W']",None,['Sorcery'],None,Mythic,MP2,None,None,None,Destroy target permanent.
Maelstrom Pulse,3.0,"['Black', 'Green']","['B', 'G']",None,['Sorcery'],None,Mythic,MP2,None,None,None,Destroy target nonland permanent and all other permanents with the same name as that permanent.
Rhonas the Indomitable,3.0,['Green'],['G'],['Legendary'],['Creature'],['God'],Mythic,MP2,5,5,None,"Deathtouch, indestructible\nRhonas the Indomitable can't attack or block unless you control another creature with power 4 or greater.\n{2}{G}: Another target creature gets +2/+0 and gains trample until end of turn."
Hazoret the Fervent,4.0,['Red'],['R'],['Legendary'],['Creature'],['God'],Mythic,MP2,5,4,None,"Indestructible, haste\nHazoret the Fervent can't attack or block unless you have one or fewer cards in hand.\n{2}{R}, Discard a card: Hazoret deals 2 damage to each opponent."
Chain Lightning,1.0,['Red'],['R'],None,['Sorcery'],None,Mythic,MP2,None,None,None,"Chain Lightning deals 3 damage to any target. Then that player or that permanent's controller may pay {R}{R}. If the player does, they may copy this spell and may choose a new target for that copy."
Aggravated Assault,3.0,['Red'],['R'],None,['Enchantment'],None,Mythic,MP2,None,None,None,"{3}{R}{R}: Untap all creatures you control. After this main phase, there is an additional combat phase followed by an additional main phase. Activate only as a sorcery."
Mind Twist,1.0,['Black'],['B'],None,['Sorcery'],None,Mythic,MP2,None,None,None,Target player discards X cards at random.
Entomb,1.0,['Black'],['B'],None,['Instant'],None,Mythic,MP2,None,None,None,"Search your library for a card, put that card into your graveyard, then shuffle."
Diabolic Intent,2.0,['Black'],['B'],None,['Sorcery'],None,Mythic,MP2,None,None,None,"As an additional cost to cast this spell, sacrifice a creature.\nSearch your library for a card, put that card into your hand, then shuffle."
Dark Ritual,1.0,['Black'],['B'],None,['Instant'],None,Mythic,MP2,None,None,None,Add {B}{B}{B}.
Bontu the Glorified,3.0,['Black'],['B'],['Legendary'],['Creature'],['God'],Mythic,MP2,4,6,None,"Menace, indestructible\nBontu the Glorified can't attack or block unless a creature died under your control this turn.\n{1}{B}, Sacrifice another creature: Scry 1. Each opponent loses 1 life and you gain 1 life."
Attrition,3.0,['Black'],['B'],None,['Enchantment'],None,Mythic,MP2,None,None,None,"{B}, Sacrifice a creature: Destroy target nonblack creature."
