Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Sliver Queen,5.0,"['Black', 'Green', 'Red', 'Blue', 'White']","['B', 'G', 'R', 'U', 'W']",['Legendary'],['Creature'],['Sliver'],Rare,OCM1,7,7,None,{2}: Create a 1/1 colorless Sliver creature token.
Mayael the Anima,3.0,"['Green', 'Red', 'White']","['G', 'R', 'W']",['Legendary'],['Creature'],"['Elf', 'Shaman']",Mythic,OCM1,2,3,None,"{3}{R}{G}{W}, {T}: Look at the top five cards of your library. You may put a creature card with power 5 or greater from among them onto the battlefield. Put the rest on the bottom of your library in any order."
Brion Stoutarm,4.0,"['Red', 'White']","['R', 'W']",['Legendary'],['Creature'],"['Giant', 'Warrior']",Rare,OCM1,4,4,None,"Lifelink\n{R}, {T}, Sacrifice another creature: Brion Stoutarm deals damage equal to the sacrificed creature's power to target player or planeswalker."
"Azusa, Lost but Seeking",3.0,['Green'],['G'],['Legendary'],['Creature'],"['Human', 'Monk']",Rare,OCM1,1,2,None,You may play two additional lands on each of your turns.
Zur the Enchanter,4.0,"['Black', 'Blue', 'White']","['B', 'U', 'W']",['Legendary'],['Creature'],"['Human', 'Wizard']",Rare,OCM1,1,4,None,"Flying\nWhenever Zur the Enchanter attacks, you may search your library for an enchantment card with mana value 3 or less, put it onto the battlefield, then shuffle."
"Glissa, the Traitor",3.0,"['Black', 'Green']","['B', 'G']",['Legendary'],['Creature'],"['Phyrexian', 'Zombie', 'Elf']",Mythic,OCM1,3,3,None,"First strike, deathtouch\nWhenever a creature an opponent controls dies, you may return target artifact card from your graveyard to your hand."
"Karrthus, Tyrant of Jund",7.0,"['Black', 'Green', 'Red']","['B', 'G', 'R']",['Legendary'],['Creature'],['Dragon'],Mythic,OCM1,7,7,None,"Flying, haste\nWhen Karrthus, Tyrant of Jund enters the battlefield, gain control of all Dragons, then untap all Dragons.\nOther Dragon creatures you control have haste."
"Karn, Silver Golem",5.0,None,None,['Legendary'],"['Artifact', 'Creature']",['Golem'],Rare,OCM1,4,4,None,"Whenever Karn, Silver Golem blocks or becomes blocked, it gets -4/+4 until end of turn.\n{1}: Target noncreature artifact becomes an artifact creature with power and toughness each equal to its mana value until end of turn."
"Godo, Bandit Warlord",6.0,['Red'],['R'],['Legendary'],['Creature'],"['Human', 'Barbarian']",Rare,OCM1,3,3,None,"When Godo, Bandit Warlord enters the battlefield, you may search your library for an Equipment card, put it onto the battlefield, then shuffle.\nWhenever Godo attacks for the first time each turn, untap it and all Samurai you control. After this phase, there is an additional combat phase."
"Grimgrin, Corpse-Born",5.0,"['Black', 'Blue']","['B', 'U']",['Legendary'],['Creature'],"['Zombie', 'Warrior']",Mythic,OCM1,5,5,None,"Grimgrin, Corpse-Born enters the battlefield tapped and doesn't untap during your untap step.\nSacrifice another creature: Untap Grimgrin and put a +1/+1 counter on it.\nWhenever Grimgrin attacks, destroy target creature defending player controls, then put a +1/+1 counter on Grimgrin."
