Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Gavony,0.0,None,None,None,['Plane'],['Innistrad'],Common,OPC2,None,None,None,"All creatures have vigilance.\nWhenever you roll {CHAOS}, creatures you control gain indestructible until end of turn."
Edge of Malacol,0.0,None,None,None,['Plane'],['Belenon'],Common,OPC2,None,None,None,"If a creature you control would untap during your untap step, put two +1/+1 counters on it instead.\nWhenever you roll {CHAOS}, untap each creature you control."
The Zephyr Maze,0.0,None,None,None,['Plane'],['Kyneth'],Common,OPC2,None,None,None,"Creatures with flying get +2/+0.\nCreatures without flying get -2/-0.\nWhenever you roll {CHAOS}, target creature gains flying until end of turn."
Bloodhill Bastion,0.0,None,None,None,['Plane'],['Equilor'],Common,OPC2,None,None,None,"Whenever a creature enters the battlefield, it gains double strike and haste until end of turn.\nWhenever you roll {CHAOS}, exile target nontoken creature you control, then return it to the battlefield under your control."
Windriddle Palaces,0.0,None,None,None,['Plane'],['Belenon'],Common,OPC2,None,None,None,"Players play with the top card of their libraries revealed.\nYou may play lands and cast spells from the top of any player's library.\nWhenever you roll {CHAOS}, each player mills a card."
Astral Arena,0.0,None,None,None,['Plane'],['Kolbahan'],Common,OPC2,None,None,None,"No more than one creature can attack each combat.\nNo more than one creature can block each combat.\nWhenever you roll {CHAOS}, Astral Arena deals 2 damage to each creature."
Furnace Layer,0.0,None,None,None,['Plane'],['New Phyrexia'],Common,OPC2,None,None,None,"When you planeswalk to Furnace Layer or at the beginning of your upkeep, select target player at random. That player discards a card. If that player discards a land card this way, they lose 3 life.\nWhenever you roll {CHAOS}, you may destroy target nonland permanent."
Truga Jungle,0.0,None,None,None,['Plane'],['Ergamon'],Common,OPC2,None,None,None,"All lands have ""{T}: Add one mana of any color.""\nWhenever you roll {CHAOS}, reveal the top three cards of your library. Put all land cards revealed this way into your hand and the rest on the bottom of your library in any order."
Akoum,0.0,None,None,None,['Plane'],['Zendikar'],Common,OPC2,None,None,None,"Players may cast enchantment spells as though they had flash.\nWhenever you roll {CHAOS}, destroy target creature that isn't enchanted."
Trail of the Mage-Rings,0.0,None,None,None,['Plane'],['Vryn'],Common,OPC2,None,None,None,"Instant and sorcery spells have rebound. (The spell's controller exiles the spell as it resolves if they cast it from their hand. At the beginning of that player's next upkeep, they may cast that card from exile without paying its mana cost.)\nWhenever you roll {CHAOS}, you may search your library for an instant or sorcery card, reveal it, put it into your hand, then shuffle."
