Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Planar Bridge,6.0,None,None,['Legendary'],['Artifact'],None,Mythic,PAER,None,None,None,"{8}, {T}: Search your library for a permanent card, put it onto the battlefield, then shuffle."
Aetherwind Basker,7.0,['Green'],['G'],None,['Creature'],['Lizard'],Mythic,PAER,7,7,None,"Trample\nWhenever Aetherwind Basker enters the battlefield or attacks, you get {E} (an energy counter) for each creature you control.\nPay {E}: Aetherwind Basker gets +1/+1 until end of turn."
"Yahenni, Undying Partisan",3.0,['Black'],['B'],['Legendary'],['Creature'],"['Aetherborn', 'Vampire']",Rare,PAER,2,2,None,"Haste\nWhenever a creature an opponent controls dies, put a +1/+1 counter on Yahenni, Undying Partisan.\nSacrifice another creature: Yahenni gains indestructible until end of turn."
Secret Salvage,5.0,['Black'],['B'],None,['Sorcery'],None,Rare,PAER,None,None,None,"Exile target nonland card from your graveyard. Search your library for any number of cards with the same name as that card, reveal them, put them into your hand, then shuffle."
Midnight Entourage,4.0,['Black'],['B'],None,['Creature'],"['Aetherborn', 'Rogue']",Rare,PAER,3,3,None,"Other Aetherborn you control get +1/+1.\nWhenever Midnight Entourage or another Aetherborn you control dies, you draw a card and you lose 1 life."
Oath of Ajani,2.0,"['Green', 'White']","['G', 'W']",['Legendary'],['Enchantment'],None,Rare,PAER,None,None,None,"When Oath of Ajani enters the battlefield, put a +1/+1 counter on each creature you control.\nPlaneswalker spells you cast cost {1} less to cast."
Herald of Anguish,7.0,['Black'],['B'],None,['Creature'],['Demon'],Mythic,PAER,5,5,None,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)\nFlying\nAt the beginning of your end step, each opponent discards a card.\n{1}{B}, Sacrifice an artifact: Target creature gets -2/-2 until end of turn."
Glint-Sleeve Siphoner,2.0,['Black'],['B'],None,['Creature'],"['Human', 'Rogue']",Rare,PAER,2,1,None,"Menace\nWhenever Glint-Sleeve Siphoner enters the battlefield or attacks, you get {E} (an energy counter).\nAt the beginning of your upkeep, you may pay {E}{E}. If you do, you draw a card and you lose 1 life."
Battle at the Bridge,1.0,['Black'],['B'],None,['Sorcery'],None,Rare,PAER,None,None,None,Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)\nTarget creature gets -X/-X until end of turn. You gain X life.
Tezzeret the Schemer,4.0,"['Black', 'Blue']","['B', 'U']",['Legendary'],['Planeswalker'],['Tezzeret'],Mythic,PAER,None,None,5,"[+1]: Create a colorless artifact token named Etherium Cell with ""{T}, Sacrifice this artifact: Add one mana of any color.""\n[−2]: Target creature gets +X/-X until end of turn, where X is the number of artifacts you control.\n[−7]: You get an emblem with ""At the beginning of combat on your turn, target artifact you control becomes an artifact creature with base power and toughness 5/5."""
Aethergeode Miner,2.0,['White'],['W'],None,['Creature'],"['Dwarf', 'Scout']",Rare,PAER,3,1,None,"Whenever Aethergeode Miner attacks, you get {E}{E} (two energy counters).\nPay {E}{E}: Exile Aethergeode Miner, then return it to the battlefield under its owner's control."
Greenwheel Liberator,2.0,['Green'],['G'],None,['Creature'],"['Elf', 'Warrior']",Rare,PAER,2,1,None,Revolt — Greenwheel Liberator enters the battlefield with two +1/+1 counters on it if a permanent you controlled left the battlefield this turn.
Yahenni's Expertise,4.0,['Black'],['B'],None,['Sorcery'],None,Rare,PAER,None,None,None,All creatures get -3/-3 until end of turn.\nYou may cast a spell with mana value 3 or less from your hand without paying its mana cost.
Hope of Ghirapur,1.0,None,None,['Legendary'],"['Artifact', 'Creature']",['Thopter'],Rare,PAER,1,1,None,"Flying\nSacrifice Hope of Ghirapur: Until your next turn, target player who was dealt combat damage by Hope of Ghirapur this turn can't cast noncreature spells."
Whir of Invention,3.0,['Blue'],['U'],None,['Instant'],None,Rare,PAER,None,None,None,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)\nSearch your library for an artifact card with mana value X or less, put it onto the battlefield, then shuffle."
Heart of Kiran,2.0,None,None,['Legendary'],['Artifact'],['Vehicle'],Mythic,PAER,4,4,None,"Flying, vigilance\nCrew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)\nYou may remove a loyalty counter from a planeswalker you control rather than pay Heart of Kiran's crew cost."
Trophy Mage,3.0,['Blue'],['U'],None,['Creature'],"['Human', 'Wizard']",Uncommon,PAER,2,2,None,"When Trophy Mage enters the battlefield, you may search your library for an artifact card with mana value 3, reveal it, put it into your hand, then shuffle."
Consulate Crackdown,5.0,['White'],['W'],None,['Enchantment'],None,Rare,PAER,None,None,None,"When Consulate Crackdown enters the battlefield, exile all artifacts your opponents control until Consulate Crackdown leaves the battlefield."
Quicksmith Spy,4.0,['Blue'],['U'],None,['Creature'],"['Human', 'Artificer']",Rare,PAER,2,3,None,"When Quicksmith Spy enters the battlefield, target artifact you control gains ""{T}: Draw a card"" for as long as you control Quicksmith Spy."
Greenbelt Rampager,1.0,['Green'],['G'],None,['Creature'],['Elephant'],Rare,PAER,3,4,None,"When Greenbelt Rampager enters the battlefield, pay {E}{E} (two energy counters). If you can't, return Greenbelt Rampager to its owner's hand and you get {E}."
Mechanized Production,4.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Mythic,PAER,None,None,None,"Enchant artifact you control\nAt the beginning of your upkeep, create a token that's a copy of enchanted artifact. Then if you control eight or more artifacts with the same name as one another, you win the game."
Rishkar's Expertise,6.0,['Green'],['G'],None,['Sorcery'],None,Rare,PAER,None,None,None,Draw cards equal to the greatest power among creatures you control.\nYou may cast a spell with mana value 5 or less from your hand without paying its mana cost.
Disallow,3.0,['Blue'],['U'],None,['Instant'],None,Rare,PAER,None,None,None,"Counter target spell, activated ability, or triggered ability. (Mana abilities can't be targeted.)"
Gonti's Aether Heart,6.0,None,None,['Legendary'],['Artifact'],None,Mythic,PAER,None,None,None,"Whenever Gonti's Aether Heart or another artifact enters the battlefield under your control, you get {E}{E} (two energy counters).\nPay {E}{E}{E}{E}{E}{E}{E}{E}, Exile Gonti's Aether Heart: Take an extra turn after this one."
Baral's Expertise,5.0,['Blue'],['U'],None,['Sorcery'],None,Rare,PAER,None,None,None,Return up to three target artifacts and/or creatures to their owners' hands.\nYou may cast a spell with mana value 4 or less from your hand without paying its mana cost.
"Baral, Chief of Compliance",2.0,['Blue'],['U'],['Legendary'],['Creature'],"['Human', 'Wizard']",Rare,PAER,1,3,None,"Instant and sorcery spells you cast cost {1} less to cast.\nWhenever a spell or ability you control counters a spell, you may draw a card. If you do, discard a card."
Aethersphere Harvester,3.0,None,None,None,['Artifact'],['Vehicle'],Rare,PAER,3,5,None,"Flying\nWhen Aethersphere Harvester enters the battlefield, you get {E}{E} (two energy counters).\nPay {E}: Aethersphere Harvester gains lifelink until end of turn.\nCrew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)"
Aethertide Whale,6.0,['Blue'],['U'],None,['Creature'],['Whale'],Rare,PAER,6,4,None,"Flying\nWhen Aethertide Whale enters the battlefield, you get {E}{E}{E}{E}{E}{E} (six energy counters).\nPay {E}{E}{E}{E}: Return Aethertide Whale to its owner's hand."
Sram's Expertise,4.0,['White'],['W'],None,['Sorcery'],None,Rare,PAER,None,None,None,Create three 1/1 colorless Servo artifact creature tokens.\nYou may cast a spell with mana value 3 or less from your hand without paying its mana cost.
Call for Unity,5.0,['White'],['W'],None,['Enchantment'],None,Rare,PAER,None,None,None,"Revolt — At the beginning of your end step, if a permanent you controlled left the battlefield this turn, put a unity counter on Call for Unity.\nCreatures you control get +1/+1 for each unity counter on Call for Unity."
"Sram, Senior Edificer",2.0,['White'],['W'],['Legendary'],['Creature'],"['Dwarf', 'Advisor']",Rare,PAER,2,2,None,"Whenever you cast an Aura, Equipment, or Vehicle spell, draw a card."
Heroic Intervention,2.0,['Green'],['G'],None,['Instant'],None,Rare,PAER,None,None,None,Permanents you control gain hexproof and indestructible until end of turn.
Release the Gremlins,1.0,['Red'],['R'],None,['Sorcery'],None,Rare,PAER,None,None,None,Destroy X target artifacts. Create X 2/2 red Gremlin creature tokens.
Solemn Recruit,3.0,['White'],['W'],None,['Creature'],"['Dwarf', 'Warrior']",Rare,PAER,2,2,None,"Double strike\nRevolt — At the beginning of your end step, if a permanent you controlled left the battlefield this turn, put a +1/+1 counter on Solemn Recruit."
Indomitable Creativity,3.0,['Red'],['R'],None,['Sorcery'],None,Mythic,PAER,None,None,None,"Destroy X target artifacts and/or creatures. For each permanent destroyed this way, its controller reveals cards from the top of their library until an artifact or creature card is revealed and exiles that card. Those players put the exiled cards onto the battlefield, then shuffle."
Exquisite Archangel,7.0,['White'],['W'],None,['Creature'],['Angel'],Mythic,PAER,5,5,None,"Flying\nIf you would lose the game, instead exile Exquisite Archangel and your life total becomes equal to your starting life total."
Dark Intimations,5.0,"['Black', 'Red', 'Blue']","['B', 'R', 'U']",None,['Sorcery'],None,Rare,PAER,None,None,None,"Each opponent sacrifices a creature or planeswalker, then discards a card. You return a creature or planeswalker card from your graveyard to your hand, then draw a card.\nWhen you cast a Bolas planeswalker spell, exile Dark Intimations from your graveyard. That planeswalker enters the battlefield with an additional loyalty counter on it."
Spire of Industry,0.0,None,None,None,['Land'],None,Rare,PAER,None,None,None,"{T}: Add {C}.\n{T}, Pay 1 life: Add one mana of any color. Activate only if you control an artifact."
Walking Ballista,0.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,PAER,0,0,None,Walking Ballista enters the battlefield with X +1/+1 counters on it.\n{4}: Put a +1/+1 counter on Walking Ballista.\nRemove a +1/+1 counter from Walking Ballista: It deals 1 damage to any target.
"Rishkar, Peema Renegade",3.0,['Green'],['G'],['Legendary'],['Creature'],"['Elf', 'Druid']",Rare,PAER,2,2,None,"When Rishkar, Peema Renegade enters the battlefield, put a +1/+1 counter on each of up to two target creatures.\nEach creature you control with a counter on it has ""{T}: Add {G}."""
Quicksmith Rebel,4.0,['Red'],['R'],None,['Creature'],"['Human', 'Artificer']",Rare,PAER,3,2,None,"When Quicksmith Rebel enters the battlefield, target artifact you control gains ""{T}: This artifact deals 2 damage to any target"" for as long as you control Quicksmith Rebel."
Pia's Revolution,3.0,['Red'],['R'],None,['Enchantment'],None,Rare,PAER,None,None,None,"Whenever a nontoken artifact is put into your graveyard from the battlefield, return that card to your hand unless target opponent has Pia's Revolution deal 3 damage to them."
Scrap Trawler,3.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,PAER,3,2,None,"Whenever Scrap Trawler or another artifact you control is put into a graveyard from the battlefield, return to your hand target artifact card in your graveyard with lesser mana value."
Aid from the Cowl,5.0,['Green'],['G'],None,['Enchantment'],None,Rare,PAER,None,None,None,"Revolt — At the beginning of your end step, if a permanent you controlled left the battlefield this turn, reveal the top card of your library. If it's a permanent card, you may put it onto the battlefield. Otherwise, you may put it on the bottom of your library."
Metallic Mimic,2.0,None,None,None,"['Artifact', 'Creature']",['Shapeshifter'],Rare,PAER,2,1,None,"As Metallic Mimic enters the battlefield, choose a creature type.\nMetallic Mimic is the chosen type in addition to its other types.\nEach other creature you control of the chosen type enters the battlefield with an additional +1/+1 counter on it."
Peacewalker Colossus,3.0,None,['W'],None,['Artifact'],['Vehicle'],Rare,PAER,6,6,None,{1}{W}: Another target Vehicle you control becomes an artifact creature until end of turn.\nCrew 4 (Tap any number of creatures you control with total power 4 or more: This Vehicle becomes an artifact creature until end of turn.)
Ajani Unyielding,6.0,"['Green', 'White']","['G', 'W']",['Legendary'],['Planeswalker'],['Ajani'],Mythic,PAER,None,None,4,[+2]: Reveal the top three cards of your library. Put all nonland permanent cards revealed this way into your hand and the rest on the bottom of your library in any order.\n[−2]: Exile target creature. Its controller gains life equal to its power.\n[−9]: Put five +1/+1 counters on each creature you control and five loyalty counters on each other planeswalker you control.
Lightning Runner,5.0,['Red'],['R'],None,['Creature'],"['Human', 'Warrior']",Mythic,PAER,2,2,None,"Double strike, haste\nWhenever Lightning Runner attacks, you get {E}{E} (two energy counters), then you may pay {E}{E}{E}{E}{E}{E}{E}{E}. If you pay, untap all creatures you control, and after this phase, there is an additional combat phase."
Kari Zev's Expertise,3.0,['Red'],['R'],None,['Sorcery'],None,Rare,PAER,None,None,None,Gain control of target creature or Vehicle until end of turn. Untap it. It gains haste until end of turn.\nYou may cast a spell with mana value 2 or less from your hand without paying its mana cost.
Paradox Engine,5.0,None,None,['Legendary'],['Artifact'],None,Mythic,PAER,None,None,None,"Whenever you cast a spell, untap all nonland permanents you control."
"Kari Zev, Skyship Raider",2.0,['Red'],['R'],['Legendary'],['Creature'],"['Human', 'Pirate']",Rare,PAER,1,3,None,"First strike, menace\nWhenever Kari Zev, Skyship Raider attacks, create Ragavan, a legendary 2/1 red Monkey creature token. Ragavan enters the battlefield tapped and attacking. Exile that token at end of combat."
