Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Champion of Rhonas,4.0,['Green'],['G'],None,['Creature'],"['Jackal', 'Warrior']",Rare,PAKH,3,3,None,"You may exert Champion of Rhonas as it attacks. When you do, you may put a creature card from your hand onto the battlefield. (An exerted creature won't untap during your next untap step.)"
Mouth // Feed,7.0,['Green'],['G'],None,['Sorcery'],None,Rare,PAKH,None,None,None,Aftermath (Cast this spell only from your graveyard. Then exile it.)\nDraw a card for each creature you control with power 3 or greater.
Channeler Initiate,2.0,['Green'],['G'],None,['Creature'],"['Human', 'Druid']",Rare,PAKH,3,4,None,"When Channeler Initiate enters the battlefield, put three -1/-1 counters on target creature you control.\n{T}, Remove a -1/-1 counter from Channeler Initiate: Add one mana of any color."
Trueheart Duelist,2.0,['White'],['W'],None,['Creature'],"['Human', 'Warrior']",Uncommon,PAKH,2,2,None,"Trueheart Duelist can block an additional creature each combat.\nEmbalm {2}{W} ({2}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Human Warrior with no mana cost. Embalm only as a sorcery.)"
Approach of the Second Sun,7.0,['White'],['W'],None,['Sorcery'],None,Rare,PAKH,None,None,None,"If this spell was cast from your hand and you've cast another spell named Approach of the Second Sun this game, you win the game. Otherwise, put Approach of the Second Sun into its owner's library seventh from the top and you gain 7 life."
Glory-Bound Initiate,2.0,['White'],['W'],None,['Creature'],"['Human', 'Warrior']",Rare,PAKH,3,1,None,"You may exert Glory-Bound Initiate as it attacks. When you do, it gets +1/+3 and gains lifelink until end of turn. (An exerted creature won't untap during your next untap step.)"
Curator of Mysteries,4.0,['Blue'],['U'],None,['Creature'],['Sphinx'],Rare,PAKH,4,4,None,"Flying\nWhenever you cycle or discard another card, scry 1.\nCycling {U} ({U}, Discard this card: Draw a card.)"
Insult // Injury,6.0,['Red'],['R'],None,['Sorcery'],None,Rare,PAKH,None,None,None,Aftermath (Cast this spell only from your graveyard. Then exile it.)\nInjury deals 2 damage to target creature and 2 damage to target player or planeswalker.
Sweltering Suns,3.0,['Red'],['R'],None,['Sorcery'],None,Rare,PAKH,None,None,None,"Sweltering Suns deals 3 damage to each creature.\nCycling {3} ({3}, Discard this card: Draw a card.)"
Cascading Cataracts,0.0,None,None,None,['Land'],None,Rare,PAKH,None,None,None,"Indestructible\n{T}: Add {C}.\n{5}, {T}: Add five mana in any combination of colors."
As Foretold,3.0,['Blue'],['U'],None,['Enchantment'],None,Mythic,PAKH,None,None,None,"At the beginning of your upkeep, put a time counter on As Foretold.\nOnce each turn, you may pay {0} rather than pay the mana cost for a spell you cast with mana value X or less, where X is the number of time counters on As Foretold."
Never // Return,7.0,['Black'],['B'],None,['Sorcery'],None,Rare,PAKH,None,None,None,Aftermath (Cast this spell only from your graveyard. Then exile it.)\nExile target card from a graveyard. Create a 2/2 black Zombie creature token.
Gideon's Intervention,4.0,['White'],['W'],None,['Enchantment'],None,Rare,PAKH,None,None,None,"As Gideon's Intervention enters the battlefield, choose a card name.\nYour opponents can't cast spells with the chosen name.\nPrevent all damage that would be dealt to you and permanents you control by sources with the chosen name."
Gideon of the Trials,3.0,['White'],['W'],['Legendary'],['Planeswalker'],['Gideon'],Mythic,PAKH,None,None,3,"[+1]: Until your next turn, prevent all damage target permanent would deal.\n[0]: Until end of turn, Gideon of the Trials becomes a 4/4 Human Soldier creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn.\n[0]: You get an emblem with ""As long as you control a Gideon planeswalker, you can't lose the game and your opponents can't win the game."""
Regal Caracal,5.0,['White'],['W'],None,['Creature'],['Cat'],Rare,PAKH,3,3,None,"Other Cats you control get +1/+1 and have lifelink.\nWhen Regal Caracal enters the battlefield, create two 1/1 white Cat creature tokens with lifelink."
Irrigated Farmland,0.0,None,"['U', 'W']",None,['Land'],"['Plains', 'Island']",Rare,PAKH,None,None,None,"({T}: Add {W} or {U}.)\nIrrigated Farmland enters the battlefield tapped.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Soul-Scar Mage,1.0,['Red'],['R'],None,['Creature'],"['Human', 'Wizard']",Rare,PAKH,1,2,None,"Prowess\nIf a source you control would deal noncombat damage to a creature an opponent controls, put that many -1/-1 counters on that creature instead."
Fetid Pools,0.0,None,"['B', 'U']",None,['Land'],"['Island', 'Swamp']",Rare,PAKH,None,None,None,"({T}: Add {U} or {B}.)\nFetid Pools enters the battlefield tapped.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Anointed Procession,4.0,['White'],['W'],None,['Enchantment'],None,Rare,PAKH,None,None,None,"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead."
