Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Okaun, Eye of Chaos",5.0,['Red'],['R'],['Legendary'],['Creature'],"['Cyclops', 'Berserker']",Rare,PBBD,3,3,None,"Partner with Zndrsplt, Eye of Wisdom (When this creature enters the battlefield, target player may put Zndrsplt into their hand from their library, then shuffle.)\nAt the beginning of combat on your turn, flip a coin until you lose a flip.\nWhenever a player wins a coin flip, double Okaun's power and toughness until end of turn."
"Krav, the Unredeemed",5.0,['Black'],['B'],['Legendary'],['Creature'],['Demon'],Rare,PBBD,3,3,None,"Partner with Regna, the Redeemer (When this creature enters the battlefield, target player may put Regna into their hand from their library, then shuffle.)\n{B}, Sacrifice X creatures: Target player draws X cards and gains X life. Put X +1/+1 counters on Krav, the Unredeemed."
Soulblade Renewer,5.0,['Green'],['G'],None,['Creature'],"['Elf', 'Warrior']",Uncommon,PBBD,2,2,None,"Partner with Soulblade Corrupter (When this creature enters the battlefield, target player may put Soulblade Corrupter into their hand from their library, then shuffle.)\nWhen Soulblade Renewer enters the battlefield, support 2. (Put a +1/+1 counter on each of up to two other target creatures.)"
Rowan Kenrith,6.0,['Red'],['R'],['Legendary'],['Planeswalker'],['Rowan'],Mythic,PBBD,None,None,4,"[+2]: During target player's next turn, each creature that player controls attacks if able.\n[−2]: Rowan Kenrith deals 3 damage to each tapped creature target player controls.\n[−8]: Target player gets an emblem with ""Whenever you activate an ability that isn't a mana ability, copy it. You may choose new targets for the copy.""\nPartner with Will Kenrith\nRowan Kenrith can be your commander."
Blaring Recruiter,4.0,['White'],['W'],None,['Creature'],"['Elf', 'Warrior']",Uncommon,PBBD,2,2,None,"Partner with Blaring Captain (When this creature enters the battlefield, target player may put Blaring Captain into their hand from their library, then shuffle.)\n{2}{W}: Create a 1/1 white Warrior creature token."
Gorm the Great,4.0,['Green'],['G'],['Legendary'],['Creature'],"['Giant', 'Warrior']",Rare,PBBD,2,7,None,"Partner with Virtus the Veiled (When this creature enters the battlefield, target player may put Virtus into their hand from their library, then shuffle.)\nVigilance\nGorm the Great must be blocked if able, and Gorm must be blocked by two or more creatures if able."
Ley Weaver,4.0,['Green'],['G'],None,['Creature'],"['Human', 'Druid']",Uncommon,PBBD,2,2,None,"Partner with Lore Weaver (When this creature enters the battlefield, target player may put Lore Weaver into their hand from their library, then shuffle.)\n{T}: Untap two target lands."
Khorvath Brightflame,6.0,['Red'],['R'],['Legendary'],['Creature'],['Dragon'],Rare,PBBD,3,4,None,"Partner with Sylvia Brightspear (When this creature enters the battlefield, target player may put Sylvia into their hand from their library, then shuffle.)\nFlying, haste\nKnights your team controls have flying and haste."
Virtus the Veiled,3.0,['Black'],['B'],['Legendary'],['Creature'],"['Azra', 'Assassin']",Rare,PBBD,1,1,None,"Partner with Gorm the Great (When this creature enters the battlefield, target player may put Gorm into their hand from their library, then shuffle.)\nDeathtouch\nWhenever Virtus the Veiled deals combat damage to a player, that player loses half their life, rounded up."
Soulblade Corrupter,5.0,['Black'],['B'],None,['Creature'],"['Human', 'Warrior']",Uncommon,PBBD,3,3,None,"Partner with Soulblade Renewer (When this creature enters the battlefield, target player may put Soulblade Renewer into their hand from their library, then shuffle.)\nDeathtouch\nWhenever a creature with a +1/+1 counter on it attacks one of your opponents, that creature gains deathtouch until end of turn."
"Regna, the Redeemer",6.0,['White'],['W'],['Legendary'],['Creature'],['Angel'],Rare,PBBD,4,4,None,"Partner with Krav, the Unredeemed (When this creature enters the battlefield, target player may put Krav into their hand from their library, then shuffle.)\nFlying\nAt the beginning of each end step, if your team gained life this turn, create two 1/1 white Warrior creature tokens."
Chakram Retriever,5.0,['Blue'],['U'],None,['Creature'],"['Elemental', 'Dog']",Uncommon,PBBD,2,4,None,"Partner with Chakram Slinger (When this creature enters the battlefield, target player may put Chakram Slinger into their hand from their library, then shuffle.)\nWhenever you cast a spell during your turn, untap target creature."
Blaring Captain,4.0,['Black'],['B'],None,['Creature'],"['Azra', 'Warrior']",Uncommon,PBBD,2,2,None,"Partner with Blaring Recruiter (When this creature enters the battlefield, target player may put Blaring Recruiter into their hand from their library, then shuffle.)\nWhenever Blaring Captain attacks, attacking Warriors get +1/+1 until end of turn."
"Zndrsplt, Eye of Wisdom",5.0,['Blue'],['U'],['Legendary'],['Creature'],['Homunculus'],Rare,PBBD,1,4,None,"Partner with Okaun, Eye of Chaos (When this creature enters the battlefield, target player may put Okaun into their hand from their library, then shuffle.)\nAt the beginning of combat on your turn, flip a coin until you lose a flip.\nWhenever a player wins a coin flip, draw a card."
