Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Architect of the Untamed,3.0,['Green'],['G'],None,['Creature'],"['Elf', 'Artificer', 'Druid']",Rare,PKLD,2,3,None,"Whenever a land enters the battlefield under your control, you get {E} (an energy counter).\nPay {E}{E}{E}{E}{E}{E}{E}{E}: Create a 6/6 colorless Beast artifact creature token."
Confiscation Coup,5.0,['Blue'],['U'],None,['Sorcery'],None,Rare,PKLD,None,None,None,"Choose target artifact or creature. You get {E}{E}{E}{E} (four energy counters), then you may pay an amount of {E} equal to that permanent's mana value. If you do, gain control of it."
Aetherflux Reservoir,4.0,None,None,None,['Artifact'],None,Rare,PKLD,None,None,None,"Whenever you cast a spell, you gain 1 life for each spell you've cast this turn.\nPay 50 life: Aetherflux Reservoir deals 50 damage to any target."
Chief of the Foundry,3.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Uncommon,PKLD,2,3,None,Other artifact creatures you control get +1/+1.
Master Trinketeer,3.0,['White'],['W'],None,['Creature'],"['Dwarf', 'Artificer']",Rare,PKLD,3,2,None,Servos and Thopters you control get +1/+1.\n{3}{W}: Create a 1/1 colorless Servo artifact creature token.
Territorial Gorger,4.0,['Red'],['R'],None,['Creature'],['Gremlin'],Rare,PKLD,2,2,None,"Trample\nWhenever you get one or more {E} (energy counters), Territorial Gorger gets +2/+2 until end of turn."
"Skysovereign, Consul Flagship",5.0,None,None,['Legendary'],['Artifact'],['Vehicle'],Mythic,PKLD,6,5,None,"Flying\nWhenever Skysovereign, Consul Flagship enters the battlefield or attacks, it deals 3 damage to target creature or planeswalker an opponent controls.\nCrew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)"
Aetherstorm Roc,4.0,['White'],['W'],None,['Creature'],['Bird'],Rare,PKLD,3,3,None,"Flying\nWhenever Aetherstorm Roc or another creature enters the battlefield under your control, you get {E} (an energy counter).\nWhenever Aetherstorm Roc attacks, you may pay {E}{E}. If you do, put a +1/+1 counter on it and tap up to one target creature defending player controls."
"Chandra, Torch of Defiance",4.0,['Red'],['R'],['Legendary'],['Planeswalker'],['Chandra'],Mythic,PKLD,None,None,4,"[+1]: Exile the top card of your library. You may cast that card. If you don't, Chandra, Torch of Defiance deals 2 damage to each opponent.\n[+1]: Add {R}{R}.\n[−3]: Chandra, Torch of Defiance deals 4 damage to target creature.\n[−7]: You get an emblem with ""Whenever you cast a spell, this emblem deals 5 damage to any target."""
Madcap Experiment,4.0,['Red'],['R'],None,['Sorcery'],None,Rare,PKLD,None,None,None,Reveal cards from the top of your library until you reveal an artifact card. Put that card onto the battlefield and the rest on the bottom of your library in a random order. Madcap Experiment deals damage to you equal to the number of cards revealed this way.
Aethersquall Ancient,7.0,['Blue'],['U'],None,['Creature'],['Leviathan'],Rare,PKLD,6,6,None,"Flying\nAt the beginning of your upkeep, you get {E}{E}{E} (three energy counters).\nPay {E}{E}{E}{E}{E}{E}{E}{E}: Return all other creatures to their owners' hands. Activate only as a sorcery."
Torrential Gearhulk,6.0,['Blue'],['U'],None,"['Artifact', 'Creature']",['Construct'],Mythic,PKLD,5,6,None,"Flash\nWhen Torrential Gearhulk enters the battlefield, you may cast target instant card from your graveyard without paying its mana cost. If that spell would be put into your graveyard this turn, exile it instead."
