Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Jet Medallion,2.0,None,None,None,['Artifact'],None,Rare,PLIST,None,None,None,Black spells you cast cost {1} less to cast.
Blood Clock,4.0,None,None,None,['Artifact'],None,Rare,PLIST,None,None,None,"At the beginning of each player's upkeep, that player returns a permanent they control to its owner's hand unless they pay 2 life."
Flesh // Blood,7.0,"['Black', 'Green']","['B', 'G', 'R']",None,['Sorcery'],None,Rare,PLIST,None,None,None,"Exile target creature card from a graveyard. Put X +1/+1 counters on target creature, where X is the power of the card you exiled.\nFuse (You may cast one or both halves of this card from your hand.)"
Moonhold,3.0,"['Red', 'White']","['R', 'W']",None,['Instant'],None,Uncommon,PLIST,None,None,None,Target player can't play lands this turn if {R} was spent to cast this spell and can't cast creature spells this turn if {W} was spent to cast this spell. (Do both if {R}{W} was spent.)
Mistmeadow Witch,2.0,"['Blue', 'White']","['U', 'W']",None,['Creature'],"['Kithkin', 'Wizard']",Uncommon,PLIST,1,1,None,{2}{W}{U}: Exile target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step.
Witch-Maw Nephilim,4.0,"['Black', 'Green', 'Blue', 'White']","['B', 'G', 'U', 'W']",None,['Creature'],['Nephilim'],Rare,PLIST,1,1,None,"Whenever you cast a spell, you may put two +1/+1 counters on Witch-Maw Nephilim.\nWhenever Witch-Maw Nephilim attacks, it gains trample until end of turn if its power is 10 or greater."
Vela the Night-Clad,6.0,"['Black', 'Blue']","['B', 'U']",['Legendary'],['Creature'],"['Human', 'Wizard']",Mythic,PLIST,4,4,None,"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)\nOther creatures you control have intimidate.\nWhenever Vela the Night-Clad or another creature you control leaves the battlefield, each opponent loses 1 life."
"Karador, Ghost Chieftain",8.0,"['Black', 'Green', 'White']","['B', 'G', 'W']",['Legendary'],['Creature'],"['Centaur', 'Spirit']",Mythic,PLIST,3,4,None,"This spell costs {1} less to cast for each creature card in your graveyard.\nDuring each of your turns, you may cast a creature spell from your graveyard."
Sanguine Sacrament,2.0,['White'],['W'],None,['Instant'],None,Rare,PLIST,None,None,None,You gain twice X life. Put Sanguine Sacrament on the bottom of its owner's library.
Gisa and Geralf,4.0,"['Black', 'Blue']","['B', 'U']",['Legendary'],['Creature'],"['Human', 'Wizard']",Mythic,PLIST,4,4,None,"When Gisa and Geralf enters the battlefield, mill four cards.\nDuring each of your turns, you may cast a Zombie creature spell from your graveyard."
