Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Phage the Untouchable Avatar,0.0,None,None,None,['Vanguard'],None,Rare,PMOA,None,None,None,"Pay 1 life: Until end of turn, whenever a creature deals combat damage to you, destroy that creature.\nPay 1 life: Until end of turn, whenever target creature you control deals combat damage to a creature, destroy the damaged creature."
Tradewind Rider Avatar,0.0,None,None,None,['Vanguard'],None,Rare,PMOA,None,None,None,{3}: Each player returns a permanent they control to its owner's hand unless they pay 2 life.
Figure of Destiny Avatar,0.0,None,None,None,['Vanguard'],None,Rare,PMOA,None,None,None,{X}: Put a +1/+1 counter on target creature with fewer than X +1/+1 counters on it.
"Arcanis, the Omnipotent Avatar",0.0,None,None,None,['Vanguard'],None,Rare,PMOA,None,None,None,"{X}, Return a creature you control with mana value X to its owner's hand: Draw a number of cards chosen at random between 0 and X. X can't be 0."
Flametongue Kavu Avatar,0.0,None,None,None,['Vanguard'],None,Rare,PMOA,None,None,None,"Whenever a nontoken creature enters the battlefield under your control, that creature deals X damage to target creature, where X is a number chosen at random from 0 to 4."
Platinum Angel Avatar,0.0,None,None,None,['Vanguard'],None,Rare,PMOA,None,None,None,"If you control an artifact, a creature, an enchantment, and a land, you can't lose the game and your opponents can't win the game."
"Ashling, the Extinguisher Avatar",0.0,None,None,None,['Vanguard'],None,Rare,PMOA,None,None,None,{5}: Destroy all nonland permanents. Activate only once and only during your turn.
"Lyzolda, the Blood Witch Avatar",0.0,None,None,None,['Vanguard'],None,Rare,PMOA,None,None,None,"Hellbent — As long as you have no cards in hand, if a source you control would deal damage to a permanent or player, it deals double that damage to that permanent or player instead.\nHellbent — At the beginning of your end step, if you have no cards in hand, each of your opponents discards a card."
Royal Assassin Avatar,0.0,None,None,None,['Vanguard'],None,Rare,PMOA,None,None,None,"At the beginning of your upkeep, you draw a card and you lose 1 life."
Stuffy Doll Avatar,0.0,None,None,None,['Vanguard'],None,Rare,PMOA,None,None,None,"{0}: If damage would be dealt to you this turn by a source of your choice, prevent that damage. Stuffy Doll Avatar deals damage to you and target opponent or planeswalker equal to half the damage prevented this way, rounded up. Activate only once each turn."
"Ink-Eyes, Servant of Oni Avatar",0.0,None,None,None,['Vanguard'],None,Rare,PMOA,None,None,None,"At the beginning of the game, look at target opponent's hand and choose a nonland card from it. That player discards that card.\n{X}, Pay X life: Put target creature card with mana value X from an opponent's graveyard onto the battlefield under your control."
Mayael the Anima Avatar,0.0,None,None,None,['Vanguard'],None,Rare,PMOA,None,None,None,"At the beginning of your upkeep, reveal the top card of your library. If it's a creature card with power 5 or greater, put it into your hand. Otherwise, you may put it on the bottom of your library."
Fallen Angel Avatar,0.0,None,None,None,['Vanguard'],None,Rare,PMOA,None,None,None,"Whenever a creature you control dies, target opponent loses 1 life and you gain 1 life."
Two-Headed Giant of Foriys Avatar,0.0,None,None,None,['Vanguard'],None,Rare,PMOA,None,None,None,Creatures you control have menace. (They can't be blocked except by two or more creatures.)\nEach creature you control can block an additional creature each combat.
Mirror Entity Avatar,0.0,None,None,None,['Vanguard'],None,Rare,PMOA,None,None,None,"{X}: Choose a creature type. Until end of turn, creatures you control of the chosen type have base power and toughness X/X and gain all creature types."
Birds of Paradise Avatar,0.0,None,None,None,['Vanguard'],None,Rare,PMOA,None,None,None,"Lands you control have ""{T}: Add one mana of any color."""
Loxodon Hierarch Avatar,0.0,None,None,None,['Vanguard'],None,Rare,PMOA,None,None,None,Sacrifice a permanent: Regenerate target creature you control.
