Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Dead Man's Chest,2.0,['Black'],['B'],None,['Enchantment'],['Aura'],Rare,PRIX,None,None,None,"Enchant creature an opponent controls\nWhen enchanted creature dies, exile cards equal to its power from the top of its owner's library. You may cast spells from among those cards for as long as they remain exiled, and you may spend mana as though it were mana of any type to cast those spells."
"Zetalpa, Primal Dawn",8.0,['White'],['W'],['Legendary'],['Creature'],"['Elder', 'Dinosaur']",Rare,PRIX,4,8,None,"Flying, double strike, vigilance, trample, indestructible"
Profane Procession // Tomb of the Dusk Rose,3.0,None,"['B', 'W']",['Legendary'],['Land'],None,Rare,PRIX,None,None,None,"(Transforms from Profane Procession.)\n{T}: Add one mana of any color.\n{2}{W}{B}, {T}: Put a creature card exiled with this permanent onto the battlefield under your control."
Jadelight Ranger,3.0,['Green'],['G'],None,['Creature'],"['Merfolk', 'Scout', 'Ranger']",Rare,PRIX,2,1,None,"When Jadelight Ranger enters the battlefield, it explores, then it explores again. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard. Then repeat this process.)"
Bishop of Binding,4.0,['White'],['W'],None,['Creature'],"['Vampire', 'Cleric']",Rare,PRIX,1,1,None,"When Bishop of Binding enters the battlefield, exile target creature an opponent controls until Bishop of Binding leaves the battlefield.\nWhenever Bishop of Binding attacks, target Vampire gets +X/+X until end of turn, where X is the power of the exiled card."
Polyraptor,8.0,['Green'],['G'],None,['Creature'],['Dinosaur'],Mythic,PRIX,5,5,None,"Enrage — Whenever Polyraptor is dealt damage, create a token that's a copy of Polyraptor."
Trapjaw Tyrant,5.0,['White'],['W'],None,['Creature'],['Dinosaur'],Mythic,PRIX,5,5,None,"Enrage — Whenever Trapjaw Tyrant is dealt damage, exile target creature an opponent controls until Trapjaw Tyrant leaves the battlefield."
Temple Altisaur,5.0,['White'],['W'],None,['Creature'],['Dinosaur'],Rare,PRIX,3,4,None,"If a source would deal damage to another Dinosaur you control, prevent all but 1 of that damage."
"Angrath, the Flame-Chained",5.0,"['Black', 'Red']","['B', 'R']",['Legendary'],['Planeswalker'],['Angrath'],Mythic,PRIX,None,None,4,[+1]: Each opponent discards a card and loses 2 life.\n[−3]: Gain control of target creature until end of turn. Untap it. It gains haste until end of turn. Sacrifice it at the beginning of the next end step if it has mana value 3 or less.\n[−8]: Each opponent loses life equal to the number of cards in their graveyard.
Hadana's Climb // Winged Temple of Orazca,3.0,None,"['G', 'U']",['Legendary'],['Land'],None,Rare,PRIX,None,None,None,"(Transforms from Hadana's Climb.)\n{T}: Add one mana of any color.\n{1}{G}{U}, {T}: Target creature you control gains flying and gets +X/+X until end of turn, where X is its power."
Sphinx's Decree,2.0,['White'],['W'],None,['Sorcery'],None,Rare,PRIX,None,None,None,Each opponent can't cast instant or sorcery spells during that player's next turn.
Slaughter the Strong,3.0,['White'],['W'],None,['Sorcery'],None,Rare,PRIX,None,None,None,"Each player chooses any number of creatures they control with total power 4 or less, then sacrifices all other creatures they control."
"Ghalta, Primal Hunger",12.0,['Green'],['G'],['Legendary'],['Creature'],"['Elder', 'Dinosaur']",Rare,PRIX,12,12,None,"This spell costs {X} less to cast, where X is the total power of creatures you control.\nTrample"
Kumena's Awakening,4.0,['Blue'],['U'],None,['Enchantment'],None,Rare,PRIX,None,None,None,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)\nAt the beginning of your upkeep, each player draws a card. If you have the city's blessing, instead only you draw a card."
Paladin of Atonement,2.0,['White'],['W'],None,['Creature'],"['Vampire', 'Knight']",Rare,PRIX,1,1,None,"At the beginning of each upkeep, if you lost life last turn, put a +1/+1 counter on Paladin of Atonement.\nWhen Paladin of Atonement dies, you gain life equal to its toughness."
Siegehorn Ceratops,2.0,"['Green', 'White']","['G', 'W']",None,['Creature'],['Dinosaur'],Rare,PRIX,2,2,None,"Enrage — Whenever Siegehorn Ceratops is dealt damage, put two +1/+1 counters on it. (It must survive the damage to get the counters.)"
"Kumena, Tyrant of Orazca",3.0,"['Green', 'Blue']","['G', 'U']",['Legendary'],['Creature'],"['Merfolk', 'Shaman']",Mythic,PRIX,2,4,None,"Tap another untapped Merfolk you control: Kumena, Tyrant of Orazca can't be blocked this turn.\nTap three untapped Merfolk you control: Draw a card.\nTap five untapped Merfolk you control: Put a +1/+1 counter on each Merfolk you control."
Radiant Destiny,3.0,['White'],['W'],None,['Enchantment'],None,Rare,PRIX,None,None,None,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)\nAs Radiant Destiny enters the battlefield, choose a creature type.\nCreatures you control of the chosen type get +1/+1. As long as you have the city's blessing, they also have vigilance."
Evolving Wilds,0.0,None,None,None,['Land'],None,Common,PRIX,None,None,None,"{T}, Sacrifice Evolving Wilds: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
Protean Raider,3.0,"['Red', 'Blue']","['R', 'U']",None,['Creature'],"['Shapeshifter', 'Pirate']",Rare,PRIX,2,2,None,"Raid — If you attacked this turn, you may have Protean Raider enter the battlefield as a copy of any creature on the battlefield."
