Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Order of Midnight // Alter Fate,2.0,['Black'],['B'],None,['Creature'],"['Human', 'Knight']",Uncommon,PRM,2,2,None,Flying\nOrder of Midnight can't block.
Rosethorn Acolyte // Seasonal Ritual,3.0,['Green'],['G'],None,['Creature'],"['Elf', 'Druid']",Common,PRM,2,3,None,{T}: Add one mana of any color.
Mirran Crusader,3.0,['White'],['W'],None,['Creature'],"['Human', 'Knight']",Rare,PRM,2,2,None,"Double strike, protection from black and from green"
Jokulhaups,6.0,['Red'],['R'],None,['Sorcery'],None,Mythic,PRM,None,None,None,"Destroy all artifacts, creatures, and lands. They can't be regenerated."
Ancient Stirrings,1.0,['Green'],['G'],None,['Sorcery'],None,Mythic,PRM,None,None,None,Look at the top five cards of your library. You may reveal a colorless card from among them and put it into your hand. Then put the rest on the bottom of your library in any order.
Simic Ascendancy,2.0,"['Green', 'Blue']","['G', 'U']",None,['Enchantment'],None,Rare,PRM,None,None,None,"{1}{G}{U}: Put a +1/+1 counter on target creature you control.\nWhenever one or more +1/+1 counters are put on a creature you control, put that many growth counters on Simic Ascendancy.\nAt the beginning of your upkeep, if Simic Ascendancy has twenty or more growth counters on it, you win the game."
"Lavinia, Azorius Renegade",2.0,"['Blue', 'White']","['U', 'W']",['Legendary'],['Creature'],"['Human', 'Soldier']",Rare,PRM,2,2,None,"Each opponent can't cast noncreature spells with mana value greater than the number of lands that player controls.\nWhenever an opponent casts a spell, if no mana was spent to cast it, counter that spell."
Rakdos Firewheeler,4.0,"['Black', 'Red']","['B', 'R']",None,['Creature'],"['Human', 'Rogue']",Uncommon,PRM,4,3,None,"When Rakdos Firewheeler enters the battlefield, it deals 2 damage to target opponent and 2 damage to up to one target creature or planeswalker."
Gate Colossus,8.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Uncommon,PRM,8,8,None,"This spell costs {1} less to cast for each Gate you control.\nGate Colossus can't be blocked by creatures with power 2 or less.\nWhenever a Gate enters the battlefield under your control, you may put Gate Colossus from your graveyard on top of your library."
Time Wipe,5.0,"['Blue', 'White']","['U', 'W']",None,['Sorcery'],None,Rare,PRM,None,None,None,"Return a creature you control to its owner's hand, then destroy all creatures."
Liliana's Triumph,2.0,['Black'],['B'],None,['Instant'],None,Rare,PRM,None,None,None,"Each opponent sacrifices a creature. If you control a Liliana planeswalker, each opponent also discards a card."
Karn's Bastion,0.0,None,None,None,['Land'],None,Rare,PRM,None,None,None,"{T}: Add {C}.\n{4}, {T}: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
"Domri, Anarch of Bolas",3.0,"['Green', 'Red']","['G', 'R']",['Legendary'],['Planeswalker'],['Domri'],Rare,PRM,None,None,3,Creatures you control get +1/+0.\n[+1]: Add {R} or {G}. Creature spells you cast this turn can't be countered.\n[−2]: Target creature you control fights target creature you don't control.
