Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Deadbridge Goliath,4.0,['Green'],['G'],None,['Creature'],['Insect'],Rare,PRTR,5,5,None,"Scavenge {4}{G}{G} ({4}{G}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)"
Hypersonic Dragon,5.0,"['Red', 'Blue']","['R', 'U']",None,['Creature'],['Dragon'],Rare,PRTR,4,4,None,"Flying, haste\nYou may cast sorcery spells as though they had flash. (You may cast them any time you could cast an instant.)"
Dreg Mangler,3.0,"['Black', 'Green']","['B', 'G']",None,['Creature'],"['Plant', 'Zombie']",Uncommon,PRTR,3,3,None,"Haste\nScavenge {3}{B}{G} ({3}{B}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)"
Grove of the Guardian,0.0,None,"['G', 'W']",None,['Land'],None,Rare,PRTR,None,None,None,"{T}: Add {C}.\n{3}{G}{W}, {T}, Tap two untapped creatures you control, Sacrifice Grove of the Guardian: Create an 8/8 green and white Elemental creature token with vigilance."
Supreme Verdict,4.0,"['Blue', 'White']","['U', 'W']",None,['Sorcery'],None,Rare,PRTR,None,None,None,This spell can't be countered.\nDestroy all creatures.
Carnival Hellsteed,6.0,"['Black', 'Red']","['B', 'R']",None,['Creature'],"['Nightmare', 'Horse']",Rare,PRTR,5,4,None,"First strike, haste\nUnleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)"
Corpsejack Menace,4.0,"['Black', 'Green']","['B', 'G']",None,['Creature'],['Fungus'],Rare,PRTR,4,4,None,"If one or more +1/+1 counters would be put on a creature you control, twice that many +1/+1 counters are put on it instead."
Cryptborn Horror,3.0,"['Black', 'Red']","['B', 'R']",None,['Creature'],['Horror'],Rare,PRTR,0,0,None,"Trample\nCryptborn Horror enters the battlefield with X +1/+1 counters on it, where X is the total life lost by your opponents this turn."
Archon of the Triumvirate,7.0,"['Blue', 'White']","['U', 'W']",None,['Creature'],['Archon'],Rare,PRTR,4,5,None,"Flying\nWhenever Archon of the Triumvirate attacks, detain up to two target nonland permanents your opponents control. (Until your next turn, those permanents can't attack or block and their activated abilities can't be activated.)"
Dryad Militant,1.0,"['Green', 'White']","['G', 'W']",None,['Creature'],"['Dryad', 'Soldier']",Uncommon,PRTR,2,1,None,"If an instant or sorcery card would be put into a graveyard from anywhere, exile it instead."
