Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Mizzix's Mastery,4.0,['Red'],['R'],None,['Sorcery'],None,Rare,PZ1,None,None,None,"Exile target card that's an instant or sorcery from your graveyard. For each card exiled this way, copy it, and you may cast the copy without paying its mana cost. Exile Mizzix's Mastery.\nOverload {5}{R}{R}{R} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")"
Krosan Grip,3.0,['Green'],['G'],None,['Instant'],None,Uncommon,PZ1,None,None,None,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)\nDestroy target artifact or enchantment."
Harmonize,4.0,['Green'],['G'],None,['Sorcery'],None,Uncommon,PZ1,None,None,None,Draw three cards.
Scroll Rack,2.0,None,None,None,['Artifact'],None,Rare,PZ1,None,None,None,"{1}, {T}: Exile any number of cards from your hand face down. Put that many cards from the top of your library into your hand. Then look at the exiled cards and put them on top of your library in any order."
Sakura-Tribe Elder,2.0,['Green'],['G'],None,['Creature'],"['Snake', 'Shaman']",Uncommon,PZ1,1,1,None,"Sacrifice Sakura-Tribe Elder: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Great Oak Guardian,6.0,['Green'],['G'],None,['Creature'],['Treefolk'],Uncommon,PZ1,4,5,None,"Flash (You may cast this spell any time you could cast an instant.)\nReach\nWhen Great Oak Guardian enters the battlefield, creatures target player controls get +2/+2 until end of turn. Untap them."
Meteor Blast,3.0,['Red'],['R'],None,['Sorcery'],None,Rare,PZ1,None,None,None,Meteor Blast deals 4 damage to each of X targets.
Sylvan Library,2.0,['Green'],['G'],None,['Enchantment'],None,Rare,PZ1,None,None,None,"At the beginning of your draw step, you may draw two additional cards. If you do, choose two cards in your hand drawn this turn. For each of those cards, pay 4 life or put the card on top of your library."
Magus of the Wheel,3.0,['Red'],['R'],None,['Creature'],"['Human', 'Wizard']",Rare,PZ1,3,3,None,"{1}{R}, {T}, Sacrifice Magus of the Wheel: Each player discards their hand, then draws seven cards."
Swiftfoot Boots,2.0,None,None,None,['Artifact'],['Equipment'],Uncommon,PZ1,None,None,None,Equipped creature has hexproof and haste.\nEquip {1}
Goblin Sharpshooter,3.0,['Red'],['R'],None,['Creature'],['Goblin'],Rare,PZ1,1,1,None,"Goblin Sharpshooter doesn't untap during your untap step.\nWhenever a creature dies, untap Goblin Sharpshooter.\n{T}: Goblin Sharpshooter deals 1 damage to any target."
Flametongue Kavu,4.0,['Red'],['R'],None,['Creature'],['Kavu'],Uncommon,PZ1,4,2,None,"When Flametongue Kavu enters the battlefield, it deals 4 damage to target creature."
Bloodspore Thrinax,4.0,['Green'],['G'],None,['Creature'],['Lizard'],Rare,PZ1,2,2,None,"Devour 1 (As this enters the battlefield, you may sacrifice any number of creatures. This creature enters the battlefield with that many +1/+1 counters on it.)\nEach other creature you control enters the battlefield with an additional X +1/+1 counters on it, where X is the number of +1/+1 counters on Bloodspore Thrinax."
Sol Ring,1.0,None,None,None,['Artifact'],None,Uncommon,PZ1,None,None,None,{T}: Add {C}{C}.
Warchief Giant,5.0,['Red'],['R'],None,['Creature'],"['Giant', 'Warrior']",Uncommon,PZ1,5,3,None,"Haste\nMyriad (Whenever this creature attacks, for each opponent other than defending player, you may create a token that's a copy of this creature that's tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.)"
Sandstone Oracle,7.0,None,None,None,"['Artifact', 'Creature']",['Sphinx'],Rare,PZ1,4,4,None,"Flying\nWhen Sandstone Oracle enters the battlefield, choose an opponent. If that player has more cards in hand than you, draw cards equal to the difference."
Pathbreaker Ibex,6.0,['Green'],['G'],None,['Creature'],['Goat'],Rare,PZ1,3,3,None,"Whenever Pathbreaker Ibex attacks, creatures you control gain trample and get +X/+X until end of turn, where X is the greatest power among creatures you control."
Fiery Confluence,4.0,['Red'],['R'],None,['Sorcery'],None,Rare,PZ1,None,None,None,Choose three. You may choose the same mode more than once.\n• Fiery Confluence deals 1 damage to each creature.\n• Fiery Confluence deals 2 damage to each opponent.\n• Destroy target artifact.
