Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Vampire Bats,1.0,['Black'],['B'],None,['Creature'],['Bat'],Common,RQS,0,1,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{B}: Vampire Bats gets +1/+0 until end of turn. Activate no more than twice each turn.
Terror,2.0,['Black'],['B'],None,['Instant'],None,Common,RQS,None,None,None,"Destroy target nonartifact, nonblack creature. It can't be regenerated."
Sorceress Queen,3.0,['Black'],['B'],None,['Creature'],"['Human', 'Wizard']",Rare,RQS,1,1,None,{T}: Target creature other than Sorceress Queen has base power and toughness 0/2 until end of turn.
Scathe Zombies,3.0,['Black'],['B'],None,['Creature'],['Zombie'],Common,RQS,2,2,None,None
Raise Dead,1.0,['Black'],['B'],None,['Sorcery'],None,Common,RQS,None,None,None,Return target creature card from your graveyard to your hand.
Murk Dwellers,4.0,['Black'],['B'],None,['Creature'],['Zombie'],Common,RQS,2,2,None,"Whenever Murk Dwellers attacks and isn't blocked, it gets +2/+0 until end of combat."
Lost Soul,3.0,['Black'],['B'],None,['Creature'],"['Spirit', 'Minion']",Common,RQS,2,1,None,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Dark Ritual,1.0,['Black'],['B'],None,['Instant'],None,Common,RQS,None,None,None,Add {B}{B}{B}.
Circle of Protection: Black,2.0,['White'],['W'],None,['Enchantment'],None,Common,RQS,None,None,None,"{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage."
War Mammoth,4.0,['Green'],['G'],None,['Creature'],['Elephant'],Common,RQS,3,3,None,Trample
Zephyr Falcon,2.0,['Blue'],['U'],None,['Creature'],['Bird'],Common,RQS,1,1,None,"Flying, vigilance"
Bog Wraith,4.0,['Black'],['B'],None,['Creature'],['Wraith'],Uncommon,RQS,3,3,None,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Cursed Land,4.0,['Black'],['B'],None,['Enchantment'],['Aura'],Uncommon,RQS,None,None,None,"Enchant land\nAt the beginning of the upkeep of enchanted land's controller, Cursed Land deals 1 damage to that player."
Bog Imp,2.0,['Black'],['B'],None,['Creature'],['Imp'],Common,RQS,1,1,None,Flying (This creature can't be blocked except by creatures with flying or reach.)
Untamed Wilds,3.0,['Green'],['G'],None,['Sorcery'],None,Uncommon,RQS,None,None,None,"Search your library for a basic land card, put that card onto the battlefield, then shuffle."
Unsummon,1.0,['Blue'],['U'],None,['Instant'],None,Common,RQS,None,None,None,Return target creature to its owner's hand.
Twiddle,1.0,['Blue'],['U'],None,['Instant'],None,Common,RQS,None,None,None,"You may tap or untap target artifact, creature, or land."
Power Sink,1.0,['Blue'],['U'],None,['Instant'],None,Common,RQS,None,None,None,"Counter target spell unless its controller pays {X}. If that player doesn't, they tap all lands with mana abilities they control and lose all unspent mana."
Reverse Damage,3.0,['White'],['W'],None,['Instant'],None,Rare,RQS,None,None,None,"The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way."
Scryb Sprites,1.0,['Green'],['G'],None,['Creature'],['Faerie'],Common,RQS,1,1,None,Flying
Merfolk of the Pearl Trident,1.0,['Blue'],['U'],None,['Creature'],['Merfolk'],Common,RQS,1,1,None,None
Grizzly Bears,2.0,['Green'],['G'],None,['Creature'],['Bear'],Common,RQS,2,2,None,None
Feedback,3.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Uncommon,RQS,None,None,None,"Enchant enchantment\nAt the beginning of the upkeep of enchanted enchantment's controller, Feedback deals 1 damage to that player."
Elvish Archers,2.0,['Green'],['G'],None,['Creature'],"['Elf', 'Archer']",Rare,RQS,2,1,None,First strike
Energy Flux,3.0,['Blue'],['U'],None,['Enchantment'],None,Uncommon,RQS,None,None,None,"All artifacts have ""At the beginning of your upkeep, sacrifice this artifact unless you pay {2}."""
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,RQS,None,None,None,({T}: Add {G}.)
Elven Riders,5.0,['Green'],['G'],None,['Creature'],['Elf'],Uncommon,RQS,3,3,None,Elven Riders can't be blocked except by Walls and/or creatures with flying.
Circle of Protection: Red,2.0,['White'],['W'],None,['Enchantment'],None,Common,RQS,None,None,None,"{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,RQS,None,None,None,({T}: Add {G}.)
Alabaster Potion,2.0,['White'],['W'],None,['Instant'],None,Common,RQS,None,None,None,Choose one —\n• Target player gains X life.\n• Prevent the next X damage that would be dealt to any target this turn.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,RQS,None,None,None,({T}: Add {G}.)
Durkwood Boars,5.0,['Green'],['G'],None,['Creature'],['Boar'],Common,RQS,4,4,None,None
Pearled Unicorn,3.0,['White'],['W'],None,['Creature'],['Unicorn'],Common,RQS,2,2,None,None
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,RQS,None,None,None,({T}: Add {R}.)
Pyrotechnics,5.0,['Red'],['R'],None,['Sorcery'],None,Uncommon,RQS,None,None,None,Pyrotechnics deals 4 damage divided as you choose among any number of targets.
Mesa Pegasus,2.0,['White'],['W'],None,['Creature'],['Pegasus'],Common,RQS,1,1,None,"Flying; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)"
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,RQS,None,None,None,({T}: Add {R}.)
