Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Silverback Ape,5.0,['Green'],['G'],None,['Creature'],['Ape'],Uncommon,S99,5,5,None,None
Dakmor Sorceress,6.0,['Black'],['B'],None,['Creature'],"['Human', 'Wizard']",Rare,S99,*,4,None,Dakmor Sorceress's power is equal to the number of Swamps you control.
Nature's Lore,2.0,['Green'],['G'],None,['Sorcery'],None,Common,S99,None,None,None,"Search your library for a Forest card, put that card onto the battlefield, then shuffle."
Dakmor Scorpion,2.0,['Black'],['B'],None,['Creature'],['Scorpion'],Common,S99,2,1,None,None
Nature's Cloak,3.0,['Green'],['G'],None,['Sorcery'],None,Rare,S99,None,None,None,Green creatures you control gain forestwalk until end of turn. (They can't be blocked as long as defending player controls a Forest.)
Dakmor Plague,5.0,['Black'],['B'],None,['Sorcery'],None,Uncommon,S99,None,None,None,Dakmor Plague deals 3 damage to each creature and each player.
Natural Spring,5.0,['Green'],['G'],None,['Sorcery'],None,Uncommon,S99,None,None,None,Target player gains 8 life.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,S99,None,None,None,({T}: Add {G}.)
Dakmor Lancer,6.0,['Black'],['B'],None,['Creature'],"['Human', 'Knight']",Rare,S99,3,3,None,"When Dakmor Lancer enters the battlefield, destroy target nonblack creature."
Moon Sprite,2.0,['Green'],['G'],None,['Creature'],['Faerie'],Uncommon,S99,1,1,None,Flying
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,S99,None,None,None,({T}: Add {G}.)
Dakmor Ghoul,4.0,['Black'],['B'],None,['Creature'],['Zombie'],Uncommon,S99,2,2,None,"When Dakmor Ghoul enters the battlefield, target opponent loses 2 life and you gain 2 life."
Monstrous Growth,2.0,['Green'],['G'],None,['Sorcery'],None,Common,S99,None,None,None,Target creature gets +4/+4 until end of turn.
Norwood Archers,4.0,['Green'],['G'],None,['Creature'],"['Elf', 'Archer']",Common,S99,3,3,None,Reach (This creature can block creatures with flying.)
Dark Offering,6.0,['Black'],['B'],None,['Sorcery'],None,Uncommon,S99,None,None,None,Destroy target nonblack creature. You gain 3 life.
Lynx,2.0,['Green'],['G'],None,['Creature'],['Cat'],Uncommon,S99,2,1,None,Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,S99,None,None,None,({T}: Add {G}.)
Chorus of Woe,1.0,['Black'],['B'],None,['Sorcery'],None,Common,S99,None,None,None,Creatures you control get +1/+0 until end of turn.
Lone Wolf,3.0,['Green'],['G'],None,['Creature'],['Wolf'],Common,S99,2,2,None,You may have Lone Wolf assign its combat damage as though it weren't blocked.
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,S99,None,None,None,({T}: Add {R}.)
Bog Wraith,4.0,['Black'],['B'],None,['Creature'],['Wraith'],Uncommon,S99,3,3,None,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Grizzly Bears,2.0,['Green'],['G'],None,['Creature'],['Bear'],Common,S99,2,2,None,None
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,S99,None,None,None,({T}: Add {R}.)
Bog Raiders,3.0,['Black'],['B'],None,['Creature'],['Zombie'],Common,S99,2,2,None,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Gorilla Warrior,3.0,['Green'],['G'],None,['Creature'],"['Ape', 'Warrior']",Common,S99,3,2,None,None
Bog Imp,2.0,['Black'],['B'],None,['Creature'],['Imp'],Common,S99,1,1,None,Flying (This creature can't be blocked except by creatures with flying or reach.)
Durkwood Boars,5.0,['Green'],['G'],None,['Creature'],['Boar'],Common,S99,4,4,None,None
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,S99,None,None,None,({T}: Add {R}.)
Ancient Craving,4.0,['Black'],['B'],None,['Sorcery'],None,Rare,S99,None,None,None,You draw three cards and you lose 3 life.
