Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,SHM,None,None,None,({T}: Add {U}.)
Spiteful Visions,4.0,"['Black', 'Red']","['B', 'R']",None,['Enchantment'],None,Rare,SHM,None,None,None,"At the beginning of each player's draw step, that player draws an additional card.\nWhenever a player draws a card, Spiteful Visions deals 1 damage to that player."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,SHM,None,None,None,({T}: Add {U}.)
Traitor's Roar,5.0,"['Black', 'Red']","['B', 'R']",None,['Sorcery'],None,Common,SHM,None,None,None,"Tap target untapped creature. It deals damage equal to its power to its controller.\nConspire (As you cast this spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it and you may choose a new target for the copy.)"
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,SHM,None,None,None,({T}: Add {W}.)
Torrent of Souls,5.0,"['Black', 'Red']","['B', 'R']",None,['Sorcery'],None,Uncommon,SHM,None,None,None,Return up to one target creature card from your graveyard to the battlefield if {B} was spent to cast this spell. Creatures target player controls get +2/+0 and gain haste until end of turn if {R} was spent to cast this spell. (Do both if {B}{R} was spent.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,SHM,None,None,None,({T}: Add {W}.)
Sootstoke Kindler,2.0,"['Black', 'Red']","['B', 'R']",None,['Creature'],"['Elemental', 'Shaman']",Common,SHM,1,1,None,Haste\n{T}: Target black or red creature gains haste until end of turn.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,SHM,None,None,None,({T}: Add {W}.)
Scar,1.0,"['Black', 'Red']","['B', 'R']",None,['Instant'],None,Common,SHM,None,None,None,Put a -1/-1 counter on target creature.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,SHM,None,None,None,({T}: Add {W}.)
Spiteflame Witch,2.0,"['Black', 'Red']","['B', 'R']",None,['Creature'],"['Elemental', 'Shaman']",Uncommon,SHM,2,1,None,{B}{R}: Each player loses 1 life.
Wooded Bastion,0.0,None,"['G', 'W']",None,['Land'],None,Rare,SHM,None,None,None,"{T}: Add {C}.\n{G/W}, {T}: Add {G}{G}, {G}{W}, or {W}{W}."
Sootwalkers,4.0,"['Black', 'Red']","['B', 'R']",None,['Creature'],"['Elemental', 'Rogue']",Common,SHM,3,3,None,Sootwalkers can't be blocked by white creatures.
Sunken Ruins,0.0,None,"['B', 'U']",None,['Land'],None,Rare,SHM,None,None,None,"{T}: Add {C}.\n{U/B}, {T}: Add {U}{U}, {U}{B}, or {B}{B}."
Tyrannize,5.0,"['Black', 'Red']","['B', 'R']",None,['Sorcery'],None,Rare,SHM,None,None,None,Target player discards their hand unless they pay 7 life.
Sapseep Forest,0.0,None,['G'],None,['Land'],['Forest'],Uncommon,SHM,None,None,None,"({T}: Add {G}.)\nSapseep Forest enters the battlefield tapped.\n{G}, {T}: You gain 1 life. Activate only if you control two or more green permanents."
Poison the Well,4.0,"['Black', 'Red']","['B', 'R']",None,['Sorcery'],None,Common,SHM,None,None,None,Destroy target land. Poison the Well deals 2 damage to that land's controller.
Murderous Redcap,4.0,"['Black', 'Red']","['B', 'R']",None,['Creature'],"['Goblin', 'Assassin']",Uncommon,SHM,2,2,None,"When Murderous Redcap enters the battlefield, it deals damage equal to its power to any target.\nPersist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)"
Reflecting Pool,0.0,None,None,None,['Land'],None,Rare,SHM,None,None,None,{T}: Add one mana of any type that a land you control could produce.
Manaforge Cinder,1.0,"['Black', 'Red']","['B', 'R']",None,['Creature'],"['Elemental', 'Shaman']",Common,SHM,1,1,None,{1}: Add {B} or {R}. Activate no more than three times each turn.
Mystic Gate,0.0,None,"['U', 'W']",None,['Land'],None,Rare,SHM,None,None,None,"{T}: Add {C}.\n{W/U}, {T}: Add {W}{W}, {W}{U}, or {U}{U}."
Fossil Find,1.0,"['Green', 'Red']","['G', 'R']",None,['Sorcery'],None,Uncommon,SHM,None,None,None,"Return a card at random from your graveyard to your hand, then reorder your graveyard as you choose."
Moonring Island,0.0,None,['U'],None,['Land'],['Island'],Uncommon,SHM,None,None,None,"({T}: Add {U}.)\nMoonring Island enters the battlefield tapped.\n{U}, {T}: Look at the top card of target player's library. Activate only if you control two or more blue permanents."
Kulrath Knight,5.0,"['Black', 'Red']","['B', 'R']",None,['Creature'],"['Elemental', 'Knight']",Uncommon,SHM,3,3,None,Flying\nWither (This deals damage to creatures in the form of -1/-1 counters.)\nCreatures your opponents control with counters on them can't attack or block.
Mistveil Plains,0.0,None,['W'],None,['Land'],['Plains'],Uncommon,SHM,None,None,None,"({T}: Add {W}.)\nMistveil Plains enters the battlefield tapped.\n{W}, {T}: Put target card from your graveyard on the bottom of your library. Activate only if you control two or more white permanents."
Grief Tyrant,6.0,"['Black', 'Red']","['B', 'R']",None,['Creature'],['Horror'],Uncommon,SHM,8,8,None,"Grief Tyrant enters the battlefield with four -1/-1 counters on it.\nWhen Grief Tyrant dies, put a -1/-1 counter on target creature for each -1/-1 counter on Grief Tyrant."
Madblind Mountain,0.0,None,['R'],None,['Land'],['Mountain'],Uncommon,SHM,None,None,None,"({T}: Add {R}.)\nMadblind Mountain enters the battlefield tapped.\n{R}, {T}: Shuffle your library. Activate only if you control two or more red permanents."
Scarscale Ritual,2.0,"['Black', 'Blue']","['B', 'U']",None,['Sorcery'],None,Common,SHM,None,None,None,"As an additional cost to cast this spell, put a -1/-1 counter on a creature you control.\nDraw two cards."
Leechridden Swamp,0.0,None,['B'],None,['Land'],['Swamp'],Uncommon,SHM,None,None,None,"({T}: Add {B}.)\nLeechridden Swamp enters the battlefield tapped.\n{B}, {T}: Each opponent loses 1 life. Activate only if you control two or more black permanents."
Giantbaiting,3.0,"['Green', 'Red']","['G', 'R']",None,['Sorcery'],None,Common,SHM,None,None,None,"Create a 4/4 red and green Giant Warrior creature token with haste. Exile it at the beginning of the next end step.\nConspire (As you cast this spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it.)"
