Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Boon Satyr,3.0,['Green'],['G'],None,"['Enchantment', 'Creature']",['Satyr'],Rare,THS,4,2,None,"Flash\nBestow {3}{G}{G} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)\nEnchanted creature gets +4/+2."
Fade into Antiquity,3.0,['Green'],['G'],None,['Sorcery'],None,Common,THS,None,None,None,Exile target artifact or enchantment.
Pyxis of Pandemonium,1.0,None,None,None,['Artifact'],None,Rare,THS,None,None,None,"{T}: Each player exiles the top card of their library face down.\n{7}, {T}, Sacrifice Pyxis of Pandemonium: Each player turns face up all cards they own exiled with Pyxis of Pandemonium, then puts all permanent cards among them onto the battlefield."
Artisan's Sorrow,4.0,['Green'],['G'],None,['Instant'],None,Uncommon,THS,None,None,None,"Destroy target artifact or enchantment. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
Prowler's Helm,2.0,None,None,None,['Artifact'],['Equipment'],Uncommon,THS,None,None,None,Equipped creature can't be blocked except by Walls.\nEquip {2}
Arbor Colossus,5.0,['Green'],['G'],None,['Creature'],['Giant'],Rare,THS,6,6,None,"Reach\n{3}{G}{G}{G}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)\nWhen Arbor Colossus becomes monstrous, destroy target creature with flying an opponent controls."
Opaline Unicorn,3.0,None,None,None,"['Artifact', 'Creature']",['Unicorn'],Common,THS,1,2,None,{T}: Add one mana of any color.
Guardians of Meletis,3.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Common,THS,0,6,None,Defender (This creature can't attack.)
"Anthousa, Setessan Hero",5.0,['Green'],['G'],['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,THS,4,5,None,"Heroic — Whenever you cast a spell that targets Anthousa, Setessan Hero, up to three target lands you control each become 2/2 Warrior creatures until end of turn. They're still lands."
Sentry of the Underworld,5.0,"['Black', 'White']","['B', 'W']",None,['Creature'],"['Griffin', 'Skeleton']",Uncommon,THS,3,3,None,"Flying, vigilance\n{W}{B}, Pay 3 life: Regenerate Sentry of the Underworld."
Agent of Horizons,3.0,['Green'],"['G', 'U']",None,['Creature'],"['Human', 'Rogue']",Common,THS,3,2,None,{2}{U}: Agent of Horizons can't be blocked this turn.
