Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Spinneret Sliver,2.0,['Green'],['G'],None,['Creature'],['Sliver'],Common,TSP,2,2,None,All Sliver creatures have reach.
Sporesower Thallid,4.0,['Green'],['G'],None,['Creature'],['Fungus'],Uncommon,TSP,4,4,None,"At the beginning of your upkeep, put a spore counter on each Fungus you control.\nRemove three spore counters from Sporesower Thallid: Create a 1/1 green Saproling creature token."
Spike Tiller,5.0,['Green'],['G'],None,['Creature'],['Spike'],Rare,TSP,0,0,None,"Spike Tiller enters the battlefield with three +1/+1 counters on it.\n{2}, Remove a +1/+1 counter from Spike Tiller: Put a +1/+1 counter on target creature.\n{2}, Remove a +1/+1 counter from Spike Tiller: Target land becomes a 2/2 creature that's still a land. Put a +1/+1 counter on it."
Spectral Force,5.0,['Green'],['G'],None,['Creature'],"['Elemental', 'Spirit']",Rare,TSP,8,8,None,"Trample\nWhenever Spectral Force attacks, if defending player controls no black permanents, it doesn't untap during your next untap step."
Krosan Grip,3.0,['Green'],['G'],None,['Instant'],None,Uncommon,TSP,None,None,None,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)\nDestroy target artifact or enchantment."
Savage Thallid,5.0,['Green'],['G'],None,['Creature'],['Fungus'],Common,TSP,5,2,None,"At the beginning of your upkeep, put a spore counter on Savage Thallid.\nRemove three spore counters from Savage Thallid: Create a 1/1 green Saproling creature token.\nSacrifice a Saproling: Regenerate target Fungus."
Wurmcalling,1.0,['Green'],['G'],None,['Sorcery'],None,Rare,TSP,None,None,None,"Buyback {2}{G} (You may pay an additional {2}{G} as you cast this spell. If you do, put this card into your hand as it resolves.)\nCreate an X/X green Wurm creature token."
Scryb Ranger,2.0,['Green'],['G'],None,['Creature'],"['Faerie', 'Ranger']",Uncommon,TSP,1,1,None,"Flash\nFlying, protection from blue\nReturn a Forest you control to its owner's hand: Untap target creature. Activate only once each turn."
Search for Tomorrow,3.0,['Green'],['G'],None,['Sorcery'],None,Common,TSP,None,None,None,"Search your library for a basic land card, put it onto the battlefield, then shuffle.\nSuspend 2—{G} (Rather than cast this card from your hand, you may pay {G} and exile it with two time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)"
Scarwood Treefolk,4.0,['Green'],['G'],None,['Creature'],['Treefolk'],Common,TSP,3,5,None,Scarwood Treefolk enters the battlefield tapped.
Primal Forcemage,3.0,['Green'],['G'],None,['Creature'],"['Elf', 'Shaman']",Uncommon,TSP,2,2,None,"Whenever another creature enters the battlefield under your control, that creature gets +3/+3 until end of turn."
Phantom Wurm,6.0,['Green'],['G'],None,['Creature'],"['Wurm', 'Spirit']",Uncommon,TSP,2,0,None,"Phantom Wurm enters the battlefield with four +1/+1 counters on it.\nIf damage would be dealt to Phantom Wurm, prevent that damage. Remove a +1/+1 counter from Phantom Wurm."
Penumbra Spider,4.0,['Green'],['G'],None,['Creature'],['Spider'],Common,TSP,2,4,None,"Reach\nWhen Penumbra Spider dies, create a 2/4 black Spider creature token with reach."
Sprout,1.0,['Green'],['G'],None,['Instant'],None,Common,TSP,None,None,None,Create a 1/1 green Saproling creature token.
Mwonvuli Acid-Moss,4.0,['Green'],['G'],None,['Sorcery'],None,Common,TSP,None,None,None,"Destroy target land. Search your library for a Forest card, put that card onto the battlefield tapped, then shuffle."
Pendelhaven Elder,2.0,['Green'],['G'],None,['Creature'],"['Elf', 'Shaman']",Uncommon,TSP,1,1,None,{T}: Each 1/1 creature you control gets +1/+2 until end of turn.
Nantuko Shaman,3.0,['Green'],['G'],None,['Creature'],"['Insect', 'Shaman']",Common,TSP,3,2,None,"When Nantuko Shaman enters the battlefield, if you control no tapped lands, draw a card.\nSuspend 1—{2}{G}{G} (Rather than cast this card from your hand, you may pay {2}{G}{G} and exile it with a time counter on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)"
Magus of the Candelabra,1.0,['Green'],['G'],None,['Creature'],"['Human', 'Wizard']",Rare,TSP,1,2,None,"{X}, {T}: Untap X target lands."
Hypergenesis,0.0,['Green'],['G'],None,['Sorcery'],None,Rare,TSP,None,None,None,"Suspend 3—{1}{G}{G}\nStarting with you, each player may put an artifact, creature, enchantment, or land card from their hand onto the battlefield. Repeat this process until no one puts a card onto the battlefield."
Molder,1.0,['Green'],['G'],None,['Instant'],None,Common,TSP,None,None,None,Destroy target artifact or enchantment with mana value X. It can't be regenerated. You gain X life.
Might Sliver,5.0,['Green'],['G'],None,['Creature'],['Sliver'],Uncommon,TSP,2,2,None,All Sliver creatures get +2/+2.
Might of Old Krosa,1.0,['Green'],['G'],None,['Instant'],None,Uncommon,TSP,None,None,None,"Target creature gets +2/+2 until end of turn. If you cast this spell during your main phase, that creature gets +4/+4 until end of turn instead."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,TSP,None,None,None,({T}: Add {G}.)
Herd Gnarr,4.0,['Green'],['G'],None,['Creature'],['Beast'],Common,TSP,2,2,None,"Whenever another creature enters the battlefield under your control, Herd Gnarr gets +2/+2 until end of turn."
Havenwood Wurm,7.0,['Green'],['G'],None,['Creature'],['Wurm'],Common,TSP,5,6,None,Flash (You may cast this spell any time you could cast an instant.)\nTrample
Greenseeker,1.0,['Green'],['G'],None,['Creature'],"['Elf', 'Spellshaper']",Common,TSP,1,1,None,"{G}, {T}, Discard a card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle."
Glass Asp,3.0,['Green'],['G'],None,['Creature'],['Snake'],Common,TSP,2,1,None,"Whenever Glass Asp deals combat damage to a player, that player loses 2 life at the beginning of their next draw step unless they pay {2} before that step."
Gemhide Sliver,2.0,['Green'],['G'],None,['Creature'],['Sliver'],Common,TSP,1,1,None,"All Slivers have ""{T}: Add one mana of any color."""
Fungus Sliver,4.0,['Green'],['G'],None,['Creature'],"['Fungus', 'Sliver']",Rare,TSP,2,2,None,"All Sliver creatures have ""Whenever this creature is dealt damage, put a +1/+1 counter on it."" (It must survive the damage to get the counter.)"
Durkwood Tracker,5.0,['Green'],['G'],None,['Creature'],['Giant'],Uncommon,TSP,4,3,None,"{1}{G}, {T}: If Durkwood Tracker is on the battlefield, it deals damage equal to its power to target attacking creature. That creature deals damage equal to its power to Durkwood Tracker."
Durkwood Baloth,6.0,['Green'],['G'],None,['Creature'],['Beast'],Common,TSP,5,5,None,"Suspend 5—{G} (Rather than cast this card from your hand, you may pay {G} and exile it with five time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)"
Chameleon Blur,4.0,['Green'],['G'],None,['Instant'],None,Common,TSP,None,None,None,Prevent all damage that creatures would deal to players this turn.
Aspect of Mongoose,2.0,['Green'],['G'],None,['Enchantment'],['Aura'],Uncommon,TSP,None,None,None,"Enchant creature\nEnchanted creature has shroud. (It can't be the target of spells or abilities.)\nWhen Aspect of Mongoose is put into a graveyard from the battlefield, return Aspect of Mongoose to its owner's hand."
Ashcoat Bear,2.0,['Green'],['G'],None,['Creature'],['Bear'],Common,TSP,2,2,None,Flash (You may cast this spell any time you could cast an instant.)
Aether Web,2.0,['Green'],['G'],None,['Enchantment'],['Aura'],Common,TSP,None,None,None,"Flash (You may cast this spell any time you could cast an instant.)\nEnchant creature\nEnchanted creature gets +1/+1, has reach, and can block creatures with shadow as though they didn't have shadow. (Creatures with reach can block creatures with flying.)"
Word of Seizing,5.0,['Red'],['R'],None,['Instant'],None,Rare,TSP,None,None,None,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)\nUntap target permanent and gain control of it until end of turn. It gains haste until end of turn."
Wheel of Fate,0.0,['Red'],['R'],None,['Sorcery'],None,Rare,TSP,None,None,None,"Suspend 4—{1}{R} (Rather than cast this card from your hand, pay {1}{R} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)\nEach player discards their hand, then draws seven cards."
Volcanic Awakening,6.0,['Red'],['R'],None,['Sorcery'],None,Uncommon,TSP,None,None,None,"Destroy target land.\nStorm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)"
Viashino Bladescout,3.0,['Red'],['R'],None,['Creature'],"['Viashino', 'Scout']",Common,TSP,2,1,None,"Flash (You may cast this spell any time you could cast an instant.)\nWhen Viashino Bladescout enters the battlefield, target creature gains first strike until end of turn."
Undying Rage,3.0,['Red'],['R'],None,['Enchantment'],['Aura'],Uncommon,TSP,None,None,None,"Enchant creature\nEnchanted creature gets +2/+2 and can't block.\nWhen Undying Rage is put into a graveyard from the battlefield, return Undying Rage to its owner's hand."
Two-Headed Sliver,2.0,['Red'],['R'],None,['Creature'],['Sliver'],Common,TSP,1,1,None,All Sliver creatures have menace. (They can't be blocked except by two or more creatures.)
Thick-Skinned Goblin,2.0,['Red'],['R'],None,['Creature'],"['Goblin', 'Shaman']",Uncommon,TSP,2,1,None,You may pay {0} rather than pay the echo cost for permanents you control.\n{R}: Thick-Skinned Goblin gains protection from red until end of turn.
Tectonic Fiend,6.0,['Red'],['R'],None,['Creature'],['Elemental'],Uncommon,TSP,7,7,None,"Echo {4}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nTectonic Fiend attacks each combat if able."
Sulfurous Blast,4.0,['Red'],['R'],None,['Instant'],None,Uncommon,TSP,None,None,None,"Sulfurous Blast deals 2 damage to each creature and each player. If you cast this spell during your main phase, Sulfurous Blast deals 3 damage to each creature and each player instead."
Sudden Shock,2.0,['Red'],['R'],None,['Instant'],None,Uncommon,TSP,None,None,None,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)\nSudden Shock deals 2 damage to any target."
Subterranean Shambler,4.0,['Red'],['R'],None,['Creature'],['Elemental'],Common,TSP,2,3,None,"Echo {3}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen Subterranean Shambler enters or leaves the battlefield, it deals 1 damage to each creature without flying."
Sedge Sliver,3.0,['Red'],"['B', 'R']",None,['Creature'],['Sliver'],Rare,TSP,2,2,None,"All Sliver creatures have ""This creature gets +1/+1 as long as you control a Swamp.""\nAll Slivers have ""{B}: Regenerate this permanent."" (The next time it would be destroyed, instead tap it, remove it from combat, and heal all damage on it.)"
Rift Bolt,3.0,['Red'],['R'],None,['Sorcery'],None,Common,TSP,None,None,None,"Rift Bolt deals 3 damage to any target.\nSuspend 1—{R} (Rather than cast this card from your hand, you may pay {R} and exile it with a time counter on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)"
Reiterate,3.0,['Red'],['R'],None,['Instant'],None,Rare,TSP,None,None,None,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)\nCopy target instant or sorcery spell. You may choose new targets for the copy."
Plunder,5.0,['Red'],['R'],None,['Sorcery'],None,Common,TSP,None,None,None,"Destroy target artifact or land.\nSuspend 4—{1}{R} (Rather than cast this card from your hand, you may pay {1}{R} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)"
Pardic Dragon,6.0,['Red'],['R'],None,['Creature'],['Dragon'],Rare,TSP,4,4,None,"Flying\n{R}: Pardic Dragon gets +1/+0 until end of turn.\nSuspend 2—{R}{R}\nWhenever an opponent casts a spell, if Pardic Dragon is suspended, that player may put a time counter on Pardic Dragon."
Orcish Cannonade,3.0,['Red'],['R'],None,['Instant'],None,Common,TSP,None,None,None,Orcish Cannonade deals 2 damage to any target and 3 damage to you.\nDraw a card.
Norin the Wary,1.0,['Red'],['R'],['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,TSP,2,1,None,"When a player casts a spell or a creature attacks, exile Norin the Wary. Return it to the battlefield under its owner's control at the beginning of the next end step."
Mogg War Marshal,2.0,['Red'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Common,TSP,1,1,None,"Echo {1}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen Mogg War Marshal enters the battlefield or dies, create a 1/1 red Goblin creature token."
Magus of the Scroll,1.0,['Red'],['R'],None,['Creature'],"['Human', 'Wizard']",Rare,TSP,1,1,None,"{3}, {T}: Choose a card name, then reveal a card at random from your hand. If that card has the chosen name, Magus of the Scroll deals 2 damage to any target."
Lightning Axe,1.0,['Red'],['R'],None,['Instant'],None,Common,TSP,None,None,None,"As an additional cost to cast this spell, discard a card or pay {5}.\nLightning Axe deals 5 damage to target creature."
Keldon Halberdier,5.0,['Red'],['R'],None,['Creature'],"['Human', 'Warrior']",Common,TSP,4,1,None,"First strike\nSuspend 4—{R} (Rather than cast this card from your hand, you may pay {R} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)"
"Jaya Ballard, Task Mage",3.0,['Red'],['R'],['Legendary'],['Creature'],"['Human', 'Spellshaper']",Rare,TSP,2,2,None,"{R}, {T}, Discard a card: Destroy target blue permanent.\n{1}{R}, {T}, Discard a card: Jaya Ballard, Task Mage deals 3 damage to any target. A creature dealt damage this way can't be regenerated this turn.\n{5}{R}{R}, {T}, Discard a card: Jaya Ballard deals 6 damage to each creature and each player."
Ironclaw Buzzardiers,3.0,['Red'],['R'],None,['Creature'],"['Orc', 'Scout']",Common,TSP,2,2,None,Ironclaw Buzzardiers can't block creatures with power 2 or greater.\n{R}: Ironclaw Buzzardiers gains flying until end of turn.
Ignite Memories,5.0,['Red'],['R'],None,['Sorcery'],None,Uncommon,TSP,None,None,None,"Target player reveals a card at random from their hand. Ignite Memories deals damage to that player equal to that card's mana value.\nStorm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)"
"Ib Halfheart, Goblin Tactician",4.0,['Red'],['R'],['Legendary'],['Creature'],"['Goblin', 'Advisor']",Rare,TSP,3,2,None,"Whenever another Goblin you control becomes blocked, sacrifice it. If you do, it deals 4 damage to each creature blocking it.\nSacrifice two Mountains: Create two 1/1 red Goblin creature tokens."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,TSP,None,None,None,({T}: Add {G}.)
Ground Rift,1.0,['Red'],['R'],None,['Sorcery'],None,Common,TSP,None,None,None,"Target creature without flying can't block this turn.\nStorm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)"
Greater Gargadon,10.0,['Red'],['R'],None,['Creature'],['Beast'],Rare,TSP,9,7,None,"Suspend 10—{R}\nSacrifice an artifact, creature, or land: Remove a time counter from Greater Gargadon. Activate only if Greater Gargadon is suspended."
Grapeshot,2.0,['Red'],['R'],None,['Sorcery'],None,Common,TSP,None,None,None,"Grapeshot deals 1 damage to any target.\nStorm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)"
Goblin Skycutter,2.0,['Red'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Common,TSP,2,1,None,Sacrifice Goblin Skycutter: It deals 2 damage to target creature with flying. That creature loses flying until end of turn.
Ghitu Firebreathing,2.0,['Red'],['R'],None,['Enchantment'],['Aura'],Common,TSP,None,None,None,Flash (You may cast this spell any time you could cast an instant.)\nEnchant creature\n{R}: Enchanted creature gets +1/+0 until end of turn.\n{R}: Return Ghitu Firebreathing to its owner's hand.
Fury Sliver,6.0,['Red'],['R'],None,['Creature'],['Sliver'],Uncommon,TSP,3,3,None,All Sliver creatures have double strike.
Fortune Thief,5.0,['Red'],['R'],None,['Creature'],"['Human', 'Rogue']",Rare,TSP,0,1,None,Damage that would reduce your life total to less than 1 reduces it to 1 instead.\nMorph {R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Flowstone Channeler,3.0,['Red'],['R'],None,['Creature'],"['Human', 'Spellshaper']",Common,TSP,2,2,None,"{1}{R}, {T}, Discard a card: Target creature gets +1/-1 and gains haste until end of turn."
Flamecore Elemental,4.0,['Red'],['R'],None,['Creature'],['Elemental'],Common,TSP,5,4,None,"Echo {2}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)"
