Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Bone Dancer,3.0,['Black'],['B'],None,['Creature'],['Zombie'],Rare,WTH,2,2,None,"Whenever Bone Dancer attacks and isn't blocked, you may put the top creature card of defending player's graveyard onto the battlefield under your control. If you do, Bone Dancer assigns no combat damage this turn."
Thundermare,6.0,['Red'],['R'],None,['Creature'],"['Elemental', 'Horse']",Rare,WTH,5,5,None,"Haste (This creature can attack and {T} as soon as it comes under your control.)\nWhen Thundermare enters the battlefield, tap all other creatures."
Heart of Bogardan,4.0,['Red'],['R'],None,['Enchantment'],None,Rare,WTH,None,None,None,"Cumulative upkeep {2} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\nWhen a player doesn't pay Heart of Bogardan's cumulative upkeep, Heart of Bogardan deals X damage to target player or planeswalker and each creature that player or that planeswalker's controller controls, where X is twice the number of age counters on Heart of Bogardan minus 2."
Barrow Ghoul,2.0,['Black'],['B'],None,['Creature'],['Zombie'],Common,WTH,4,4,None,"At the beginning of your upkeep, sacrifice Barrow Ghoul unless you exile the top creature card of your graveyard."
Agonizing Memories,4.0,['Black'],['B'],None,['Sorcery'],None,Uncommon,WTH,None,None,None,Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.
Straw Golem,1.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Uncommon,WTH,2,3,None,"When an opponent casts a creature spell, sacrifice Straw Golem."
Abyssal Gatekeeper,2.0,['Black'],['B'],None,['Creature'],['Horror'],Common,WTH,1,1,None,"When Abyssal Gatekeeper dies, each player sacrifices a creature."
Well of Knowledge,3.0,None,None,None,['Artifact'],None,Rare,WTH,None,None,None,{2}: Draw a card. Any player may activate this ability but only during their draw step.
Vodalian Illusionist,3.0,['Blue'],['U'],None,['Creature'],"['Merfolk', 'Wizard']",Uncommon,WTH,2,2,None,"{U}{U}, {T}: Target creature phases out. (While it's phased out, it's treated as though it doesn't exist. It phases in before its controller untaps during their next untap step.)"
Llanowar Druid,2.0,['Green'],['G'],None,['Creature'],"['Elf', 'Druid']",Common,WTH,1,2,None,"{T}, Sacrifice Llanowar Druid: Untap all Forests."
Tolarian Serpent,7.0,['Blue'],['U'],None,['Creature'],['Serpent'],Rare,WTH,7,7,None,"At the beginning of your upkeep, mill seven cards."
Briar Shield,1.0,['Green'],['G'],None,['Enchantment'],['Aura'],Common,WTH,None,None,None,Enchant creature\nEnchanted creature gets +1/+1.\nSacrifice Briar Shield: Enchanted creature gets +3/+3 until end of turn.
Tolarian Entrancer,2.0,['Blue'],['U'],None,['Creature'],"['Human', 'Wizard']",Rare,WTH,1,1,None,"Whenever Tolarian Entrancer becomes blocked by a creature, gain control of that creature at end of combat."
Harvest Wurm,2.0,['Green'],['G'],None,['Creature'],['Wurm'],Common,WTH,3,2,None,"When Harvest Wurm enters the battlefield, sacrifice it unless you return a basic land card from your graveyard to your hand."
Tolarian Drake,3.0,['Blue'],['U'],None,['Creature'],['Drake'],Common,WTH,2,4,None,"Flying\nPhasing (This phases in or out before you untap during each of your untap steps. While it's phased out, it's treated as though it doesn't exist.)"
Goblin Vandal,1.0,['Red'],['R'],None,['Creature'],"['Goblin', 'Rogue']",Common,WTH,1,1,None,"Whenever Goblin Vandal attacks and isn't blocked, you may pay {R}. If you do, destroy target artifact defending player controls and Goblin Vandal assigns no combat damage this turn."
Liege of the Hollows,4.0,['Green'],['G'],None,['Creature'],['Spirit'],Rare,WTH,3,4,None,"When Liege of the Hollows dies, each player may pay any amount of mana. Then each player creates a number of 1/1 green Squirrel creature tokens equal to the amount of mana they paid this way."
Timid Drake,3.0,['Blue'],['U'],None,['Creature'],['Drake'],Uncommon,WTH,3,3,None,"Flying\nWhen another creature enters the battlefield, return Timid Drake to its owner's hand."
Sawtooth Ogre,4.0,['Red'],['R'],None,['Creature'],['Ogre'],Common,WTH,3,3,None,"Whenever Sawtooth Ogre blocks or becomes blocked by a creature, Sawtooth Ogre deals 1 damage to that creature at end of combat."
Choking Vines,1.0,['Green'],['G'],None,['Instant'],None,Common,WTH,None,None,None,Cast this spell only during the declare blockers step.\nX target attacking creatures become blocked. Choking Vines deals 1 damage to each of those creatures. (This spell works on creatures that can't be blocked.)
Goblin Grenadiers,4.0,['Red'],['R'],None,['Creature'],['Goblin'],Uncommon,WTH,2,2,None,"Whenever Goblin Grenadiers attacks and isn't blocked, you may sacrifice it. If you do, destroy target creature and target land."
Fallow Wurm,3.0,['Green'],['G'],None,['Creature'],['Wurm'],Uncommon,WTH,4,4,None,"When Fallow Wurm enters the battlefield, sacrifice it unless you discard a land card."
Aboroth,6.0,['Green'],['G'],None,['Creature'],['Elemental'],Rare,WTH,9,9,None,"Cumulative upkeep—Put a -1/-1 counter on Aboroth. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)"
Steel Golem,3.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Uncommon,WTH,3,4,None,You can't cast creature spells.
Doomsday,3.0,['Black'],['B'],None,['Sorcery'],None,Rare,WTH,None,None,None,"Search your library and graveyard for five cards and exile the rest. Put the chosen cards on top of your library in any order. You lose half your life, rounded up."
Orcish Settlers,2.0,['Red'],['R'],None,['Creature'],['Orc'],Uncommon,WTH,1,1,None,"{X}{X}{R}, {T}, Sacrifice Orcish Settlers: Destroy X target lands."
Thran Tome,4.0,None,None,None,['Artifact'],None,Rare,WTH,None,None,None,"{5}, {T}: Reveal the top three cards of your library. Target opponent chooses one of those cards. Put that card into your graveyard, then draw two cards."
Call of the Wild,4.0,['Green'],['G'],None,['Enchantment'],None,Rare,WTH,None,None,None,"{2}{G}{G}: Reveal the top card of your library. If it's a creature card, put it onto the battlefield. Otherwise, put it into your graveyard."
Teferi's Veil,2.0,['Blue'],['U'],None,['Enchantment'],None,Uncommon,WTH,None,None,None,"Whenever a creature you control attacks, it phases out at end of combat. (While it's phased out, it's treated as though it doesn't exist. It phases in before you untap during your next untap step.)"
Maraxus of Keld,6.0,['Red'],['R'],['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,WTH,*,*,None,"Maraxus of Keld's power and toughness are each equal to the number of untapped artifacts, creatures, and lands you control."
Serrated Biskelion,3.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Uncommon,WTH,2,2,None,{T}: Put a -1/-1 counter on Serrated Biskelion and a -1/-1 counter on target creature.
Coils of the Medusa,2.0,['Black'],['B'],None,['Enchantment'],['Aura'],Common,WTH,None,None,None,Enchant creature\nEnchanted creature gets +1/-1.\nSacrifice Coils of the Medusa: Destroy all non-Wall creatures blocking enchanted creature.
Arctic Wolves,5.0,['Green'],['G'],None,['Creature'],['Wolf'],Uncommon,WTH,4,5,None,"Cumulative upkeep {2} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\nWhen Arctic Wolves enters the battlefield, draw a card."
Touchstone,2.0,None,None,None,['Artifact'],None,Uncommon,WTH,None,None,None,{T}: Tap target artifact you don't control.
Fire Whip,2.0,['Red'],['R'],None,['Enchantment'],['Aura'],Common,WTH,None,None,None,"Enchant creature you control\nEnchanted creature has ""{T}: This creature deals 1 damage to any target.""\nSacrifice Fire Whip: Fire Whip deals 1 damage to any target."
Thran Forge,3.0,None,None,None,['Artifact'],None,Uncommon,WTH,None,None,None,"{2}: Until end of turn, target nonartifact creature gets +1/+0 and becomes an artifact in addition to its other types."
Fervor,3.0,['Red'],['R'],None,['Enchantment'],None,Rare,WTH,None,None,None,Creatures you control have haste. (They can attack and {T} as soon as they come under your control.)
Barishi,4.0,['Green'],['G'],None,['Creature'],['Elemental'],Uncommon,WTH,4,3,None,"When Barishi dies, exile Barishi, then shuffle all creature cards from your graveyard into your library."
Sage Owl,2.0,['Blue'],['U'],None,['Creature'],['Bird'],Common,WTH,1,1,None,"Flying\nWhen Sage Owl enters the battlefield, look at the top four cards of your library, then put them back in any order."
Dwarven Thaumaturgist,3.0,['Red'],['R'],None,['Creature'],"['Dwarf', 'Shaman']",Rare,WTH,1,2,None,{T}: Switch target creature's power and toughness until end of turn.
Blossoming Wreath,1.0,['Green'],['G'],None,['Instant'],None,Common,WTH,None,None,None,You gain life equal to the number of creature cards in your graveyard.
Dwarven Berserker,2.0,['Red'],['R'],None,['Creature'],"['Dwarf', 'Berserker']",Common,WTH,1,1,None,"Whenever Dwarven Berserker becomes blocked, it gets +3/+0 and gains trample until end of turn."
Phyrexian Furnace,1.0,None,None,None,['Artifact'],None,Uncommon,WTH,None,None,None,"{T}: Exile the bottom card of target player's graveyard.\n{1}, Sacrifice Phyrexian Furnace: Exile target card from a graveyard. Draw a card."
Null Rod,2.0,None,None,None,['Artifact'],None,Rare,WTH,None,None,None,Activated abilities of artifacts can't be activated.
Desperate Gambit,1.0,['Red'],['R'],None,['Instant'],None,Uncommon,WTH,None,None,None,"Choose a source you control and flip a coin. If you win the flip, the next time that source would deal damage this turn, it deals double that damage instead. If you lose the flip, the next time it would deal damage this turn, prevent that damage."
Mind Stone,2.0,None,None,None,['Artifact'],None,Common,WTH,None,None,None,"{T}: Add {C}.\n{1}, {T}, Sacrifice Mind Stone: Draw a card."
Circling Vultures,1.0,['Black'],['B'],None,['Creature'],['Bird'],Uncommon,WTH,3,2,None,"Flying\nYou may discard Circling Vultures any time you could cast an instant.\nAt the beginning of your upkeep, sacrifice Circling Vultures unless you exile the top creature card of your graveyard."
Cone of Flame,5.0,['Red'],['R'],None,['Sorcery'],None,Uncommon,WTH,None,None,None,"Cone of Flame deals 1 damage to any target, 2 damage to another target, and 3 damage to a third target."
Mana Web,3.0,None,None,None,['Artifact'],None,Rare,WTH,None,None,None,"Whenever a land an opponent controls is tapped for mana, tap all lands that player controls that could produce any type of mana that land could produce."
Lava Storm,5.0,['Red'],['R'],None,['Instant'],None,Common,WTH,None,None,None,Lava Storm deals 2 damage to each attacking creature or Lava Storm deals 2 damage to each blocking creature.
Fit of Rage,2.0,['Red'],['R'],None,['Sorcery'],None,Common,WTH,None,None,None,Target creature gets +3/+3 and gains first strike until end of turn.
Cinder Wall,1.0,['Red'],['R'],None,['Creature'],['Wall'],Common,WTH,3,3,None,"Defender\nWhen Cinder Wall blocks, destroy it at end of combat."
Heat Stroke,3.0,['Red'],['R'],None,['Enchantment'],None,Rare,WTH,None,None,None,"At end of combat, destroy each creature that blocked or was blocked this turn."
Jangling Automaton,3.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Common,WTH,3,2,None,"Whenever Jangling Automaton attacks, untap all creatures defending player controls."
Relearn,3.0,['Blue'],['U'],None,['Sorcery'],None,Uncommon,WTH,None,None,None,Return target instant or sorcery card from your graveyard to your hand.
Cinder Giant,4.0,['Red'],['R'],None,['Creature'],['Giant'],Uncommon,WTH,5,3,None,"At the beginning of your upkeep, Cinder Giant deals 2 damage to each other creature you control."
Jabari's Banner,2.0,None,None,None,['Artifact'],None,Uncommon,WTH,None,None,None,"{1}, {T}: Target creature gains flanking until end of turn. (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)"
Boiling Blood,3.0,['Red'],['R'],None,['Instant'],None,Common,WTH,None,None,None,Target creature attacks this turn if able.\nDraw a card.
Lava Hounds,4.0,['Red'],['R'],None,['Creature'],['Dog'],Uncommon,WTH,4,4,None,"Haste\nWhen Lava Hounds enters the battlefield, it deals 4 damage to you."
Lotus Vale,0.0,None,None,None,['Land'],None,Rare,WTH,None,None,None,"If Lotus Vale would enter the battlefield, sacrifice two untapped lands instead. If you do, put Lotus Vale onto the battlefield. If you don't, put it into its owner's graveyard.\n{T}: Add three mana of any one color."
Hurloon Shaman,3.0,['Red'],['R'],None,['Creature'],"['Minotaur', 'Shaman']",Uncommon,WTH,2,3,None,"When Hurloon Shaman dies, each player sacrifices a land."
Goblin Bomb,2.0,['Red'],['R'],None,['Enchantment'],None,Rare,WTH,None,None,None,"At the beginning of your upkeep, you may flip a coin. If you win the flip, put a fuse counter on Goblin Bomb. If you lose the flip, remove a fuse counter from Goblin Bomb.\nRemove five fuse counters from Goblin Bomb and sacrifice it: It deals 20 damage to target player or planeswalker."
Dingus Staff,4.0,None,None,None,['Artifact'],None,Uncommon,WTH,None,None,None,"Whenever a creature dies, Dingus Staff deals 2 damage to that creature's controller."
Chimeric Sphere,3.0,None,None,None,['Artifact'],None,Uncommon,WTH,None,None,None,"{2}: Until end of turn, Chimeric Sphere becomes a 2/1 Construct artifact creature with flying.\n{2}: Until end of turn, Chimeric Sphere becomes a 3/2 Construct artifact creature and loses flying."
Psychic Vortex,4.0,['Blue'],['U'],None,['Enchantment'],None,Rare,WTH,None,None,None,"Cumulative upkeep—Draw a card. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\nAt the beginning of your end step, sacrifice a land and discard your hand."
Bogardan Firefiend,3.0,['Red'],['R'],None,['Creature'],"['Elemental', 'Spirit']",Common,WTH,2,1,None,"When Bogardan Firefiend dies, it deals 2 damage to target creature."
Phantom Wings,2.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Common,WTH,None,None,None,Enchant creature\nEnchanted creature has flying.\nSacrifice Phantom Wings: Return enchanted creature to its owner's hand.
Bösium Strip,3.0,None,None,None,['Artifact'],None,Rare,WTH,None,None,None,"{3}, {T}: Until end of turn, you may cast instant and sorcery spells from the top of your graveyard. If a spell cast this way would be put into a graveyard this turn, exile it instead."
Bloodrock Cyclops,3.0,['Red'],['R'],None,['Creature'],['Cyclops'],Common,WTH,3,3,None,Bloodrock Cyclops attacks each combat if able.
Phantom Warrior,3.0,['Blue'],['U'],None,['Creature'],"['Illusion', 'Warrior']",Uncommon,WTH,2,2,None,Phantom Warrior can't be blocked.
Betrothed of Fire,2.0,['Red'],['R'],None,['Enchantment'],['Aura'],Common,WTH,None,None,None,Enchant creature\nSacrifice an untapped creature: Enchanted creature gets +2/+0 until end of turn.\nSacrifice enchanted creature: Creatures you control get +2/+0 until end of turn.
Pendrell Mists,4.0,['Blue'],['U'],None,['Enchantment'],None,Rare,WTH,None,None,None,"All creatures have ""At the beginning of your upkeep, sacrifice this creature unless you pay {1}."""
Firestorm,1.0,['Red'],['R'],None,['Instant'],None,Rare,WTH,None,None,None,"As an additional cost to cast this spell, discard X cards.\nFirestorm deals X damage to each of X targets."
Aether Flash,4.0,['Red'],['R'],None,['Enchantment'],None,Uncommon,WTH,None,None,None,"Whenever a creature enters the battlefield, Aether Flash deals 2 damage to it."
Zombie Scavengers,3.0,['Black'],['B'],None,['Creature'],['Zombie'],Common,WTH,3,1,None,Exile the top creature card of your graveyard: Regenerate Zombie Scavengers.
Scorched Ruins,0.0,None,None,None,['Land'],None,Rare,WTH,None,None,None,"If Scorched Ruins would enter the battlefield, sacrifice two untapped lands instead. If you do, put Scorched Ruins onto the battlefield. If you don't, put it into its owner's graveyard.\n{T}: Add {C}{C}{C}{C}."
Fledgling Djinn,2.0,['Black'],['B'],None,['Creature'],['Djinn'],Common,WTH,2,2,None,"Flying\nAt the beginning of your upkeep, Fledgling Djinn deals 1 damage to you."
Wave of Terror,3.0,['Black'],['B'],None,['Enchantment'],None,Rare,WTH,None,None,None,"Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\nAt the beginning of your draw step, destroy each creature with mana value equal to the number of age counters on Wave of Terror. They can't be regenerated."
Festering Evil,5.0,['Black'],['B'],None,['Enchantment'],None,Uncommon,WTH,None,None,None,"At the beginning of your upkeep, Festering Evil deals 1 damage to each creature and each player.\n{B}{B}, Sacrifice Festering Evil: It deals 3 damage to each creature and each player."
Urborg Stalker,4.0,['Black'],['B'],None,['Creature'],['Horror'],Rare,WTH,2,4,None,"At the beginning of each player's upkeep, if that player controls a nonblack, nonland permanent, Urborg Stalker deals 1 damage to that player."
Paradigm Shift,2.0,['Blue'],['U'],None,['Sorcery'],None,Rare,WTH,None,None,None,Exile all cards from your library. Then shuffle your graveyard into your library.
Urborg Justice,2.0,['Black'],['B'],None,['Instant'],None,Rare,WTH,None,None,None,Target opponent sacrifices a creature for each creature put into your graveyard from the battlefield this turn.
Gemstone Mine,0.0,None,None,None,['Land'],None,Uncommon,WTH,None,None,None,"Gemstone Mine enters the battlefield with three mining counters on it.\n{T}, Remove a mining counter from Gemstone Mine: Add one mana of any color. If there are no mining counters on Gemstone Mine, sacrifice it."
Buried Alive,3.0,['Black'],['B'],None,['Sorcery'],None,Uncommon,WTH,None,None,None,"Search your library for up to three creature cards, put them into your graveyard, then shuffle."
Tendrils of Despair,1.0,['Black'],['B'],None,['Sorcery'],None,Common,WTH,None,None,None,"As an additional cost to cast this spell, sacrifice a creature.\nTarget opponent discards two cards."
Bubble Matrix,4.0,None,None,None,['Artifact'],None,Rare,WTH,None,None,None,Prevent all damage that would be dealt to creatures.
Ophidian,3.0,['Blue'],['U'],None,['Creature'],['Snake'],Common,WTH,1,3,None,"Whenever Ophidian attacks and isn't blocked, you may draw a card. If you do, Ophidian assigns no combat damage this turn."
