Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Kopala, Warden of Waves",3.0,['Blue'],['U'],['Legendary'],['Creature'],"['Merfolk', 'Wizard']",Rare,XLN,2,2,None,Spells your opponents cast that target a Merfolk you control cost {2} more to cast.\nAbilities your opponents activate that target a Merfolk you control cost {2} more to activate.
Unfriendly Fire,5.0,['Red'],['R'],None,['Instant'],None,Common,XLN,None,None,None,Unfriendly Fire deals 4 damage to any target.
Fell Flagship,3.0,None,None,None,['Artifact'],['Vehicle'],Rare,XLN,3,3,None,"Pirates you control get +1/+0.\nWhenever Fell Flagship deals combat damage to a player, that player discards a card.\nCrew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)"
"Jace, Cunning Castaway",3.0,['Blue'],['U'],['Legendary'],['Planeswalker'],['Jace'],Mythic,XLN,None,None,3,"[+1]: Whenever one or more creatures you control deal combat damage to a player this turn, draw a card, then discard a card.\n[−2]: Create a 2/2 blue Illusion creature token with ""When this creature becomes the target of a spell, sacrifice it.""\n[−5]: Create two tokens that are copies of Jace, Cunning Castaway, except they're not legendary."
Brazen Buccaneers,4.0,['Red'],['R'],None,['Creature'],"['Human', 'Pirate']",Common,XLN,2,2,None,"Haste\nWhen Brazen Buccaneers enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Elaborate Firecannon,2.0,None,None,None,['Artifact'],None,Uncommon,XLN,None,None,None,"Elaborate Firecannon doesn't untap during your untap step.\n{4}, {T}: Elaborate Firecannon deals 2 damage to any target.\nAt the beginning of your upkeep, you may discard a card. If you do, untap Elaborate Firecannon."
Herald of Secret Streams,4.0,['Blue'],['U'],None,['Creature'],"['Merfolk', 'Warrior']",Rare,XLN,2,3,None,Creatures you control with +1/+1 counters on them can't be blocked.
Trove of Temptation,4.0,['Red'],['R'],None,['Enchantment'],None,Uncommon,XLN,None,None,None,"Each opponent must attack you or a planeswalker you control with at least one creature each combat if able.\nAt the beginning of your end step, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
Grazing Whiptail,4.0,['Green'],['G'],None,['Creature'],['Dinosaur'],Common,XLN,3,4,None,Reach
Deadeye Tracker,1.0,['Black'],['B'],None,['Creature'],"['Human', 'Pirate']",Rare,XLN,1,1,None,"{1}{B}, {T}: Exile two target cards from an opponent's graveyard. Deadeye Tracker explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
