Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Giant Scorpion,3.0,['Black'],['B'],None,['Creature'],['Scorpion'],Common,ZEN,1,3,None,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Cobra Trap,6.0,['Green'],['G'],None,['Instant'],['Trap'],Uncommon,ZEN,None,None,None,"If a noncreature permanent under your control was destroyed this turn by a spell or ability an opponent controlled, you may pay {G} rather than pay this spell's mana cost.\nCreate four 1/1 green Snake creature tokens."
Gatekeeper of Malakir,2.0,['Black'],['B'],None,['Creature'],"['Vampire', 'Warrior']",Uncommon,ZEN,2,2,None,"Kicker {B} (You may pay an additional {B} as you cast this spell.)\nWhen Gatekeeper of Malakir enters the battlefield, if it was kicked, target player sacrifices a creature."
Beastmaster Ascension,3.0,['Green'],['G'],None,['Enchantment'],None,Rare,ZEN,None,None,None,"Whenever a creature you control attacks, you may put a quest counter on Beastmaster Ascension.\nAs long as Beastmaster Ascension has seven or more quest counters on it, creatures you control get +5/+5."
Feast of Blood,2.0,['Black'],['B'],None,['Sorcery'],None,Uncommon,ZEN,None,None,None,Cast this spell only if you control two or more Vampires.\nDestroy target creature. You gain 4 life.
Beast Hunt,4.0,['Green'],['G'],None,['Sorcery'],None,Common,ZEN,None,None,None,Reveal the top three cards of your library. Put all creature cards revealed this way into your hand and the rest into your graveyard.
Disfigure,1.0,['Black'],['B'],None,['Instant'],None,Common,ZEN,None,None,None,Target creature gets -2/-2 until end of turn.
Baloth Woodcrasher,6.0,['Green'],['G'],None,['Creature'],['Beast'],Uncommon,ZEN,4,4,None,"Landfall — Whenever a land enters the battlefield under your control, Baloth Woodcrasher gets +4/+4 and gains trample until end of turn."
Desecrated Earth,5.0,['Black'],['B'],None,['Sorcery'],None,Common,ZEN,None,None,None,Destroy target land. Its controller discards a card.
Baloth Cage Trap,5.0,['Green'],['G'],None,['Instant'],['Trap'],Uncommon,ZEN,None,None,None,"If an opponent had an artifact enter the battlefield under their control this turn, you may pay {1}{G} rather than pay this spell's mana cost.\nCreate a 4/4 green Beast creature token."
Crypt Ripper,4.0,['Black'],['B'],None,['Creature'],['Shade'],Common,ZEN,2,2,None,Haste\n{B}: Crypt Ripper gets +1/+1 until end of turn.
Zektar Shrine Expedition,2.0,['Red'],['R'],None,['Enchantment'],None,Common,ZEN,None,None,None,"Landfall — Whenever a land enters the battlefield under your control, you may put a quest counter on Zektar Shrine Expedition.\nRemove three quest counters from Zektar Shrine Expedition and sacrifice it: Create a 7/1 red Elemental creature token with trample and haste. Exile it at the beginning of the next end step."
Bog Tatters,5.0,['Black'],['B'],None,['Creature'],['Wraith'],Common,ZEN,4,2,None,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Warren Instigator,2.0,['Red'],['R'],None,['Creature'],"['Goblin', 'Berserker']",Mythic,ZEN,1,1,None,"Double strike\nWhenever Warren Instigator deals damage to an opponent, you may put a Goblin creature card from your hand onto the battlefield."
Bloodghast,2.0,['Black'],['B'],None,['Creature'],"['Vampire', 'Spirit']",Rare,ZEN,2,1,None,"Bloodghast can't block.\nBloodghast has haste as long as an opponent has 10 or less life.\nLandfall — Whenever a land enters the battlefield under your control, you may return Bloodghast from your graveyard to the battlefield."
Unstable Footing,1.0,['Red'],['R'],None,['Instant'],None,Uncommon,ZEN,None,None,None,"Kicker {3}{R} (You may pay an additional {3}{R} as you cast this spell.)\nDamage can't be prevented this turn. If this spell was kicked, it deals 5 damage to target player or planeswalker."
Bloodchief Ascension,1.0,['Black'],['B'],None,['Enchantment'],None,Rare,ZEN,None,None,None,"At the beginning of each end step, if an opponent lost 2 or more life this turn, you may put a quest counter on Bloodchief Ascension. (Damage causes loss of life.)\nWhenever a card is put into an opponent's graveyard from anywhere, if Bloodchief Ascension has three or more quest counters on it, you may have that player lose 2 life. If you do, you gain 2 life."
Tuktuk Grunts,5.0,['Red'],['R'],None,['Creature'],"['Goblin', 'Warrior', 'Ally']",Common,ZEN,2,2,None,"Haste\nWhenever Tuktuk Grunts or another Ally enters the battlefield under your control, you may put a +1/+1 counter on Tuktuk Grunts."
Torch Slinger,3.0,['Red'],['R'],None,['Creature'],"['Goblin', 'Shaman']",Common,ZEN,2,2,None,"Kicker {1}{R} (You may pay an additional {1}{R} as you cast this spell.)\nWhen Torch Slinger enters the battlefield, if it was kicked, it deals 2 damage to target creature."
Blood Tribute,6.0,['Black'],['B'],None,['Sorcery'],None,Rare,ZEN,None,None,None,"Kicker—Tap an untapped Vampire you control. (You may tap a Vampire you control in addition to any other costs as you cast this spell.)\nTarget opponent loses half their life, rounded up. If this spell was kicked, you gain life equal to the life lost this way."
Spire Barrage,5.0,['Red'],['R'],None,['Sorcery'],None,Common,ZEN,None,None,None,Spire Barrage deals damage to any target equal to the number of Mountains you control.
Slaughter Cry,3.0,['Red'],['R'],None,['Instant'],None,Common,ZEN,None,None,None,Target creature gets +3/+0 and gains first strike until end of turn. (It deals combat damage before creatures without first strike.)
Blood Seeker,2.0,['Black'],['B'],None,['Creature'],"['Vampire', 'Shaman']",Common,ZEN,1,1,None,"Whenever a creature enters the battlefield under an opponent's control, you may have that player lose 1 life."
Shatterskull Giant,4.0,['Red'],['R'],None,['Creature'],"['Giant', 'Warrior']",Common,ZEN,4,3,None,None
Seismic Shudder,2.0,['Red'],['R'],None,['Instant'],None,Common,ZEN,None,None,None,Seismic Shudder deals 1 damage to each creature without flying.
Bala Ged Thief,4.0,['Black'],['B'],None,['Creature'],"['Human', 'Rogue', 'Ally']",Rare,ZEN,2,2,None,"Whenever Bala Ged Thief or another Ally enters the battlefield under your control, target player reveals a number of cards from their hand equal to the number of Allies you control. You choose one of them. That player discards that card."
Runeflare Trap,6.0,['Red'],['R'],None,['Instant'],['Trap'],Uncommon,ZEN,None,None,None,"If an opponent drew three or more cards this turn, you may pay {R} rather than pay this spell's mana cost.\nRuneflare Trap deals damage to target player equal to the number of cards in that player's hand."
Ruinous Minotaur,3.0,['Red'],['R'],None,['Creature'],"['Minotaur', 'Warrior']",Common,ZEN,5,2,None,"Whenever Ruinous Minotaur deals damage to an opponent, sacrifice a land."
Windrider Eel,4.0,['Blue'],['U'],None,['Creature'],['Fish'],Common,ZEN,2,2,None,"Flying\nLandfall — Whenever a land enters the battlefield under your control, Windrider Eel gets +2/+2 until end of turn."
Quest for Pure Flame,1.0,['Red'],['R'],None,['Enchantment'],None,Uncommon,ZEN,None,None,None,"Whenever a source you control deals damage to an opponent, you may put a quest counter on Quest for Pure Flame.\nRemove four quest counters from Quest for Pure Flame and sacrifice it: If any source you control would deal damage to a permanent or player this turn, it deals double that damage to that permanent or player instead."
Whiplash Trap,5.0,['Blue'],['U'],None,['Instant'],['Trap'],Common,ZEN,None,None,None,"If an opponent had two or more creatures enter the battlefield under their control this turn, you may pay {U} rather than pay this spell's mana cost.\nReturn two target creatures to their owners' hands."
Pyromancer Ascension,2.0,['Red'],['R'],None,['Enchantment'],None,Rare,ZEN,None,None,None,"Whenever you cast an instant or sorcery spell that has the same name as a card in your graveyard, you may put a quest counter on Pyromancer Ascension.\nWhenever you cast an instant or sorcery spell while Pyromancer Ascension has two or more quest counters on it, you may copy that spell. You may choose new targets for the copy."
Welkin Tern,2.0,['Blue'],['U'],None,['Creature'],['Bird'],Common,ZEN,2,1,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\nWelkin Tern can block only creatures with flying.
Punishing Fire,2.0,['Red'],['R'],None,['Instant'],None,Uncommon,ZEN,None,None,None,"Punishing Fire deals 2 damage to any target.\nWhenever an opponent gains life, you may pay {R}. If you do, return Punishing Fire from your graveyard to your hand."
Quest for Ancient Secrets,1.0,['Blue'],['U'],None,['Enchantment'],None,Uncommon,ZEN,None,None,None,"Whenever a card is put into your graveyard from anywhere, you may put a quest counter on Quest for Ancient Secrets.\nRemove five quest counters from Quest for Ancient Secrets and sacrifice it: Target player shuffles their graveyard into their library."
Umara Raptor,3.0,['Blue'],['U'],None,['Creature'],"['Bird', 'Ally']",Common,ZEN,1,1,None,"Flying\nWhenever Umara Raptor or another Ally enters the battlefield under your control, you may put a +1/+1 counter on Umara Raptor."
Plated Geopede,2.0,['Red'],['R'],None,['Creature'],['Insect'],Common,ZEN,1,1,None,"First strike\nLandfall — Whenever a land enters the battlefield under your control, Plated Geopede gets +2/+2 until end of turn."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,ZEN,None,None,None,({T}: Add {G}.)
Trapmaker's Snare,2.0,['Blue'],['U'],None,['Instant'],None,Uncommon,ZEN,None,None,None,"Search your library for a Trap card, reveal it, put it into your hand, then shuffle."
Obsidian Fireheart,4.0,['Red'],['R'],None,['Creature'],['Elemental'],Mythic,ZEN,4,4,None,"{1}{R}{R}: Put a blaze counter on target land without a blaze counter on it. For as long as that land has a blaze counter on it, it has ""At the beginning of your upkeep, this land deals 1 damage to you."" (The land continues to burn after Obsidian Fireheart has left the battlefield.)"
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,ZEN,None,None,None,({T}: Add {G}.)
Trapfinder's Trick,2.0,['Blue'],['U'],None,['Sorcery'],None,Common,ZEN,None,None,None,Target player reveals their hand and discards all Trap cards.
Murasa Pyromancer,6.0,['Red'],['R'],None,['Creature'],"['Human', 'Shaman', 'Ally']",Uncommon,ZEN,3,2,None,"Whenever Murasa Pyromancer or another Ally enters the battlefield under your control, you may have Murasa Pyromancer deal damage to target creature equal to the number of Allies you control."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,ZEN,None,None,None,({T}: Add {G}.)
Tempest Owl,2.0,['Blue'],['U'],None,['Creature'],['Bird'],Common,ZEN,1,2,None,"Kicker {4}{U} (You may pay an additional {4}{U} as you cast this spell.)\nFlying\nWhen Tempest Owl enters the battlefield, if it was kicked, tap up to three target permanents."
Molten Ravager,3.0,['Red'],['R'],None,['Creature'],['Elemental'],Common,ZEN,0,4,None,{R}: Molten Ravager gets +1/+0 until end of turn.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,ZEN,None,None,None,({T}: Add {G}.)
Summoner's Bane,4.0,['Blue'],['U'],None,['Instant'],None,Uncommon,ZEN,None,None,None,Counter target creature spell. Create a 2/2 blue Illusion creature token.
Mark of Mutiny,3.0,['Red'],['R'],None,['Sorcery'],None,Uncommon,ZEN,None,None,None,Gain control of target creature until end of turn. Put a +1/+1 counter on it and untap it. That creature gains haste until end of turn. (It can attack and {T} this turn.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,ZEN,None,None,None,({T}: Add {G}.)
Spreading Seas,2.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Common,ZEN,None,None,None,"Enchant land\nWhen Spreading Seas enters the battlefield, draw a card.\nEnchanted land is an Island."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,ZEN,None,None,None,({T}: Add {G}.)
Sphinx of Lost Truths,5.0,['Blue'],['U'],None,['Creature'],['Sphinx'],Rare,ZEN,3,5,None,"Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.)\nFlying\nWhen Sphinx of Lost Truths enters the battlefield, draw three cards. Then if it wasn't kicked, discard three cards."
Magma Rift,3.0,['Red'],['R'],None,['Sorcery'],None,Common,ZEN,None,None,None,"As an additional cost to cast this spell, sacrifice a land.\nMagma Rift deals 5 damage to target creature."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,ZEN,None,None,None,({T}: Add {G}.)
Sphinx of Jwar Isle,6.0,['Blue'],['U'],None,['Creature'],['Sphinx'],Rare,ZEN,5,5,None,Flying\nShroud (This creature can't be the target of spells or abilities.)\nYou may look at the top card of your library any time.
Lavaball Trap,8.0,['Red'],['R'],None,['Instant'],['Trap'],Rare,ZEN,None,None,None,"If an opponent had two or more lands enter the battlefield under their control this turn, you may pay {3}{R}{R} rather than pay this spell's mana cost.\nDestroy two target lands. Lavaball Trap deals 4 damage to each creature."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,ZEN,None,None,None,({T}: Add {G}.)
Spell Pierce,1.0,['Blue'],['U'],None,['Instant'],None,Common,ZEN,None,None,None,Counter target noncreature spell unless its controller pays {2}.
Kazuul Warlord,5.0,['Red'],['R'],None,['Creature'],"['Minotaur', 'Warrior', 'Ally']",Rare,ZEN,3,3,None,"Whenever Kazuul Warlord or another Ally enters the battlefield under your control, you may put a +1/+1 counter on each Ally creature you control."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,ZEN,None,None,None,({T}: Add {R}.)
Sky Ruin Drake,5.0,['Blue'],['U'],None,['Creature'],['Drake'],Common,ZEN,2,5,None,Flying
Inferno Trap,4.0,['Red'],['R'],None,['Instant'],['Trap'],Uncommon,ZEN,None,None,None,"If you've been dealt damage by two or more creatures this turn, you may pay {R} rather than pay this spell's mana cost.\nInferno Trap deals 4 damage to target creature."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,ZEN,None,None,None,({T}: Add {R}.)
Shoal Serpent,6.0,['Blue'],['U'],None,['Creature'],['Serpent'],Common,ZEN,5,5,None,"Defender\nLandfall — Whenever a land enters the battlefield under your control, Shoal Serpent loses defender until end of turn."
Highland Berserker,2.0,['Red'],['R'],None,['Creature'],"['Human', 'Berserker', 'Ally']",Common,ZEN,2,1,None,"Whenever Highland Berserker or another Ally enters the battlefield under your control, you may have Ally creatures you control gain first strike until end of turn."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,ZEN,None,None,None,({T}: Add {R}.)
Seascape Aerialist,5.0,['Blue'],['U'],None,['Creature'],"['Merfolk', 'Wizard', 'Ally']",Uncommon,ZEN,2,3,None,"Whenever Seascape Aerialist or another Ally enters the battlefield under your control, you may have Ally creatures you control gain flying until end of turn."
Hellkite Charger,6.0,['Red'],['R'],None,['Creature'],['Dragon'],Rare,ZEN,5,5,None,"Flying, haste\nWhenever Hellkite Charger attacks, you may pay {5}{R}{R}. If you do, untap all attacking creatures and after this phase, there is an additional combat phase."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,ZEN,None,None,None,({T}: Add {R}.)
Sea Gate Loremaster,5.0,['Blue'],['U'],None,['Creature'],"['Merfolk', 'Wizard', 'Ally']",Rare,ZEN,1,3,None,{T}: Draw a card for each Ally you control.
Hellfire Mongrel,3.0,['Red'],['R'],None,['Creature'],"['Elemental', 'Dog']",Uncommon,ZEN,2,2,None,"At the beginning of each opponent's upkeep, if that player has two or fewer cards in hand, Hellfire Mongrel deals 2 damage to that player."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,ZEN,None,None,None,({T}: Add {R}.)
Roil Elemental,6.0,['Blue'],['U'],None,['Creature'],['Elemental'],Rare,ZEN,3,2,None,"Flying\nLandfall — Whenever a land enters the battlefield under your control, you may gain control of target creature for as long as you control Roil Elemental."
Goblin War Paint,2.0,['Red'],['R'],None,['Enchantment'],['Aura'],Common,ZEN,None,None,None,Enchant creature\nEnchanted creature gets +2/+2 and has haste.
