Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Scrubland,0.0,None,"['B', 'W']",None,['Land'],"['Plains', 'Swamp']",Rare,3ED,None,None,None,({T}: Add {W} or {B}.)
Taiga,0.0,None,"['G', 'R']",None,['Land'],"['Mountain', 'Forest']",Rare,3ED,None,None,None,({T}: Add {R} or {G}.)
Tropical Island,0.0,None,"['G', 'U']",None,['Land'],"['Forest', 'Island']",Rare,3ED,None,None,None,({T}: Add {G} or {U}.)
Tundra,0.0,None,"['U', 'W']",None,['Land'],"['Plains', 'Island']",Rare,3ED,None,None,None,({T}: Add {W} or {U}.)
Warp Artifact,2.0,['Black'],['B'],None,['Enchantment'],['Aura'],Rare,3ED,None,None,None,"Enchant artifact\nAt the beginning of the upkeep of enchanted artifact's controller, Warp Artifact deals 1 damage to that player."
Underground Sea,0.0,None,"['B', 'U']",None,['Land'],"['Island', 'Swamp']",Rare,3ED,None,None,None,({T}: Add {U} or {B}.)
Volcanic Island,0.0,None,"['R', 'U']",None,['Land'],"['Island', 'Mountain']",Rare,3ED,None,None,None,({T}: Add {U} or {R}.)
Wall of Bone,3.0,['Black'],['B'],None,['Creature'],"['Skeleton', 'Wall']",Uncommon,3ED,1,4,None,"Defender (This creature can't attack.)\n{B}: Regenerate Wall of Bone. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,3ED,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,3ED,None,None,None,({T}: Add {W}.)
Craw Wurm,6.0,['Green'],['G'],None,['Creature'],['Wurm'],Common,3ED,6,4,None,None
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,3ED,None,None,None,({T}: Add {W}.)
Cockatrice,5.0,['Green'],['G'],None,['Creature'],['Cockatrice'],Rare,3ED,2,4,None,"Flying\nWhenever Cockatrice blocks or becomes blocked by a non-Wall creature, destroy that creature at end of combat."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,3ED,None,None,None,({T}: Add {U}.)
Unholy Strength,1.0,['Black'],['B'],None,['Enchantment'],['Aura'],Common,3ED,None,None,None,Enchant creature\nEnchanted creature gets +2/+1.
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,3ED,None,None,None,({T}: Add {U}.)
Terror,2.0,['Black'],['B'],None,['Instant'],None,Common,3ED,None,None,None,"Destroy target nonartifact, nonblack creature. It can't be regenerated."
Channel,2.0,['Green'],['G'],None,['Sorcery'],None,Uncommon,3ED,None,None,None,"Until end of turn, any time you could activate a mana ability, you may pay 1 life. If you do, add {C}."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,3ED,None,None,None,({T}: Add {U}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,3ED,None,None,None,({T}: Add {B}.)
Birds of Paradise,1.0,['Green'],['G'],None,['Creature'],['Bird'],Rare,3ED,0,1,None,Flying\n{T}: Add one mana of any color.
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,3ED,None,None,None,({T}: Add {B}.)
Sorceress Queen,3.0,['Black'],['B'],None,['Creature'],"['Human', 'Wizard']",Rare,3ED,1,1,None,{T}: Target creature other than Sorceress Queen has base power and toughness 0/2 until end of turn.
Aspect of Wolf,2.0,['Green'],['G'],None,['Enchantment'],['Aura'],Rare,3ED,None,None,None,"Enchant creature\nEnchanted creature gets +X/+Y, where X is half the number of Forests you control, rounded down, and Y is half the number of Forests you control, rounded up."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,3ED,None,None,None,({T}: Add {B}.)
Wheel of Fortune,3.0,['Red'],['R'],None,['Sorcery'],None,Rare,3ED,None,None,None,"Each player discards their hand, then draws seven cards."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,3ED,None,None,None,({T}: Add {G}.)
Simulacrum,2.0,['Black'],['B'],None,['Instant'],None,Uncommon,3ED,None,None,None,You gain life equal to the damage dealt to you this turn. Simulacrum deals damage to target creature you control equal to the damage dealt to you this turn.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,3ED,None,None,None,({T}: Add {G}.)
Wall of Stone,3.0,['Red'],['R'],None,['Creature'],['Wall'],Uncommon,3ED,0,8,None,Defender (This creature can't attack.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,3ED,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,3ED,None,None,None,({T}: Add {R}.)
Sengir Vampire,5.0,['Black'],['B'],None,['Creature'],['Vampire'],Uncommon,3ED,4,4,None,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever a creature dealt damage by Sengir Vampire this turn dies, put a +1/+1 counter on Sengir Vampire."
