Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Shatter,2.0,['Red'],['R'],None,['Instant'],None,Common,4ED,None,None,None,Destroy target artifact.
Red Elemental Blast,1.0,['Red'],['R'],None,['Instant'],None,Common,4ED,None,None,None,Choose one —\n• Counter target blue spell.\n• Destroy target blue permanent.
Pyrotechnics,5.0,['Red'],['R'],None,['Sorcery'],None,Uncommon,4ED,None,None,None,Pyrotechnics deals 4 damage divided as you choose among any number of targets.
Power Surge,2.0,['Red'],['R'],None,['Enchantment'],None,Rare,4ED,None,None,None,"At the beginning of each player's upkeep, Power Surge deals X damage to that player, where X is the number of untapped lands they controlled at the beginning of this turn."
Burrowing,1.0,['Red'],['R'],None,['Enchantment'],['Aura'],Uncommon,4ED,None,None,None,Enchant creature\nEnchanted creature has mountainwalk. (It can't be blocked as long as defending player controls a Mountain.)
Hill Giant,4.0,['Red'],['R'],None,['Creature'],['Giant'],Common,4ED,3,3,None,None
Manabarbs,4.0,['Red'],['R'],None,['Enchantment'],None,Rare,4ED,None,None,None,"Whenever a player taps a land for mana, Manabarbs deals 1 damage to that player."
Brothers of Fire,3.0,['Red'],['R'],None,['Creature'],"['Human', 'Shaman']",Common,4ED,2,2,None,{1}{R}{R}: Brothers of Fire deals 1 damage to any target and 1 damage to you.
Orcish Artillery,3.0,['Red'],['R'],None,['Creature'],"['Orc', 'Warrior']",Uncommon,4ED,1,3,None,{T}: Orcish Artillery deals 2 damage to any target and 3 damage to you.
Orcish Oriflamme,4.0,['Red'],['R'],None,['Enchantment'],None,Uncommon,4ED,None,None,None,Attacking creatures you control get +1/+0.
Carrion Ants,4.0,['Black'],['B'],None,['Creature'],['Insect'],Uncommon,4ED,0,1,None,{1}: Carrion Ants gets +1/+1 until end of turn.
Mons's Goblin Raiders,1.0,['Red'],['R'],None,['Creature'],['Goblin'],Common,4ED,1,1,None,None
Cosmic Horror,6.0,['Black'],['B'],None,['Creature'],['Horror'],Rare,4ED,7,7,None,"First strike\nAt the beginning of your upkeep, destroy Cosmic Horror unless you pay {3}{B}{B}{B}. If Cosmic Horror is destroyed this way, it deals 7 damage to you."
Mana Flare,3.0,['Red'],['R'],None,['Enchantment'],None,Rare,4ED,None,None,None,"Whenever a player taps a land for mana, that player adds one mana of any type that land produced."
