Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Memory Lapse,2.0,['Blue'],['U'],None,['Instant'],None,Common,5ED,None,None,None,"Counter target spell. If that spell is countered this way, put it on top of its owner's library instead of into that player's graveyard."
Wall of Bone,3.0,['Black'],['B'],None,['Creature'],"['Skeleton', 'Wall']",Uncommon,5ED,1,4,None,"Defender (This creature can't attack.)\n{B}: Regenerate Wall of Bone. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
Magus of the Unseen,2.0,['Blue'],['U'],None,['Creature'],"['Human', 'Wizard']",Rare,5ED,1,1,None,"{1}{U}, {T}: Untap target artifact an opponent controls and gain control of it until end of turn. It gains haste until end of turn. When you lose control of the artifact, tap it."
Vampire Bats,1.0,['Black'],['B'],None,['Creature'],['Bat'],Common,5ED,0,1,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{B}: Vampire Bats gets +1/+0 until end of turn. Activate no more than twice each turn.
Leviathan,9.0,['Blue'],['U'],None,['Creature'],['Leviathan'],Rare,5ED,10,10,None,"Trample\nLeviathan enters the battlefield tapped and doesn't untap during your untap step.\nAt the beginning of your upkeep, you may sacrifice two Islands. If you do, untap Leviathan.\nLeviathan can't attack unless you sacrifice two Islands. (This cost is paid as attackers are declared.)"
The Wretched,5.0,['Black'],['B'],None,['Creature'],['Demon'],Rare,5ED,2,5,None,"At end of combat, gain control of all creatures blocking The Wretched for as long as you control The Wretched."
Labyrinth Minotaur,4.0,['Blue'],['U'],None,['Creature'],['Minotaur'],Common,5ED,1,4,None,"Whenever Labyrinth Minotaur blocks a creature, that creature doesn't untap during its controller's next untap step."
Terror,2.0,['Black'],['B'],None,['Instant'],None,Common,5ED,None,None,None,"Destroy target nonartifact, nonblack creature. It can't be regenerated."
Krovikan Sorcerer,3.0,['Blue'],['U'],None,['Creature'],"['Human', 'Wizard']",Common,5ED,1,1,None,"{T}, Discard a nonblack card: Draw a card.\n{T}, Discard a black card: Draw two cards, then discard one of them."
Plague Rats,3.0,['Black'],['B'],None,['Creature'],['Rat'],Common,5ED,*,*,None,Plague Rats's power and toughness are each equal to the number of creatures named Plague Rats on the battlefield.
Juxtapose,4.0,['Blue'],['U'],None,['Sorcery'],None,Rare,5ED,None,None,None,"You and target player exchange control of the creature you each control with the highest mana value. Then exchange control of artifacts the same way. If two or more permanents a player controls are tied for highest, their controller chooses one of them."
Touch of Death,3.0,['Black'],['B'],None,['Sorcery'],None,Common,5ED,None,None,None,Touch of Death deals 1 damage to target player or planeswalker. You gain 1 life.\nDraw a card at the beginning of the next turn's upkeep.
Hydroblast,1.0,['Blue'],['U'],None,['Instant'],None,Uncommon,5ED,None,None,None,Choose one —\n• Counter target spell if it's red.\n• Destroy target permanent if it's red.
Pit Scorpion,3.0,['Black'],['B'],None,['Creature'],['Scorpion'],Common,5ED,1,1,None,"Whenever Pit Scorpion deals damage to a player, that player gets a poison counter. (A player with ten or more poison counters loses the game.)"
Hurkyl's Recall,2.0,['Blue'],['U'],None,['Instant'],None,Rare,5ED,None,None,None,Return all artifacts target player owns to their hand.
Torture,1.0,['Black'],['B'],None,['Enchantment'],['Aura'],Common,5ED,None,None,None,Enchant creature\n{1}{B}: Put a -1/-1 counter on enchanted creature.
Homarid Warrior,5.0,['Blue'],['U'],None,['Creature'],"['Homarid', 'Warrior']",Common,5ED,3,3,None,{U}: Homarid Warrior gains shroud until end of turn and doesn't untap during your next untap step. Tap Homarid Warrior. (A creature with shroud can't be the target of spells or abilities.)
Thrull Retainer,1.0,['Black'],['B'],None,['Enchantment'],['Aura'],Uncommon,5ED,None,None,None,Enchant creature\nEnchanted creature gets +1/+1.\nSacrifice Thrull Retainer: Regenerate enchanted creature.
Glacial Wall,3.0,['Blue'],['U'],None,['Creature'],['Wall'],Uncommon,5ED,0,7,None,Defender (This creature can't attack.)
Stromgald Cabal,3.0,['Black'],['B'],None,['Creature'],"['Human', 'Knight']",Rare,5ED,2,2,None,"{T}, Pay 1 life: Counter target white spell."
Gaseous Form,3.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Common,5ED,None,None,None,Enchant creature\nPrevent all combat damage that would be dealt to and dealt by enchanted creature.
