Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Soldevi Sage,2.0,['Blue'],['U'],None,['Creature'],"['Human', 'Wizard']",Uncommon,6ED,1,1,None,"{T}, Sacrifice two lands: Draw three cards, then discard one of them."
Sibilant Spirit,6.0,['Blue'],['U'],None,['Creature'],['Spirit'],Rare,6ED,5,6,None,"Flying\nWhenever Sibilant Spirit attacks, defending player may draw a card."
Segovian Leviathan,5.0,['Blue'],['U'],None,['Creature'],['Leviathan'],Uncommon,6ED,3,3,None,Islandwalk (This creature can't be blocked as long as defending player controls an Island.)
Forget,2.0,['Blue'],['U'],None,['Sorcery'],None,Rare,6ED,None,None,None,"Target player discards two cards, then draws as many cards as they discarded this way."
Fog Elemental,3.0,['Blue'],['U'],None,['Creature'],['Elemental'],Common,6ED,4,4,None,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Fog Elemental attacks or blocks, sacrifice it at end of combat."
Flight,1.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Common,6ED,None,None,None,Enchant creature\nEnchanted creature has flying.
Flash,2.0,['Blue'],['U'],None,['Instant'],None,Rare,6ED,None,None,None,"You may put a creature card from your hand onto the battlefield. If you do, sacrifice it unless you pay its mana cost reduced by up to {2}."
Dream Cache,3.0,['Blue'],['U'],None,['Sorcery'],None,Common,6ED,None,None,None,"Draw three cards, then put two cards from your hand both on top of your library or both on the bottom of your library."
Diminishing Returns,4.0,['Blue'],['U'],None,['Sorcery'],None,Rare,6ED,None,None,None,Each player shuffles their hand and graveyard into their library. You exile the top ten cards of your library. Then each player draws up to seven cards.
Desertion,5.0,['Blue'],['U'],None,['Instant'],None,Rare,6ED,None,None,None,"Counter target spell. If an artifact or creature spell is countered this way, put that card onto the battlefield under your control instead of into its owner's graveyard."
Deflection,4.0,['Blue'],['U'],None,['Instant'],None,Rare,6ED,None,None,None,Change the target of target spell with a single target.
Daring Apprentice,3.0,['Blue'],['U'],None,['Creature'],"['Human', 'Wizard']",Rare,6ED,1,1,None,"{T}, Sacrifice Daring Apprentice: Counter target spell."
Counterspell,2.0,['Blue'],['U'],None,['Instant'],None,Common,6ED,None,None,None,Counter target spell.
Chill,2.0,['Blue'],['U'],None,['Enchantment'],None,Uncommon,6ED,None,None,None,Red spells cost {2} more to cast.
Browse,4.0,['Blue'],['U'],None,['Enchantment'],None,Uncommon,6ED,None,None,None,"{2}{U}{U}: Look at the top five cards of your library, put one of them into your hand, and exile the rest."
Sea Monster,6.0,['Blue'],['U'],None,['Creature'],['Serpent'],Common,6ED,6,6,None,Sea Monster can't attack unless defending player controls an Island.
Sage Owl,2.0,['Blue'],['U'],None,['Creature'],['Bird'],Common,6ED,1,1,None,"Flying\nWhen Sage Owl enters the battlefield, look at the top four cards of your library, then put them back in any order."
Fervor,3.0,['Red'],['R'],None,['Enchantment'],None,Rare,6ED,None,None,None,Creatures you control have haste. (They can attack and {T} as soon as they come under your control.)
Final Fortune,2.0,['Red'],['R'],None,['Instant'],None,Rare,6ED,None,None,None,"Take an extra turn after this one. At the beginning of that turn's end step, you lose the game."
Flame Spirit,5.0,['Red'],['R'],None,['Creature'],"['Elemental', 'Spirit']",Common,6ED,2,3,None,{R}: Flame Spirit gets +1/+0 until end of turn.
Flashfires,4.0,['Red'],['R'],None,['Sorcery'],None,Uncommon,6ED,None,None,None,Destroy all Plains.
Fire Elemental,5.0,['Red'],['R'],None,['Creature'],['Elemental'],Uncommon,6ED,5,4,None,None
Fit of Rage,2.0,['Red'],['R'],None,['Sorcery'],None,Common,6ED,None,None,None,Target creature gets +3/+3 and gains first strike until end of turn.
Goblin Digging Team,1.0,['Red'],['R'],None,['Creature'],['Goblin'],Common,6ED,1,1,None,"{T}, Sacrifice Goblin Digging Team: Destroy target Wall."
Goblin Elite Infantry,2.0,['Red'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Common,6ED,2,2,None,"Whenever Goblin Elite Infantry blocks or becomes blocked, it gets -1/-1 until end of turn."
Giant Strength,2.0,['Red'],['R'],None,['Enchantment'],['Aura'],Common,6ED,None,None,None,Enchant creature\nEnchanted creature gets +2/+2.
Goblin Hero,3.0,['Red'],['R'],None,['Creature'],['Goblin'],Common,6ED,2,2,None,None
Goblin King,3.0,['Red'],['R'],None,['Creature'],['Goblin'],Rare,6ED,2,2,None,Other Goblins get +1/+1 and have mountainwalk.
Vodalian Soldiers,2.0,['Blue'],['U'],None,['Creature'],"['Merfolk', 'Soldier']",Common,6ED,1,2,None,None
Goblin Recruiter,2.0,['Red'],['R'],None,['Creature'],['Goblin'],Uncommon,6ED,1,1,None,"When Goblin Recruiter enters the battlefield, search your library for any number of Goblin cards, reveal them, then shuffle and put those cards on top in any order."
Hammer of Bogardan,3.0,['Red'],['R'],None,['Sorcery'],None,Rare,6ED,None,None,None,Hammer of Bogardan deals 3 damage to any target.\n{2}{R}{R}{R}: Return Hammer of Bogardan from your graveyard to your hand. Activate only during your upkeep.
Illicit Auction,5.0,['Red'],['R'],None,['Sorcery'],None,Rare,6ED,None,None,None,"Each player may bid life for control of target creature. You start the bidding with a bid of 0. In turn order, each player may top the high bid. The bidding ends if the high bid stands. The high bidder loses life equal to the high bid and gains control of the creature. (This effect lasts indefinitely.)"
Hulking Cyclops,5.0,['Red'],['R'],None,['Creature'],['Cyclops'],Uncommon,6ED,5,5,None,Hulking Cyclops can't block.
Goblin Warrens,3.0,['Red'],['R'],None,['Enchantment'],None,Rare,6ED,None,None,None,"{2}{R}, Sacrifice two Goblins: Create three 1/1 red Goblin creature tokens."
Firebreathing,1.0,['Red'],['R'],None,['Enchantment'],['Aura'],Common,6ED,None,None,None,Enchant creature\n{R}: Enchanted creature gets +1/+0 until end of turn.
Inferno,7.0,['Red'],['R'],None,['Instant'],None,Rare,6ED,None,None,None,Inferno deals 6 damage to each creature and each player.
Jokulhaups,6.0,['Red'],['R'],None,['Sorcery'],None,Rare,6ED,None,None,None,"Destroy all artifacts, creatures, and lands. They can't be regenerated."
Lightning Blast,4.0,['Red'],['R'],None,['Instant'],None,Common,6ED,None,None,None,Lightning Blast deals 4 damage to any target.
Manabarbs,4.0,['Red'],['R'],None,['Enchantment'],None,Rare,6ED,None,None,None,"Whenever a player taps a land for mana, Manabarbs deals 1 damage to that player."
Mountain Goat,1.0,['Red'],['R'],None,['Creature'],['Goat'],Common,6ED,1,1,None,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)
Orcish Artillery,3.0,['Red'],['R'],None,['Creature'],"['Orc', 'Warrior']",Uncommon,6ED,1,3,None,{T}: Orcish Artillery deals 2 damage to any target and 3 damage to you.
Orcish Oriflamme,4.0,['Red'],['R'],None,['Enchantment'],None,Uncommon,6ED,None,None,None,Attacking creatures you control get +1/+0.
Pillage,3.0,['Red'],['R'],None,['Sorcery'],None,Uncommon,6ED,None,None,None,Destroy target artifact or land. It can't be regenerated.
Pyrotechnics,5.0,['Red'],['R'],None,['Sorcery'],None,Common,6ED,None,None,None,Pyrotechnics deals 4 damage divided as you choose among any number of targets.
Sabretooth Tiger,3.0,['Red'],['R'],None,['Creature'],['Cat'],Common,6ED,2,1,None,First strike
Shatter,2.0,['Red'],['R'],None,['Instant'],None,Common,6ED,None,None,None,Destroy target artifact.
Shatterstorm,4.0,['Red'],['R'],None,['Sorcery'],None,Rare,6ED,None,None,None,Destroy all artifacts. They can't be regenerated.
Raging Goblin,1.0,['Red'],['R'],None,['Creature'],"['Goblin', 'Berserker']",Common,6ED,1,1,None,Haste (This creature can attack and {T} as soon as it comes under your control.)
Relentless Assault,4.0,['Red'],['R'],None,['Sorcery'],None,Rare,6ED,None,None,None,"Untap all creatures that attacked this turn. After this main phase, there is an additional combat phase followed by an additional main phase."
Unsummon,1.0,['Blue'],['U'],None,['Instant'],None,Common,6ED,None,None,None,Return target creature to its owner's hand.
Spitting Drake,4.0,['Red'],['R'],None,['Creature'],['Drake'],Uncommon,6ED,2,2,None,Flying\n{R}: Spitting Drake gets +1/+0 until end of turn. Activate only once each turn.
Spitting Earth,2.0,['Red'],['R'],None,['Sorcery'],None,Common,6ED,None,None,None,Spitting Earth deals damage to target creature equal to the number of Mountains you control.
Shock,1.0,['Red'],['R'],None,['Instant'],None,Common,6ED,None,None,None,Shock deals 2 damage to any target.
Obsianus Golem,6.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Uncommon,6ED,4,6,None,None
Stone Rain,3.0,['Red'],['R'],None,['Sorcery'],None,Common,6ED,None,None,None,Destroy target land.
Talruum Minotaur,4.0,['Red'],['R'],None,['Creature'],"['Minotaur', 'Berserker']",Common,6ED,3,3,None,Haste
Tremor,1.0,['Red'],['R'],None,['Sorcery'],None,Common,6ED,None,None,None,Tremor deals 1 damage to each creature without flying.
Viashino Warrior,4.0,['Red'],['R'],None,['Creature'],"['Viashino', 'Warrior']",Common,6ED,4,2,None,None
Volcanic Geyser,2.0,['Red'],['R'],None,['Instant'],None,Uncommon,6ED,None,None,None,Volcanic Geyser deals X damage to any target.
Volcanic Dragon,6.0,['Red'],['R'],None,['Creature'],['Dragon'],Rare,6ED,4,4,None,"Flying, haste"
