Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Hurricane,1.0,['Green'],['G'],None,['Sorcery'],None,Rare,7ED,None,None,None,Hurricane deals X damage to each creature with flying and each player.
Wall of Spears,3.0,None,None,None,"['Artifact', 'Creature']",['Wall'],Uncommon,7ED,2,3,None,Defender (This creature can't attack.)\nFirst strike
Grizzly Bears,2.0,['Green'],['G'],None,['Creature'],['Bear'],Common,7ED,2,2,None,None
Throne of Bone,1.0,None,None,None,['Artifact'],None,Uncommon,7ED,None,None,None,"Whenever a player casts a black spell, you may pay {1}. If you do, you gain 1 life."
Gorilla Chieftain,4.0,['Green'],['G'],None,['Creature'],['Ape'],Common,7ED,3,3,None,{1}{G}: Regenerate Gorilla Chieftain.
Teferi's Puzzle Box,4.0,None,None,None,['Artifact'],None,Rare,7ED,None,None,None,"At the beginning of each player's draw step, that player puts the cards in their hand on the bottom of their library in any order, then draws that many cards."
Giant Spider,4.0,['Green'],['G'],None,['Creature'],['Spider'],Common,7ED,2,4,None,Reach (This creature can block creatures with flying.)
Storm Cauldron,5.0,None,None,None,['Artifact'],None,Rare,7ED,None,None,None,"Each player may play an additional land during each of their turns.\nWhenever a land is tapped for mana, return it to its owner's hand."
Giant Growth,1.0,['Green'],['G'],None,['Instant'],None,Common,7ED,None,None,None,Target creature gets +3/+3 until end of turn.
Static Orb,3.0,None,None,None,['Artifact'],None,Rare,7ED,None,None,None,"As long as Static Orb is untapped, players can't untap more than two permanents during their untap steps."
Gang of Elk,6.0,['Green'],['G'],None,['Creature'],"['Elk', 'Beast']",Uncommon,7ED,5,4,None,"Whenever Gang of Elk becomes blocked, it gets +2/+2 until end of turn for each creature blocking it."
Spellbook,0.0,None,None,None,['Artifact'],None,Uncommon,7ED,None,None,None,You have no maximum hand size.
Fyndhorn Elder,3.0,['Green'],['G'],None,['Creature'],"['Elf', 'Druid']",Uncommon,7ED,1,1,None,{T}: Add {G}{G}.
Soul Net,1.0,None,None,None,['Artifact'],None,Uncommon,7ED,None,None,None,"Whenever a creature dies, you may pay {1}. If you do, you gain 1 life."
Fog,1.0,['Green'],['G'],None,['Instant'],None,Common,7ED,None,None,None,Prevent all combat damage that would be dealt this turn.
Sky Diamond,2.0,None,['U'],None,['Artifact'],None,Uncommon,7ED,None,None,None,Sky Diamond enters the battlefield tapped.\n{T}: Add {U}.
Femeref Archers,3.0,['Green'],['G'],None,['Creature'],"['Human', 'Archer']",Uncommon,7ED,2,2,None,{T}: Femeref Archers deals 4 damage to target attacking creature with flying.
Sisay's Ring,4.0,None,None,None,['Artifact'],None,Uncommon,7ED,None,None,None,{T}: Add {C}{C}.
Familiar Ground,3.0,['Green'],['G'],None,['Enchantment'],None,Uncommon,7ED,None,None,None,Each creature you control can't be blocked by more than one creature.
Rod of Ruin,4.0,None,None,None,['Artifact'],None,Uncommon,7ED,None,None,None,"{3}, {T}: Rod of Ruin deals 1 damage to any target."
Elvish Piper,4.0,['Green'],['G'],None,['Creature'],"['Elf', 'Shaman']",Rare,7ED,1,1,None,"{G}, {T}: You may put a creature card from your hand onto the battlefield."
Pit Trap,2.0,None,None,None,['Artifact'],None,Uncommon,7ED,None,None,None,"{2}, {T}, Sacrifice Pit Trap: Destroy target attacking creature without flying. It can't be regenerated."
Elvish Lyrist,1.0,['Green'],['G'],None,['Creature'],['Elf'],Uncommon,7ED,1,1,None,"{G}, {T}, Sacrifice Elvish Lyrist: Destroy target enchantment."
Grafted Skullcap,4.0,None,None,None,['Artifact'],None,Rare,7ED,None,None,None,"At the beginning of your draw step, draw an additional card.\nAt the beginning of your end step, discard your hand."
Elvish Champion,3.0,['Green'],['G'],None,['Creature'],['Elf'],Rare,7ED,2,2,None,Other Elf creatures get +1/+1 and have forestwalk. (They can't be blocked as long as defending player controls a Forest.)
