Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Notion Thief,4.0,"['Black', 'Blue']","['B', 'U']",None,['Creature'],"['Human', 'Rogue']",Rare,A25,3,1,None,"Flash\nIf an opponent would draw a card except the first one they draw in each of their draw steps, instead that player skips that draw and you draw a card."
Primal Clay,4.0,None,None,None,"['Artifact', 'Creature']",['Shapeshifter'],Common,A25,*,*,None,"As Primal Clay enters the battlefield, it becomes your choice of a 3/3 artifact creature, a 2/2 artifact creature with flying, or a 1/6 Wall artifact creature with defender in addition to its other types. (A creature with defender can't attack.)"
Perilous Myr,2.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Myr']",Uncommon,A25,1,1,None,"When Perilous Myr dies, it deals 2 damage to any target."
Strionic Resonator,2.0,None,None,None,['Artifact'],None,Rare,A25,None,None,None,"{2}, {T}: Copy target triggered ability you control. You may choose new targets for the copy. (A triggered ability uses the words ""when,"" ""whenever,"" or ""at."")"
Nihil Spellbomb,1.0,None,['B'],None,['Artifact'],None,Common,A25,None,None,None,"{T}, Sacrifice Nihil Spellbomb: Exile target player's graveyard.\nWhen Nihil Spellbomb is put into a graveyard from the battlefield, you may pay {B}. If you do, draw a card."
"Niv-Mizzet, the Firemind",6.0,"['Red', 'Blue']","['R', 'U']",['Legendary'],['Creature'],"['Dragon', 'Wizard']",Rare,A25,4,4,None,"Flying\nWhenever you draw a card, Niv-Mizzet, the Firemind deals 1 damage to any target.\n{T}: Draw a card."
Ash Barrens,0.0,None,None,None,['Land'],None,Uncommon,A25,None,None,None,"{T}: Add {C}.\nBasic landcycling {1} ({1}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)"
Shadowmage Infiltrator,3.0,"['Black', 'Blue']","['B', 'U']",None,['Creature'],"['Human', 'Wizard']",Uncommon,A25,1,3,None,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)\nWhenever Shadowmage Infiltrator deals combat damage to a player, you may draw a card."
Zoetic Cavern,0.0,None,None,None,['Land'],None,Uncommon,A25,None,None,None,{T}: Add {C}.\nMorph {2} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
"Ruric Thar, the Unbowed",6.0,"['Green', 'Red']","['G', 'R']",['Legendary'],['Creature'],"['Ogre', 'Warrior']",Rare,A25,6,6,None,"Vigilance, reach\nRuric Thar, the Unbowed attacks each combat if able.\nWhenever a player casts a noncreature spell, Ruric Thar deals 6 damage to that player."
"Mikokoro, Center of the Sea",0.0,None,None,['Legendary'],['Land'],None,Rare,A25,None,None,None,"{T}: Add {C}.\n{2}, {T}: Each player draws a card."
Twilight Mire,0.0,None,"['B', 'G']",None,['Land'],None,Rare,A25,None,None,None,"{T}: Add {C}.\n{B/G}, {T}: Add {B}{B}, {B}{G}, or {G}{G}."
Nicol Bolas,8.0,"['Black', 'Red', 'Blue']","['B', 'R', 'U']",['Legendary'],['Creature'],"['Elder', 'Dragon']",Rare,A25,7,7,None,"Flying\nAt the beginning of your upkeep, sacrifice Nicol Bolas unless you pay {U}{B}{R}.\nWhenever Nicol Bolas deals damage to an opponent, that player discards their hand."
Rishadan Port,0.0,None,None,None,['Land'],None,Rare,A25,None,None,None,"{T}: Add {C}.\n{1}, {T}: Tap target land."
Quicksand,0.0,None,None,None,['Land'],None,Uncommon,A25,None,None,None,"{T}: Add {C}.\n{T}, Sacrifice Quicksand: Target attacking creature without flying gets -1/-2 until end of turn."
Sift,4.0,['Blue'],['U'],None,['Sorcery'],None,Common,A25,None,None,None,"Draw three cards, then discard a card."
Lightning Bolt,1.0,['Red'],['R'],None,['Instant'],None,Uncommon,A25,None,None,None,Lightning Bolt deals 3 damage to any target.
Cloudblazer,5.0,"['Blue', 'White']","['U', 'W']",None,['Creature'],"['Human', 'Scout']",Uncommon,A25,2,2,None,"Flying\nWhen Cloudblazer enters the battlefield, you gain 2 life and draw two cards."
Shoreline Ranger,6.0,['Blue'],['U'],None,['Creature'],"['Bird', 'Soldier', 'Ranger']",Common,A25,3,4,None,"Flying\nIslandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)"
Kindle,2.0,['Red'],['R'],None,['Instant'],None,Common,A25,None,None,None,"Kindle deals X damage to any target, where X is 2 plus the number of cards named Kindle in all graveyards."
"Gisela, Blade of Goldnight",7.0,"['Red', 'White']","['R', 'W']",['Legendary'],['Creature'],['Angel'],Mythic,A25,5,5,None,"Flying, first strike\nIf a source would deal damage to an opponent or a permanent an opponent controls, that source deals double that damage to that player or permanent instead.\nIf a source would deal damage to you or a permanent you control, prevent half that damage, rounded up."
Retraction Helix,1.0,['Blue'],['U'],None,['Instant'],None,Common,A25,None,None,None,"Until end of turn, target creature gains ""{T}: Return target nonland permanent to its owner's hand."""
Jackal Pup,1.0,['Red'],['R'],None,['Creature'],['Jackal'],Common,A25,2,1,None,"Whenever Jackal Pup is dealt damage, it deals that much damage to you."
Quicksilver Dagger,3.0,"['Red', 'Blue']","['R', 'U']",None,['Enchantment'],['Aura'],Uncommon,A25,None,None,None,"Enchant creature\nEnchanted creature has ""{T}: This creature deals 1 damage to target player or planeswalker. You draw a card."""
Reef Worm,4.0,['Blue'],['U'],None,['Creature'],['Worm'],Rare,A25,0,1,None,"When Reef Worm dies, create a 3/3 blue Fish creature token with ""When this creature dies, create a 6/6 blue Whale creature token with 'When this creature dies, create a 9/9 blue Kraken creature token.'"""
Izzet Chemister,3.0,['Red'],['R'],None,['Creature'],"['Goblin', 'Wizard']",Rare,A25,1,3,None,"Haste\n{R}, {T}: Exile target instant or sorcery card from your graveyard.\n{1}{R}, {T}, Sacrifice Izzet Chemister: Cast any number of cards exiled with Izzet Chemister without paying their mana costs."
Eladamri's Call,2.0,"['Green', 'White']","['G', 'W']",None,['Instant'],None,Rare,A25,None,None,None,"Search your library for a creature card, reveal that card, put it into your hand, then shuffle."
Phantasmal Bear,1.0,['Blue'],['U'],None,['Creature'],"['Bear', 'Illusion']",Common,A25,2,2,None,"When Phantasmal Bear becomes the target of a spell or ability, sacrifice it."
Ire Shaman,2.0,['Red'],['R'],None,['Creature'],"['Orc', 'Shaman']",Uncommon,A25,2,1,None,"Menace (This creature can't be blocked except by two or more creatures.)\nMegamorph {R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)\nWhen Ire Shaman is turned face up, exile the top card of your library. Until end of turn, you may play that card."
Conflux,8.0,"['Black', 'Green', 'Red', 'Blue', 'White']","['B', 'G', 'R', 'U', 'W']",None,['Sorcery'],None,Rare,A25,None,None,None,"Search your library for a white card, a blue card, a black card, a red card, and a green card. Reveal those cards, put them into your hand, then shuffle."
Pact of Negation,0.0,['Blue'],['U'],None,['Instant'],None,Rare,A25,None,None,None,"Counter target spell.\nAt the beginning of your next upkeep, pay {3}{U}{U}. If you don't, you lose the game."
Imperial Recruiter,3.0,['Red'],['R'],None,['Creature'],"['Human', 'Advisor']",Mythic,A25,1,1,None,"When Imperial Recruiter enters the battlefield, search your library for a creature card with power 2 or less, reveal it, put it into your hand, then shuffle."
Pendelhaven,0.0,None,['G'],['Legendary'],['Land'],None,Rare,A25,None,None,None,{T}: Add {G}.\n{T}: Target 1/1 creature gets +1/+2 until end of turn.
Mystic of the Hidden Way,5.0,['Blue'],['U'],None,['Creature'],"['Human', 'Monk']",Common,A25,3,2,None,Mystic of the Hidden Way can't be blocked.\nMorph {2}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Humble Defector,2.0,['Red'],['R'],None,['Creature'],"['Human', 'Rogue']",Uncommon,A25,2,1,None,{T}: Draw two cards. Target opponent gains control of Humble Defector. Activate only during your turn.
Brion Stoutarm,4.0,"['Red', 'White']","['R', 'W']",['Legendary'],['Creature'],"['Giant', 'Warrior']",Rare,A25,4,4,None,"Lifelink\n{R}, {T}, Sacrifice another creature: Brion Stoutarm deals damage equal to the sacrificed creature's power to target player or planeswalker."
Hordeling Outburst,3.0,['Red'],['R'],None,['Sorcery'],None,Common,A25,None,None,None,Create three 1/1 red Goblin creature tokens.
Boros Charm,2.0,"['Red', 'White']","['R', 'W']",None,['Instant'],None,Uncommon,A25,None,None,None,Choose one —\n• Boros Charm deals 4 damage to target player or planeswalker.\n• Permanents you control gain indestructible until end of turn.\n• Target creature gains double strike until end of turn.
Myriad Landscape,0.0,None,None,None,['Land'],None,Uncommon,A25,None,None,None,"Myriad Landscape enters the battlefield tapped.\n{T}: Add {C}.\n{2}, {T}, Sacrifice Myriad Landscape: Search your library for up to two basic land cards that share a land type, put them onto the battlefield tapped, then shuffle."
Goblin War Drums,3.0,['Red'],['R'],None,['Enchantment'],None,Uncommon,A25,None,None,None,Creatures you control have menace. (They can't be blocked except by two or more creatures.)
