Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Dryad Greenseeker,2.0,['Green'],['G'],None,['Creature'],['Dryad'],Uncommon,AJMP,1,3,None,"{T}: Look at the top card of your library. If it's a land card, you may reveal it and put it into your hand."
Archon of Sun's Grace,4.0,['White'],['W'],None,['Creature'],['Archon'],Rare,AJMP,3,4,None,"Flying, lifelink\nPegasus creatures you control have lifelink.\nConstellation — Whenever an enchantment enters the battlefield under your control, create a 2/2 white Pegasus creature token with flying."
Lightning Strike,2.0,['Red'],['R'],None,['Instant'],None,Uncommon,AJMP,None,None,None,Lightning Strike deals 3 damage to any target.
Bond of Revival,5.0,['Black'],['B'],None,['Sorcery'],None,Uncommon,AJMP,None,None,None,Return target creature card from your graveyard to the battlefield. It gains haste until your next turn.
Scorching Dragonfire,2.0,['Red'],['R'],None,['Instant'],None,Common,AJMP,None,None,None,"Scorching Dragonfire deals 3 damage to target creature or planeswalker. If that creature or planeswalker would die this turn, exile it instead."
Weight of Memory,5.0,['Blue'],['U'],None,['Sorcery'],None,Uncommon,AJMP,None,None,None,Draw three cards. Target player mills three cards.
Doomed Necromancer,3.0,['Black'],['B'],None,['Creature'],"['Human', 'Cleric', 'Mercenary']",Rare,AJMP,2,2,None,"{B}, {T}, Sacrifice Doomed Necromancer: Return target creature card from your graveyard to the battlefield."
Carnifex Demon,6.0,['Black'],['B'],None,['Creature'],"['Phyrexian', 'Demon']",Rare,AJMP,6,6,None,"Flying\nCarnifex Demon enters the battlefield with two -1/-1 counters on it.\n{B}, Remove a -1/-1 counter from Carnifex Demon: Put a -1/-1 counter on each other creature."
Goblin Oriflamme,2.0,['Red'],['R'],None,['Enchantment'],None,Uncommon,AJMP,None,None,None,Attacking creatures you control get +1/+0.
Audacious Thief,3.0,['Black'],['B'],None,['Creature'],"['Human', 'Rogue']",Common,AJMP,2,2,None,"Whenever Audacious Thief attacks, you draw a card and you lose 1 life."
Serra's Guardian,6.0,['White'],['W'],None,['Creature'],['Angel'],Rare,AJMP,5,5,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\nVigilance (Attacking doesn't cause this creature to tap.)\nOther creatures you control have vigilance.
Woe Strider,3.0,['Black'],['B'],None,['Creature'],['Horror'],Rare,AJMP,3,2,None,"When Woe Strider enters the battlefield, create a 0/1 white Goat creature token.\nSacrifice another creature: Scry 1.\nEscape—{3}{B}{B}, Exile four other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)\nWoe Strider escapes with two +1/+1 counters on it."
Banishing Light,3.0,['White'],['W'],None,['Enchantment'],None,Uncommon,AJMP,None,None,None,"When Banishing Light enters the battlefield, exile target nonland permanent an opponent controls until Banishing Light leaves the battlefield."
Fanatic of Mogis,4.0,['Red'],['R'],None,['Creature'],"['Minotaur', 'Shaman']",Uncommon,AJMP,4,2,None,"When Fanatic of Mogis enters the battlefield, it deals damage to each opponent equal to your devotion to red. (Each {R} in the mana costs of permanents you control counts toward your devotion to red.)"
Prey Upon,1.0,['Green'],['G'],None,['Sorcery'],None,Common,AJMP,None,None,None,Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)
Lightning Serpent,1.0,['Red'],['R'],None,['Creature'],"['Elemental', 'Serpent']",Rare,AJMP,2,1,None,"Trample, haste\nLightning Serpent enters the battlefield with X +1/+0 counters on it.\nAt the beginning of the end step, sacrifice Lightning Serpent."
Pollenbright Druid,2.0,['Green'],['G'],None,['Creature'],"['Elf', 'Druid']",Common,AJMP,1,1,None,"When Pollenbright Druid enters the battlefield, choose one —\n• Put a +1/+1 counter on target creature.\n• Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
"Gadwick, the Wizened",3.0,['Blue'],['U'],['Legendary'],['Creature'],"['Human', 'Wizard']",Rare,AJMP,3,3,None,"When Gadwick, the Wizened enters the battlefield, draw X cards.\nWhenever you cast a blue spell, tap target nonland permanent an opponent controls."
