Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Ashnod's Battle Gear,2.0,None,None,None,['Artifact'],None,Uncommon,ATQ,None,None,None,"You may choose not to untap Ashnod's Battle Gear during your untap step.\n{2}, {T}: Target creature you control gets +2/-2 for as long as Ashnod's Battle Gear remains tapped."
Ashnod's Altar,3.0,None,None,None,['Artifact'],None,Uncommon,ATQ,None,None,None,Sacrifice a creature: Add {C}{C}.
Armageddon Clock,6.0,None,None,None,['Artifact'],None,Uncommon,ATQ,None,None,None,"At the beginning of your upkeep, put a doom counter on Armageddon Clock.\nAt the beginning of your draw step, Armageddon Clock deals damage equal to the number of doom counters on it to each player.\n{4}: Remove a doom counter from Armageddon Clock. Any player may activate this ability but only during any upkeep step."
Ornithopter,0.0,None,None,None,"['Artifact', 'Creature']",['Thopter'],Common,ATQ,0,2,None,Flying
Amulet of Kroog,2.0,None,None,None,['Artifact'],None,Common,ATQ,None,None,None,"{2}, {T}: Prevent the next 1 damage that would be dealt to any target this turn."
Titania's Song,4.0,['Green'],['G'],None,['Enchantment'],None,Uncommon,ATQ,None,None,None,"Each noncreature artifact loses all abilities and becomes an artifact creature with power and toughness each equal to its mana value. If Titania's Song leaves the battlefield, this effect continues until end of turn."
Powerleech,2.0,['Green'],['G'],None,['Enchantment'],None,Uncommon,ATQ,None,None,None,"Whenever an artifact an opponent controls becomes tapped or an opponent activates an artifact's ability without {T} in its activation cost, you gain 1 life."
Gaea's Avenger,3.0,['Green'],['G'],None,['Creature'],['Treefolk'],Rare,ATQ,1+*,1+*,None,Gaea's Avenger's power and toughness are each equal to 1 plus the number of artifacts your opponents control.
Crumble,1.0,['Green'],['G'],None,['Instant'],None,Common,ATQ,None,None,None,Destroy target artifact. It can't be regenerated. That artifact's controller gains life equal to its mana value.
Citanul Druid,2.0,['Green'],['G'],None,['Creature'],"['Human', 'Druid']",Uncommon,ATQ,1,1,None,"Whenever an opponent casts an artifact spell, put a +1/+1 counter on Citanul Druid."
Argothian Treefolk,5.0,['Green'],['G'],None,['Creature'],['Treefolk'],Common,ATQ,3,5,None,Prevent all damage that would be dealt to Argothian Treefolk by artifact sources.
Argothian Pixies,2.0,['Green'],['G'],None,['Creature'],['Faerie'],Common,ATQ,2,1,None,Argothian Pixies can't be blocked by artifact creatures.\nPrevent all damage that would be dealt to Argothian Pixies by artifact creatures.
Shatterstorm,4.0,['Red'],['R'],None,['Sorcery'],None,Rare,ATQ,None,None,None,Destroy all artifacts. They can't be regenerated.
