Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,AVR,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,AVR,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,AVR,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,AVR,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,AVR,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,AVR,None,None,None,({T}: Add {R}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,AVR,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,AVR,None,None,None,({T}: Add {B}.)
Ghostly Flicker,3.0,['Blue'],['U'],None,['Instant'],None,Common,AVR,None,None,None,"Exile two target artifacts, creatures, and/or lands you control, then return those cards to the battlefield under your control."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,AVR,None,None,None,({T}: Add {B}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,AVR,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,AVR,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,AVR,None,None,None,({T}: Add {U}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,AVR,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,AVR,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,AVR,None,None,None,({T}: Add {W}.)
Slayers' Stronghold,0.0,None,"['R', 'W']",None,['Land'],None,Rare,AVR,None,None,None,"{T}: Add {C}.\n{R}{W}, {T}: Target creature gets +2/+0 and gains vigilance and haste until end of turn."
Seraph Sanctuary,0.0,None,None,None,['Land'],None,Common,AVR,None,None,None,"When Seraph Sanctuary enters the battlefield, you gain 1 life.\nWhenever an Angel enters the battlefield under your control, you gain 1 life.\n{T}: Add {C}."
Desolate Lighthouse,0.0,None,"['R', 'U']",None,['Land'],None,Rare,AVR,None,None,None,"{T}: Add {C}.\n{1}{U}{R}, {T}: Draw a card, then discard a card."
Cavern of Souls,0.0,None,None,None,['Land'],None,Rare,AVR,None,None,None,"As Cavern of Souls enters the battlefield, choose a creature type.\n{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered."
Alchemist's Refuge,0.0,None,"['G', 'U']",None,['Land'],None,Rare,AVR,None,None,None,"{T}: Add {C}.\n{G}{U}, {T}: You may cast spells this turn as though they had flash."
Vessel of Endless Rest,3.0,None,None,None,['Artifact'],None,Uncommon,AVR,None,None,None,"When Vessel of Endless Rest enters the battlefield, put target card from a graveyard on the bottom of its owner's library.\n{T}: Add one mana of any color."
Vanguard's Shield,2.0,None,None,None,['Artifact'],['Equipment'],Common,AVR,None,None,None,Equipped creature gets +0/+3 and can block an additional creature each combat.\nEquip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)
Tormentor's Trident,2.0,None,None,None,['Artifact'],['Equipment'],Uncommon,AVR,None,None,None,Equipped creature gets +3/+0 and attacks each combat if able.\nEquip {3}
Ghostform,2.0,['Blue'],['U'],None,['Sorcery'],None,Common,AVR,None,None,None,Up to two target creatures can't be blocked this turn.
Kruin Striker,2.0,['Red'],['R'],None,['Creature'],"['Human', 'Warrior']",Common,AVR,2,1,None,"Whenever another creature enters the battlefield under your control, Kruin Striker gets +1/+0 and gains trample until end of turn."
Moonsilver Spear,4.0,None,None,None,['Artifact'],['Equipment'],Rare,AVR,None,None,None,"Equipped creature has first strike.\nWhenever equipped creature attacks, create a 4/4 white Angel creature token with flying.\nEquip {4}"
Geist Snatch,4.0,['Blue'],['U'],None,['Instant'],None,Common,AVR,None,None,None,Counter target creature spell. Create a 1/1 blue Spirit creature token with flying.
