Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Two-Headed Giant of Foriys,5.0,['Red'],['R'],None,['Creature'],['Giant'],Rare,CED,4,4,None,Trample\nTwo-Headed Giant of Foriys can block an additional creature each combat.
Tunnel,1.0,['Red'],['R'],None,['Instant'],None,Uncommon,CED,None,None,None,Destroy target Wall. It can't be regenerated.
Stone Rain,3.0,['Red'],['R'],None,['Sorcery'],None,Common,CED,None,None,None,Destroy target land.
Stone Giant,4.0,['Red'],['R'],None,['Creature'],['Giant'],Uncommon,CED,3,4,None,{T}: Target creature you control with toughness less than Stone Giant's power gains flying until end of turn. Destroy that creature at the beginning of the next end step.
Smoke,2.0,['Red'],['R'],None,['Enchantment'],None,Rare,CED,None,None,None,Players can't untap more than one creature during their untap steps.
Shivan Dragon,6.0,['Red'],['R'],None,['Creature'],['Dragon'],Rare,CED,5,5,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Shivan Dragon gets +1/+0 until end of turn.
Shatter,2.0,['Red'],['R'],None,['Instant'],None,Common,CED,None,None,None,Destroy target artifact.
Sedge Troll,3.0,['Red'],"['B', 'R']",None,['Creature'],['Troll'],Rare,CED,2,2,None,Sedge Troll gets +1/+1 as long as you control a Swamp.\n{B}: Regenerate Sedge Troll.
Rock Hydra,2.0,['Red'],['R'],None,['Creature'],['Hydra'],Rare,CED,0,0,None,"Rock Hydra enters the battlefield with X +1/+1 counters on it.\nFor each 1 damage that would be dealt to Rock Hydra, if it has a +1/+1 counter on it, remove a +1/+1 counter from it and prevent that 1 damage.\n{R}: Prevent the next 1 damage that would be dealt to Rock Hydra this turn.\n{R}{R}{R}: Put a +1/+1 counter on Rock Hydra. Activate only during your upkeep."
Roc of Kher Ridges,4.0,['Red'],['R'],None,['Creature'],['Bird'],Rare,CED,3,3,None,Flying
Red Elemental Blast,1.0,['Red'],['R'],None,['Instant'],None,Common,CED,None,None,None,Choose one —\n• Counter target blue spell.\n• Destroy target blue permanent.
Raging River,2.0,['Red'],['R'],None,['Enchantment'],None,Rare,CED,None,None,None,"Whenever one or more creatures you control attack, each defending player divides all creatures without flying they control into a ""left"" pile and a ""right"" pile. Then, for each attacking creature you control, choose ""left"" or ""right."" That creature can't be blocked this combat except by creatures with flying and creatures in a pile with the chosen label."
Power Surge,2.0,['Red'],['R'],None,['Enchantment'],None,Rare,CED,None,None,None,"At the beginning of each player's upkeep, Power Surge deals X damage to that player, where X is the number of untapped lands they controlled at the beginning of this turn."
Orcish Oriflamme,4.0,['Red'],['R'],None,['Enchantment'],None,Uncommon,CED,None,None,None,Attacking creatures you control get +1/+0.
Orcish Artillery,3.0,['Red'],['R'],None,['Creature'],"['Orc', 'Warrior']",Uncommon,CED,1,3,None,{T}: Orcish Artillery deals 2 damage to any target and 3 damage to you.
Mons's Goblin Raiders,1.0,['Red'],['R'],None,['Creature'],['Goblin'],Common,CED,1,1,None,None
Manabarbs,4.0,['Red'],['R'],None,['Enchantment'],None,Rare,CED,None,None,None,"Whenever a player taps a land for mana, Manabarbs deals 1 damage to that player."
Mana Flare,3.0,['Red'],['R'],None,['Enchantment'],None,Rare,CED,None,None,None,"Whenever a player taps a land for mana, that player adds one mana of any type that land produced."
Lightning Bolt,1.0,['Red'],['R'],None,['Instant'],None,Common,CED,None,None,None,Lightning Bolt deals 3 damage to any target.
