Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Aerie Mystics,5.0,['White'],"['G', 'U', 'W']",None,['Creature'],"['Bird', 'Wizard']",Uncommon,CMA,3,3,None,Flying\n{1}{G}{U}: Creatures you control gain shroud until end of turn. (They can't be the targets of spells or abilities.)
Angel of Finality,4.0,['White'],['W'],None,['Creature'],['Angel'],Rare,CMA,3,4,None,"Flying\nWhen Angel of Finality enters the battlefield, exile target player's graveyard."
Akroma's Vengeance,6.0,['White'],['W'],None,['Sorcery'],None,Rare,CMA,None,None,None,"Destroy all artifacts, creatures, and enchantments.\nCycling {3} ({3}, Discard this card: Draw a card.)"
Angelic Arbiter,7.0,['White'],['W'],None,['Creature'],['Angel'],Rare,CMA,5,6,None,Flying\nEach opponent who cast a spell this turn can't attack with creatures.\nEach opponent who attacked with a creature this turn can't cast spells.
Opal Palace,0.0,None,None,None,['Land'],None,Common,CMA,None,None,None,"{T}: Add {C}.\n{1}, {T}: Add one mana of any color in your commander's color identity. If you spend this mana to cast your commander, it enters the battlefield with a number of additional +1/+1 counters on it equal to the number of times it's been cast from the command zone this game."
"Oran-Rief, the Vastwood",0.0,None,['G'],None,['Land'],None,Rare,CMA,None,None,None,"Oran-Rief, the Vastwood enters the battlefield tapped.\n{T}: Add {G}.\n{T}: Put a +1/+1 counter on each green creature that entered the battlefield this turn."
Orzhov Basilica,0.0,None,"['B', 'W']",None,['Land'],None,Common,CMA,None,None,None,"Orzhov Basilica enters the battlefield tapped.\nWhen Orzhov Basilica enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {W}{B}."
Polluted Mire,0.0,None,['B'],None,['Land'],None,Common,CMA,None,None,None,"Polluted Mire enters the battlefield tapped.\n{T}: Add {B}.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Rakdos Carnarium,0.0,None,"['B', 'R']",None,['Land'],None,Common,CMA,None,None,None,"Rakdos Carnarium enters the battlefield tapped.\nWhen Rakdos Carnarium enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {B}{R}."
Rupture Spire,0.0,None,None,None,['Land'],None,Common,CMA,None,None,None,"Rupture Spire enters the battlefield tapped.\nWhen Rupture Spire enters the battlefield, sacrifice it unless you pay {1}.\n{T}: Add one mana of any color."
