Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Brainstorm,1.0,['Blue'],['U'],None,['Instant'],None,Common,DDJ,None,None,None,"Draw three cards, then put two cards from your hand on top of your library in any order."
Djinn Illuminatus,7.0,"['Red', 'Blue']","['R', 'U']",None,['Creature'],['Djinn'],Rare,DDJ,3,5,None,"({U/R} can be paid with either {U} or {R}.)\nFlying\nEach instant and sorcery spell you cast has replicate. The replicate cost is equal to its mana cost. (When you cast it, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)"
Izzet Chronarch,5.0,"['Red', 'Blue']","['R', 'U']",None,['Creature'],"['Human', 'Wizard']",Common,DDJ,2,2,None,"When Izzet Chronarch enters the battlefield, return target instant or sorcery card from your graveyard to your hand."
Galvanoth,5.0,['Red'],['R'],None,['Creature'],['Beast'],Rare,DDJ,3,3,None,"At the beginning of your upkeep, you may look at the top card of your library. You may cast it without paying its mana cost if it's an instant or sorcery spell."
Wee Dragonauts,3.0,"['Red', 'Blue']","['R', 'U']",None,['Creature'],"['Faerie', 'Wizard']",Common,DDJ,1,3,None,"Flying\nWhenever you cast an instant or sorcery spell, Wee Dragonauts gets +2/+0 until end of turn."
Ogre Savant,5.0,['Red'],"['R', 'U']",None,['Creature'],"['Ogre', 'Wizard']",Common,DDJ,3,2,None,"When Ogre Savant enters the battlefield, if {U} was spent to cast it, return target creature to its owner's hand."
Shrewd Hatchling,4.0,"['Red', 'Blue']","['R', 'U']",None,['Creature'],['Elemental'],Uncommon,DDJ,6,6,None,"Shrewd Hatchling enters the battlefield with four -1/-1 counters on it.\n{U/R}: Target creature can't block Shrewd Hatchling this turn.\nWhenever you cast a blue spell, remove a -1/-1 counter from Shrewd Hatchling.\nWhenever you cast a red spell, remove a -1/-1 counter from Shrewd Hatchling."
Steamcore Weird,4.0,['Blue'],"['R', 'U']",None,['Creature'],['Weird'],Common,DDJ,1,3,None,"When Steamcore Weird enters the battlefield, if {R} was spent to cast it, it deals 2 damage to any target."
Kiln Fiend,2.0,['Red'],['R'],None,['Creature'],"['Elemental', 'Beast']",Common,DDJ,1,2,None,"Whenever you cast an instant or sorcery spell, Kiln Fiend gets +3/+0 until end of turn."
"Niv-Mizzet, the Firemind",6.0,"['Red', 'Blue']","['R', 'U']",['Legendary'],['Creature'],"['Dragon', 'Wizard']",Mythic,DDJ,4,4,None,"Flying\nWhenever you draw a card, Niv-Mizzet, the Firemind deals 1 damage to any target.\n{T}: Draw a card."
Gelectrode,3.0,"['Red', 'Blue']","['R', 'U']",None,['Creature'],['Weird'],Uncommon,DDJ,0,1,None,"{T}: Gelectrode deals 1 damage to any target.\nWhenever you cast an instant or sorcery spell, you may untap Gelectrode."
Izzet Guildmage,2.0,"['Red', 'Blue']","['R', 'U']",None,['Creature'],"['Human', 'Wizard']",Uncommon,DDJ,2,2,None,({U/R} can be paid with either {U} or {R}.)\n{2}{U}: Copy target instant spell you control with mana value 2 or less. You may choose new targets for the copy.\n{2}{R}: Copy target sorcery spell you control with mana value 2 or less. You may choose new targets for the copy.
Goblin Electromancer,2.0,"['Red', 'Blue']","['R', 'U']",None,['Creature'],"['Goblin', 'Wizard']",Common,DDJ,2,2,None,Instant and sorcery spells you cast cost {1} less to cast.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,DDJ,None,None,None,({T}: Add {G}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DDJ,None,None,None,({T}: Add {B}.)
Tranquil Thicket,0.0,None,['G'],None,['Land'],None,Common,DDJ,None,None,None,"Tranquil Thicket enters the battlefield tapped.\n{T}: Add {G}.\nCycling {G} ({G}, Discard this card: Draw a card.)"
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DDJ,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DDJ,None,None,None,({T}: Add {B}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,DDJ,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,DDJ,None,None,None,({T}: Add {G}.)
"Svogthos, the Restless Tomb",0.0,None,"['B', 'G']",None,['Land'],None,Uncommon,DDJ,None,None,None,"{T}: Add {C}.\n{3}{B}{G}: Until end of turn, Svogthos, the Restless Tomb becomes a black and green Plant Zombie creature with ""This creature's power and toughness are each equal to the number of creature cards in your graveyard."" It's still a land."
Life // Death,3.0,['Green'],"['B', 'G']",None,['Sorcery'],None,Uncommon,DDJ,None,None,None,All lands you control become 1/1 creatures until end of turn. They're still lands.
Twilight's Call,6.0,['Black'],['B'],None,['Sorcery'],None,Rare,DDJ,None,None,None,You may cast Twilight's Call as though it had flash if you pay {2} more to cast it. (You may cast it any time you could cast an instant.)\nEach player returns all creature cards from their graveyard to the battlefield.
Barren Moor,0.0,None,['B'],None,['Land'],None,Common,DDJ,None,None,None,"Barren Moor enters the battlefield tapped.\n{T}: Add {B}.\nCycling {B} ({B}, Discard this card: Draw a card.)"
Grim Flowering,6.0,['Green'],['G'],None,['Sorcery'],None,Uncommon,DDJ,None,None,None,Draw a card for each creature card in your graveyard.
Vigor Mortis,4.0,['Black'],"['B', 'G']",None,['Sorcery'],None,Uncommon,DDJ,None,None,None,"Return target creature card from your graveyard to the battlefield. If {G} was spent to cast this spell, that creature enters the battlefield with an additional +1/+1 counter on it."
Shambling Shell,3.0,"['Black', 'Green']","['B', 'G']",None,['Creature'],"['Plant', 'Zombie']",Common,DDJ,3,1,None,"Sacrifice Shambling Shell: Put a +1/+1 counter on target creature.\nDredge 3 (If you would draw a card, you may mill three cards instead. If you do, return this card from your graveyard to your hand.)"
Dreg Mangler,3.0,"['Black', 'Green']","['B', 'G']",None,['Creature'],"['Plant', 'Zombie']",Uncommon,DDJ,3,3,None,"Haste\nScavenge {3}{B}{G} ({3}{B}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)"
Nightmare Void,4.0,['Black'],['B'],None,['Sorcery'],None,Uncommon,DDJ,None,None,None,"Target player reveals their hand. You choose a card from it. That player discards that card.\nDredge 2 (If you would draw a card, you may mill two cards instead. If you do, return this card from your graveyard to your hand.)"
Eternal Witness,3.0,['Green'],['G'],None,['Creature'],"['Human', 'Shaman']",Uncommon,DDJ,2,1,None,"When Eternal Witness enters the battlefield, you may return target card from your graveyard to your hand."
