Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Falkenrath Aristocrat,4.0,"['Black', 'Red']","['B', 'R']",None,['Creature'],"['Vampire', 'Noble']",Mythic,DKA,4,1,None,"Flying, haste\nSacrifice a creature: Falkenrath Aristocrat gains indestructible until end of turn. If the sacrificed creature was a Human, put a +1/+1 counter on Falkenrath Aristocrat."
Flayer of the Hatebound,6.0,['Red'],['R'],None,['Creature'],['Devil'],Rare,DKA,4,2,None,"Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)\nWhenever Flayer of the Hatebound or another creature enters the battlefield from your graveyard, that creature deals damage equal to its power to any target."
Fires of Undeath,3.0,['Red'],"['B', 'R']",None,['Instant'],None,Common,DKA,None,None,None,Fires of Undeath deals 2 damage to any target.\nFlashback {5}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Faithless Looting,1.0,['Red'],['R'],None,['Sorcery'],None,Common,DKA,None,None,None,"Draw two cards, then discard two cards.\nFlashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Erdwal Ripper,3.0,['Red'],['R'],None,['Creature'],['Vampire'],Common,DKA,2,1,None,"Haste\nWhenever Erdwal Ripper deals combat damage to a player, put a +1/+1 counter on it."
Curse of Bloodletting,5.0,['Red'],['R'],None,['Enchantment'],"['Aura', 'Curse']",Rare,DKA,None,None,None,"Enchant player\nIf a source would deal damage to enchanted player, it deals double that damage to that player instead."
Burning Oil,2.0,['Red'],"['R', 'W']",None,['Instant'],None,Uncommon,DKA,None,None,None,Burning Oil deals 3 damage to target attacking or blocking creature.\nFlashback {3}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Blood Feud,6.0,['Red'],['R'],None,['Sorcery'],None,Uncommon,DKA,None,None,None,Target creature fights another target creature. (Each deals damage equal to its power to the other.)
Thought Scour,1.0,['Blue'],['U'],None,['Instant'],None,Common,DKA,None,None,None,Target player mills two cards.\nDraw a card.
Alpha Brawl,8.0,['Red'],['R'],None,['Sorcery'],None,Rare,DKA,None,None,None,"Target creature an opponent controls deals damage equal to its power to each other creature that player controls, then each of those creatures deals damage equal to its power to that creature."
Russet Wolves,4.0,['Red'],['R'],None,['Creature'],['Wolf'],Common,DKA,3,3,None,None
Stormbound Geist,3.0,['Blue'],['U'],None,['Creature'],['Spirit'],Common,DKA,2,2,None,"Flying\nStormbound Geist can block only creatures with flying.\nUndying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)"
Immerwolf,3.0,"['Green', 'Red']","['G', 'R']",None,['Creature'],['Wolf'],Uncommon,DKA,2,2,None,Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)\nEach other creature you control that's a Wolf or a Werewolf gets +1/+1.\nNon-Human Werewolves you control can't transform.
Afflicted Deserter // Werewolf Ransacker,4.0,['Red'],['R'],None,['Creature'],"['Human', 'Werewolf']",Uncommon,DKA,3,2,None,"At the beginning of each upkeep, if no spells were cast last turn, transform Afflicted Deserter."
Huntmaster of the Fells // Ravager of the Fells,4.0,"['Green', 'Red']","['G', 'R']",None,['Creature'],"['Human', 'Werewolf']",Mythic,DKA,2,2,None,"Whenever this creature enters the battlefield or transforms into Huntmaster of the Fells, create a 2/2 green Wolf creature token and you gain 2 life.\nAt the beginning of each upkeep, if no spells were cast last turn, transform Huntmaster of the Fells."
Soul Seizer // Ghastly Haunting,5.0,['Blue'],['U'],None,['Creature'],['Spirit'],Uncommon,DKA,1,3,None,"Flying\nWhen Soul Seizer deals combat damage to a player, you may transform it. If you do, attach it to target creature that player controls."
Zombie Apocalypse,6.0,['Black'],['B'],None,['Sorcery'],None,Rare,DKA,None,None,None,"Return all Zombie creature cards from your graveyard to the battlefield tapped, then destroy all Humans."
Shriekgeist,2.0,['Blue'],['U'],None,['Creature'],['Spirit'],Common,DKA,1,1,None,"Flying\nWhenever Shriekgeist deals combat damage to a player, that player mills two cards."
