Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Goblin Charbelcher,4.0,None,None,None,['Artifact'],None,Rare,EMA,None,None,None,"{3}, {T}: Reveal cards from the top of your library until you reveal a land card. Goblin Charbelcher deals damage equal to the number of nonland cards revealed this way to any target. If the revealed land card was a Mountain, Goblin Charbelcher deals double that damage instead. Put the revealed cards on the bottom of your library in any order."
Goblin Trenches,3.0,"['Red', 'White']","['R', 'W']",None,['Enchantment'],None,Rare,EMA,None,None,None,"{2}, Sacrifice a land: Create two 1/1 red and white Goblin Soldier creature tokens."
Vindicate,3.0,"['Black', 'White']","['B', 'W']",None,['Sorcery'],None,Rare,EMA,None,None,None,Destroy target permanent.
Sphinx of the Steel Wind,8.0,"['Black', 'Blue', 'White']","['B', 'U', 'W']",None,"['Artifact', 'Creature']",['Sphinx'],Mythic,EMA,6,6,None,"Flying, first strike, vigilance, lifelink, protection from red and from green"
Flame-Kin Zealot,4.0,"['Red', 'White']","['R', 'W']",None,['Creature'],"['Elemental', 'Berserker']",Uncommon,EMA,2,2,None,"When Flame-Kin Zealot enters the battlefield, creatures you control get +1/+1 and gain haste until end of turn."
Pyrokinesis,6.0,['Red'],['R'],None,['Instant'],None,Rare,EMA,None,None,None,You may exile a red card from your hand rather than pay this spell's mana cost.\nPyrokinesis deals 4 damage divided as you choose among any number of target creatures.
Shardless Agent,3.0,"['Green', 'Blue']","['G', 'U']",None,"['Artifact', 'Creature']","['Human', 'Rogue']",Rare,EMA,2,2,None,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)"
Shaman of the Pack,3.0,"['Black', 'Green']","['B', 'G']",None,['Creature'],"['Elf', 'Shaman']",Uncommon,EMA,3,2,None,"When Shaman of the Pack enters the battlefield, target opponent loses life equal to the number of Elves you control."
Call the Skybreaker,7.0,"['Red', 'Blue']","['R', 'U']",None,['Sorcery'],None,Rare,EMA,None,None,None,Create a 5/5 blue and red Elemental creature token with flying.\nRetrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)
Maelstrom Wanderer,8.0,"['Green', 'Red', 'Blue']","['G', 'R', 'U']",['Legendary'],['Creature'],['Elemental'],Mythic,EMA,7,5,None,"Creatures you control have haste.\nCascade, cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order. Then do it again.)"
Extract from Darkness,5.0,"['Black', 'Blue']","['B', 'U']",None,['Sorcery'],None,Uncommon,EMA,None,None,None,Each player mills two cards. Then you put a creature card from a graveyard onto the battlefield under your control.
Dack Fayden,3.0,"['Red', 'Blue']","['R', 'U']",['Legendary'],['Planeswalker'],['Dack'],Mythic,EMA,None,None,3,"[+1]: Target player draws two cards, then discards two cards.\n[−2]: Gain control of target artifact.\n[−6]: You get an emblem with ""Whenever you cast a spell that targets one or more permanents, gain control of those permanents."""
"Brago, King Eternal",4.0,"['Blue', 'White']","['U', 'W']",['Legendary'],['Creature'],"['Spirit', 'Noble']",Rare,EMA,2,4,None,"Flying\nWhenever Brago, King Eternal deals combat damage to a player, exile any number of target nonland permanents you control, then return those cards to the battlefield under their owner's control."
Bloodbraid Elf,4.0,"['Green', 'Red']","['G', 'R']",None,['Creature'],"['Elf', 'Berserker']",Uncommon,EMA,3,2,None,"Haste\nCascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)"
Giant Solifuge,4.0,"['Green', 'Red']","['G', 'R']",None,['Creature'],['Insect'],Rare,EMA,4,1,None,({R/G} can be paid with either {R} or {G}.)\nTrample; haste; shroud (This creature can't be the target of spells or abilities.)
Baleful Strix,2.0,"['Black', 'Blue']","['B', 'U']",None,"['Artifact', 'Creature']",['Bird'],Rare,EMA,1,1,None,"Flying, deathtouch\nWhen Baleful Strix enters the battlefield, draw a card."
Armadillo Cloak,3.0,"['Green', 'White']","['G', 'W']",None,['Enchantment'],['Aura'],Uncommon,EMA,None,None,None,"Enchant creature\nEnchanted creature gets +2/+2 and has trample.\nWhenever enchanted creature deals damage, you gain that much life."
Yavimaya Enchantress,3.0,['Green'],['G'],None,['Creature'],"['Human', 'Druid']",Common,EMA,2,2,None,Yavimaya Enchantress gets +1/+1 for each enchantment on the battlefield.
Wee Dragonauts,3.0,"['Red', 'Blue']","['R', 'U']",None,['Creature'],"['Faerie', 'Wizard']",Uncommon,EMA,1,3,None,"Flying\nWhenever you cast an instant or sorcery spell, Wee Dragonauts gets +2/+0 until end of turn."
Xantid Swarm,1.0,['Green'],['G'],None,['Creature'],['Insect'],Rare,EMA,0,1,None,"Flying\nWhenever Xantid Swarm attacks, defending player can't cast spells this turn."
Wirewood Symbiote,1.0,['Green'],['G'],None,['Creature'],['Insect'],Uncommon,EMA,1,1,None,Return an Elf you control to its owner's hand: Untap target creature. Activate only once each turn.
Werebear,2.0,['Green'],['G'],None,['Creature'],"['Human', 'Bear', 'Druid']",Common,EMA,1,1,None,{T}: Add {G}.\nThreshold — Werebear gets +3/+3 as long as seven or more cards are in your graveyard.
Timberwatch Elf,3.0,['Green'],['G'],None,['Creature'],['Elf'],Uncommon,EMA,1,2,None,"{T}: Target creature gets +X/+X until end of turn, where X is the number of Elves on the battlefield."
Thornweald Archer,2.0,['Green'],['G'],None,['Creature'],"['Elf', 'Archer']",Common,EMA,2,1,None,"Reach, deathtouch"
Sylvan Might,2.0,['Green'],['G'],None,['Instant'],None,Common,EMA,None,None,None,Target creature gets +2/+2 and gains trample until end of turn.\nFlashback {2}{G}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Sylvan Library,2.0,['Green'],['G'],None,['Enchantment'],None,Rare,EMA,None,None,None,"At the beginning of your draw step, you may draw two additional cards. If you do, choose two cards in your hand drawn this turn. For each of those cards, pay 4 life or put the card on top of your library."
"Braids, Cabal Minion",4.0,['Black'],['B'],['Legendary'],['Creature'],"['Human', 'Minion']",Rare,EMA,2,2,None,"At the beginning of each player's upkeep, that player sacrifices an artifact, creature, or land."
"Silvos, Rogue Elemental",6.0,['Green'],['G'],['Legendary'],['Creature'],['Elemental'],Rare,EMA,8,5,None,"Trample\n{G}: Regenerate Silvos, Rogue Elemental."
Wind-Scarred Crag,0.0,None,"['R', 'W']",None,['Land'],None,Common,EMA,None,None,None,"Wind-Scarred Crag enters the battlefield tapped.\nWhen Wind-Scarred Crag enters the battlefield, you gain 1 life.\n{T}: Add {R} or {W}."
Blood Artist,2.0,['Black'],['B'],None,['Creature'],['Vampire'],Uncommon,EMA,0,1,None,"Whenever Blood Artist or another creature dies, target player loses 1 life and you gain 1 life."
Sentinel Spider,5.0,['Green'],['G'],None,['Creature'],['Spider'],Common,EMA,4,4,None,"Vigilance, reach"
Wasteland,0.0,None,None,None,['Land'],None,Rare,EMA,None,None,None,"{T}: Add {C}.\n{T}, Sacrifice Wasteland: Destroy target nonbasic land."
Blightsoil Druid,2.0,['Black'],"['B', 'G']",None,['Creature'],"['Elf', 'Druid']",Common,EMA,1,2,None,"{T}, Pay 1 life: Add {G}."
Seal of Strength,1.0,['Green'],['G'],None,['Enchantment'],None,Common,EMA,None,None,None,Sacrifice Seal of Strength: Target creature gets +3/+3 until end of turn.
Tranquil Cove,0.0,None,"['U', 'W']",None,['Land'],None,Common,EMA,None,None,None,"Tranquil Cove enters the battlefield tapped.\nWhen Tranquil Cove enters the battlefield, you gain 1 life.\n{T}: Add {W} or {U}."
Annihilate,5.0,['Black'],['B'],None,['Instant'],None,Uncommon,EMA,None,None,None,Destroy target nonblack creature. It can't be regenerated.\nDraw a card.
Roots,4.0,['Green'],['G'],None,['Enchantment'],['Aura'],Common,EMA,None,None,None,"Enchant creature without flying\nWhen Roots enters the battlefield, tap enchanted creature.\nEnchanted creature doesn't untap during its controller's untap step."
Thornwood Falls,0.0,None,"['G', 'U']",None,['Land'],None,Common,EMA,None,None,None,"Thornwood Falls enters the battlefield tapped.\nWhen Thornwood Falls enters the battlefield, you gain 1 life.\n{T}: Add {G} or {U}."
Animate Dead,2.0,['Black'],['B'],None,['Enchantment'],['Aura'],Uncommon,EMA,None,None,None,"Enchant creature card in a graveyard\nWhen Animate Dead enters the battlefield, if it's on the battlefield, it loses ""enchant creature card in a graveyard"" and gains ""enchant creature put onto the battlefield with Animate Dead."" Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.\nEnchanted creature gets -1/-0."
Roar of the Wurm,7.0,['Green'],['G'],None,['Sorcery'],None,Uncommon,EMA,None,None,None,Create a 6/6 green Wurm creature token.\nFlashback {3}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Swiftwater Cliffs,0.0,None,"['R', 'U']",None,['Land'],None,Common,EMA,None,None,None,"Swiftwater Cliffs enters the battlefield tapped.\nWhen Swiftwater Cliffs enters the battlefield, you gain 1 life.\n{T}: Add {U} or {R}."
Wonder,4.0,['Blue'],['U'],None,['Creature'],['Incarnation'],Uncommon,EMA,2,2,None,"Flying\nAs long as Wonder is in your graveyard and you control an Island, creatures you control have flying."
Warden of Evos Isle,3.0,['Blue'],['U'],None,['Creature'],"['Bird', 'Wizard']",Common,EMA,2,2,None,Flying\nCreature spells with flying you cast cost {1} less to cast.
Deathrite Shaman,1.0,"['Black', 'Green']","['B', 'G']",None,['Creature'],"['Elf', 'Shaman']",Rare,EMA,1,2,None,"{T}: Exile target land card from a graveyard. Add one mana of any color.\n{B}, {T}: Exile target instant or sorcery card from a graveyard. Each opponent loses 2 life.\n{G}, {T}: Exile target creature card from a graveyard. You gain 2 life."
Scoured Barrens,0.0,None,"['B', 'W']",None,['Land'],None,Common,EMA,None,None,None,"Scoured Barrens enters the battlefield tapped.\nWhen Scoured Barrens enters the battlefield, you gain 1 life.\n{T}: Add {W} or {B}."
Tidal Wave,3.0,['Blue'],['U'],None,['Instant'],None,Common,EMA,None,None,None,Create a 5/5 blue Wall creature token with defender. Sacrifice it at the beginning of the next end step.
Regal Force,7.0,['Green'],['G'],None,['Creature'],['Elemental'],Rare,EMA,5,5,None,"When Regal Force enters the battlefield, draw a card for each green creature you control."
Rugged Highlands,0.0,None,"['G', 'R']",None,['Land'],None,Common,EMA,None,None,None,"Rugged Highlands enters the battlefield tapped.\nWhen Rugged Highlands enters the battlefield, you gain 1 life.\n{T}: Add {R} or {G}."
Stupefying Touch,2.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Common,EMA,None,None,None,"Enchant creature\nWhen Stupefying Touch enters the battlefield, draw a card.\nEnchanted creature's activated abilities can't be activated."
Void,5.0,"['Black', 'Red']","['B', 'R']",None,['Sorcery'],None,Rare,EMA,None,None,None,Choose a number. Destroy all artifacts and creatures with mana value equal to that number. Then target player reveals their hand and discards all nonland cards with mana value equal to the number.
Mishra's Factory,0.0,None,None,None,['Land'],None,Uncommon,EMA,None,None,None,{T}: Add {C}.\n{1}: Mishra's Factory becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land.\n{T}: Target Assembly-Worker creature gets +1/+1 until end of turn.
Sprite Noble,3.0,['Blue'],['U'],None,['Creature'],"['Faerie', 'Noble']",Uncommon,EMA,2,2,None,Flying\nOther creatures you control with flying get +0/+1.\n{T}: Other creatures you control with flying get +1/+0 until end of turn.
Zealous Persecution,2.0,"['Black', 'White']","['B', 'W']",None,['Instant'],None,Uncommon,EMA,None,None,None,"Until end of turn, creatures you control get +1/+1 and creatures your opponents control get -1/-1."
Maze of Ith,0.0,None,None,None,['Land'],None,Rare,EMA,None,None,None,{T}: Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.
Rancor,1.0,['Green'],['G'],None,['Enchantment'],['Aura'],Uncommon,EMA,None,None,None,"Enchant creature\nEnchanted creature gets +2/+0 and has trample.\nWhen Rancor is put into a graveyard from the battlefield, return Rancor to its owner's hand."
Karakas,0.0,None,['W'],['Legendary'],['Land'],None,Mythic,EMA,None,None,None,{T}: Add {W}.\n{T}: Return target legendary creature to its owner's hand.
Silent Departure,1.0,['Blue'],['U'],None,['Sorcery'],None,Common,EMA,None,None,None,Return target creature to its owner's hand.\nFlashback {4}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Nimble Mongoose,1.0,['Green'],['G'],None,['Creature'],['Mongoose'],Common,EMA,1,1,None,Shroud (This creature can't be the target of spells or abilities.)\nThreshold — Nimble Mongoose gets +2/+2 as long as seven or more cards are in your graveyard.
Jungle Hollow,0.0,None,"['B', 'G']",None,['Land'],None,Common,EMA,None,None,None,"Jungle Hollow enters the battlefield tapped.\nWhen Jungle Hollow enters the battlefield, you gain 1 life.\n{T}: Add {B} or {G}."
