Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Spike Feeder,3.0,['Green'],['G'],None,['Creature'],['Spike'],Rare,F02,0,0,None,"Spike Feeder enters the battlefield with two +1/+1 counters on it.\n{2}, Remove a +1/+1 counter from Spike Feeder: Put a +1/+1 counter on target creature.\nRemove a +1/+1 counter from Spike Feeder: You gain 2 life."
Albino Troll,2.0,['Green'],['G'],None,['Creature'],['Troll'],Rare,F02,3,3,None,"Echo {1}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\n{1}{G}: Regenerate Albino Troll."
Drain Life,2.0,['Black'],['B'],None,['Sorcery'],None,Rare,F02,None,None,None,"Spend only black mana on X.\nDrain Life deals X damage to any target. You gain life equal to the damage dealt, but not more life than the player's life total before the damage was dealt, the planeswalker's loyalty before the damage was dealt, or the creature's toughness."
Mogg Fanatic,1.0,['Red'],['R'],None,['Creature'],['Goblin'],Rare,F02,1,1,None,Sacrifice Mogg Fanatic: It deals 1 damage to any target.
Wall of Blossoms,2.0,['Green'],['G'],None,['Creature'],"['Plant', 'Wall']",Rare,F02,0,4,None,"Defender\nWhen Wall of Blossoms enters the battlefield, draw a card."
Aura of Silence,3.0,['White'],['W'],None,['Enchantment'],None,Rare,F02,None,None,None,Artifact and enchantment spells your opponents cast cost {2} more to cast.\nSacrifice Aura of Silence: Destroy target artifact or enchantment.
Forbid,3.0,['Blue'],['U'],None,['Instant'],None,Rare,F02,None,None,None,"Buyback—Discard two cards. (You may discard two cards in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)\nCounter target spell."
Fireslinger,2.0,['Red'],['R'],None,['Creature'],"['Human', 'Wizard']",Rare,F02,1,1,None,{T}: Fireslinger deals 1 damage to any target and 1 damage to you.
Black Knight,2.0,['Black'],['B'],None,['Creature'],"['Human', 'Knight']",Rare,F02,2,2,None,"First strike (This creature deals combat damage before creatures without first strike.)\nProtection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)"
Dissipate,3.0,['Blue'],['U'],None,['Instant'],None,Rare,F02,None,None,None,"Counter target spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard."
White Knight,2.0,['White'],['W'],None,['Creature'],"['Human', 'Knight']",Rare,F02,2,2,None,"First strike (This creature deals combat damage before creatures without first strike.)\nProtection from black (This creature can't be blocked, targeted, dealt damage, or enchanted by anything black.)"
Soltari Priest,2.0,['White'],['W'],None,['Creature'],"['Soltari', 'Cleric']",Rare,F02,2,1,None,Protection from red\nShadow (This creature can block or be blocked by only creatures with shadow.)
