Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Electrostatic Field,2.0,['Red'],['R'],None,['Creature'],['Wall'],Uncommon,GRN,0,4,None,"Defender\nWhenever you cast an instant or sorcery spell, Electrostatic Field deals 1 damage to each opponent."
Command the Storm,5.0,['Red'],['R'],None,['Instant'],None,Common,GRN,None,None,None,Command the Storm deals 5 damage to target creature.
Book Devourer,6.0,['Red'],['R'],None,['Creature'],['Beast'],Uncommon,GRN,4,5,None,"Trample\nWhenever Book Devourer deals combat damage to a player, you may discard all the cards in your hand. If you do, draw that many cards."
Direct Current,3.0,['Red'],['R'],None,['Sorcery'],None,Common,GRN,None,None,None,Direct Current deals 2 damage to any target.\nJump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)
Cosmotronic Wave,4.0,['Red'],['R'],None,['Sorcery'],None,Common,GRN,None,None,None,Cosmotronic Wave deals 1 damage to each creature your opponents control. Creatures your opponents control can't block this turn.
"Vraska, Regal Gorgon",7.0,"['Black', 'Green']","['B', 'G']",['Legendary'],['Planeswalker'],['Vraska'],Mythic,GRN,None,None,5,"[+2]: Put a +1/+1 counter on up to one target creature. That creature gains menace until end of turn.\n[−3]: Destroy target creature.\n[−10]: For each creature card in your graveyard, put a +1/+1 counter on each creature you control."
Barging Sergeant,5.0,['Red'],['R'],None,['Creature'],"['Minotaur', 'Soldier']",Common,GRN,4,2,None,"Haste\nMentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)"
Arclight Phoenix,4.0,['Red'],['R'],None,['Creature'],['Phoenix'],Mythic,GRN,3,2,None,"Flying, haste\nAt the beginning of combat on your turn, if you've cast three or more instant and sorcery spells this turn, return Arclight Phoenix from your graveyard to the battlefield."
Whispering Snitch,2.0,['Black'],['B'],None,['Creature'],"['Vampire', 'Rogue']",Uncommon,GRN,1,3,None,"Whenever you surveil for the first time each turn, Whispering Snitch deals 1 damage to each opponent and you gain 1 life."
Vicious Rumors,1.0,['Black'],['B'],None,['Sorcery'],None,Common,GRN,None,None,None,"Vicious Rumors deals 1 damage to each opponent. Each opponent discards a card, then mills a card. You gain 1 life."
Veiled Shade,3.0,['Black'],['B'],None,['Creature'],['Shade'],Common,GRN,2,2,None,{1}{B}: Veiled Shade gets +1/+1 until end of turn.
