Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
One Thousand Lashes,4.0,"['Black', 'White']","['B', 'W']",None,['Enchantment'],['Aura'],Uncommon,GTC,None,None,None,"Enchant creature\nEnchanted creature can't attack or block, and its activated abilities can't be activated.\nAt the beginning of the upkeep of enchanted creature's controller, that player loses 1 life."
"Obzedat, Ghost Council",5.0,"['Black', 'White']","['B', 'W']",['Legendary'],['Creature'],"['Spirit', 'Advisor']",Mythic,GTC,5,5,None,"When Obzedat, Ghost Council enters the battlefield, target opponent loses 2 life and you gain 2 life.\nAt the beginning of your end step, you may exile Obzedat. If you do, return it to the battlefield under its owner's control at the beginning of your next upkeep. It gains haste."
Nimbus Swimmer,2.0,"['Green', 'Blue']","['G', 'U']",None,['Creature'],['Leviathan'],Uncommon,GTC,0,0,None,Flying\nNimbus Swimmer enters the battlefield with X +1/+1 counters on it.
Mystic Genesis,5.0,"['Green', 'Blue']","['G', 'U']",None,['Instant'],None,Rare,GTC,None,None,None,"Counter target spell. Create an X/X green Ooze creature token, where X is that spell's mana value."
Mortus Strider,3.0,"['Black', 'Blue']","['B', 'U']",None,['Creature'],['Skeleton'],Common,GTC,1,1,None,"When Mortus Strider dies, return it to its owner's hand."
Mind Grind,2.0,"['Black', 'Blue']","['B', 'U']",None,['Sorcery'],None,Rare,GTC,None,None,None,"Each opponent reveals cards from the top of their library until they reveal X land cards, then puts all cards revealed this way into their graveyard. X can't be 0."
Merciless Eviction,6.0,"['Black', 'White']","['B', 'W']",None,['Sorcery'],None,Rare,GTC,None,None,None,Choose one —\n• Exile all artifacts.\n• Exile all creatures.\n• Exile all enchantments.\n• Exile all planeswalkers.
Master Biomancer,4.0,"['Green', 'Blue']","['G', 'U']",None,['Creature'],"['Elf', 'Wizard']",Mythic,GTC,2,4,None,Each other creature you control enters the battlefield with a number of additional +1/+1 counters on it equal to Master Biomancer's power and as a Mutant in addition to its other types.
Martial Glory,2.0,"['Red', 'White']","['R', 'W']",None,['Instant'],None,Common,GTC,None,None,None,Target creature gets +3/+0 until end of turn.\nTarget creature gets +0/+3 until end of turn.
"Lazav, Dimir Mastermind",4.0,"['Black', 'Blue']","['B', 'U']",['Legendary'],['Creature'],['Shapeshifter'],Mythic,GTC,3,3,None,"Hexproof\nWhenever a creature card is put into an opponent's graveyard from anywhere, you may have Lazav, Dimir Mastermind become a copy of that card, except its name is Lazav, Dimir Mastermind, it's legendary in addition to its other types, and it has hexproof and this ability."
Kingpin's Pet,3.0,"['Black', 'White']","['B', 'W']",None,['Creature'],['Thrull'],Common,GTC,2,2,None,"Flying\nExtort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)"
Hydroform,2.0,"['Green', 'Blue']","['G', 'U']",None,['Instant'],None,Common,GTC,None,None,None,Target land becomes a 3/3 Elemental creature with flying until end of turn. It's still a land.
High Priest of Penance,2.0,"['Black', 'White']","['B', 'W']",None,['Creature'],"['Human', 'Cleric']",Rare,GTC,1,1,None,"Whenever High Priest of Penance is dealt damage, you may destroy target nonland permanent."
Gruul Ragebeast,7.0,"['Green', 'Red']","['G', 'R']",None,['Creature'],['Beast'],Rare,GTC,6,6,None,"Whenever Gruul Ragebeast or another creature enters the battlefield under your control, that creature fights target creature an opponent controls."
Gruul Charm,2.0,"['Green', 'Red']","['G', 'R']",None,['Instant'],None,Uncommon,GTC,None,None,None,Choose one —\n• Creatures without flying can't block this turn.\n• Gain control of all permanents you own.\n• Gruul Charm deals 3 damage to each creature with flying.
Ground Assault,2.0,"['Green', 'Red']","['G', 'R']",None,['Sorcery'],None,Uncommon,GTC,None,None,None,Ground Assault deals damage to target creature equal to the number of lands you control.
Ghor-Clan Rampager,4.0,"['Green', 'Red']","['G', 'R']",None,['Creature'],['Beast'],Uncommon,GTC,4,4,None,"Trample\nBloodrush — {R}{G}, Discard Ghor-Clan Rampager: Target attacking creature gets +4/+4 and gains trample until end of turn."
Frenzied Tilling,5.0,"['Green', 'Red']","['G', 'R']",None,['Sorcery'],None,Uncommon,GTC,None,None,None,"Destroy target land. Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Foundry Champion,6.0,"['Red', 'White']","['R', 'W']",None,['Creature'],"['Elemental', 'Soldier']",Rare,GTC,4,4,None,"When Foundry Champion enters the battlefield, it deals damage to any target equal to the number of creatures you control.\n{R}: Foundry Champion gets +1/+0 until end of turn.\n{W}: Foundry Champion gets +0/+1 until end of turn."
Fortress Cyclops,5.0,"['Red', 'White']","['R', 'W']",None,['Creature'],"['Cyclops', 'Soldier']",Uncommon,GTC,3,3,None,"Whenever Fortress Cyclops attacks, it gets +3/+0 until end of turn.\nWhenever Fortress Cyclops blocks, it gets +0/+3 until end of turn."
Firemane Avenger,4.0,"['Red', 'White']","['R', 'W']",None,['Creature'],['Angel'],Rare,GTC,3,3,None,"Flying\nBattalion — Whenever Firemane Avenger and at least two other creatures attack, Firemane Avenger deals 3 damage to any target and you gain 3 life."
Fathom Mage,4.0,"['Green', 'Blue']","['G', 'U']",None,['Creature'],"['Human', 'Wizard']",Rare,GTC,1,1,None,"Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)\nWhenever a +1/+1 counter is put on Fathom Mage, you may draw a card."
Executioner's Swing,2.0,"['Black', 'White']","['B', 'W']",None,['Instant'],None,Common,GTC,None,None,None,Target creature that dealt damage this turn gets -5/-5 until end of turn.
