Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,HOU,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,HOU,None,None,None,({T}: Add {B}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,HOU,None,None,None,({T}: Add {U}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,HOU,None,None,None,({T}: Add {W}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,HOU,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,HOU,None,None,None,({T}: Add {R}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,HOU,None,None,None,({T}: Add {B}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,HOU,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,HOU,None,None,None,({T}: Add {R}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,HOU,None,None,None,({T}: Add {W}.)
Rhonas's Last Stand,2.0,['Green'],['G'],None,['Sorcery'],None,Rare,HOU,None,None,None,Create a 5/4 green Snake creature token. Lands you control don't untap during your next untap step.
Sidewinder Naga,3.0,['Green'],['G'],None,['Creature'],"['Naga', 'Warrior']",Common,HOU,3,2,None,"As long as you control a Desert or there is a Desert card in your graveyard, Sidewinder Naga gets +1/+0 and has trample."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,HOU,None,None,None,({T}: Add {U}.)
Rhonas's Stalwart,2.0,['Green'],['G'],None,['Creature'],"['Human', 'Warrior']",Common,HOU,2,2,None,"You may exert Rhonas's Stalwart as it attacks. When you do, it gets +1/+1 until end of turn and can't be blocked by creatures with power 2 or less this turn. (An exerted creature won't untap during your next untap step.)"
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,HOU,None,None,None,({T}: Add {U}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,HOU,None,None,None,({T}: Add {W}.)
Survivors' Encampment,0.0,None,None,None,['Land'],['Desert'],Common,HOU,None,None,None,"{T}: Add {C}.\n{T}, Tap an untapped creature you control: Add one mana of any color."
Shefet Dunes,0.0,None,['W'],None,['Land'],['Desert'],Uncommon,HOU,None,None,None,"{T}: Add {C}.\n{T}, Pay 1 life: Add {W}.\n{2}{W}{W}, {T}, Sacrifice a Desert: Creatures you control get +1/+1 until end of turn. Activate only as a sorcery."
Scavenger Grounds,0.0,None,None,None,['Land'],['Desert'],Rare,HOU,None,None,None,"{T}: Add {C}.\n{2}, {T}, Sacrifice a Desert: Exile all graveyards."
Ramunap Ruins,0.0,None,['R'],None,['Land'],['Desert'],Uncommon,HOU,None,None,None,"{T}: Add {C}.\n{T}, Pay 1 life: Add {R}.\n{2}{R}{R}, {T}, Sacrifice a Desert: Ramunap Ruins deals 2 damage to each opponent."
Ipnu Rivulet,0.0,None,['U'],None,['Land'],['Desert'],Uncommon,HOU,None,None,None,"{T}: Add {C}.\n{T}, Pay 1 life: Add {U}.\n{1}{U}, {T}, Sacrifice a Desert: Target player mills four cards."
Ifnir Deadlands,0.0,None,['B'],None,['Land'],['Desert'],Uncommon,HOU,None,None,None,"{T}: Add {C}.\n{T}, Pay 1 life: Add {B}.\n{2}{B}{B}, {T}, Sacrifice a Desert: Put two -1/-1 counters on target creature an opponent controls. Activate only as a sorcery."
Hostile Desert,0.0,None,None,None,['Land'],['Desert'],Rare,HOU,None,None,None,"{T}: Add {C}.\n{2}, Exile a land card from your graveyard: Hostile Desert becomes a 3/4 Elemental creature until end of turn. It's still a land."
Hashep Oasis,0.0,None,['G'],None,['Land'],['Desert'],Uncommon,HOU,None,None,None,"{T}: Add {C}.\n{T}, Pay 1 life: Add {G}.\n{1}{G}{G}, {T}, Sacrifice a Desert: Target creature gets +3/+3 until end of turn. Activate only as a sorcery."
Endless Sands,0.0,None,None,None,['Land'],['Desert'],Rare,HOU,None,None,None,"{T}: Add {C}.\n{2}, {T}: Exile target creature you control.\n{4}, {T}, Sacrifice Endless Sands: Return each creature card exiled with Endless Sands to the battlefield under its owner's control."
Dunes of the Dead,0.0,None,None,None,['Land'],['Desert'],Uncommon,HOU,None,None,None,"{T}: Add {C}.\nWhen Dunes of the Dead is put into a graveyard from the battlefield, create a 2/2 black Zombie creature token."
Desert of the True,0.0,None,['W'],None,['Land'],['Desert'],Common,HOU,None,None,None,"Desert of the True enters the battlefield tapped.\n{T}: Add {W}.\nCycling {1}{W} ({1}{W}, Discard this card: Draw a card.)"
Desert of the Mindful,0.0,None,['U'],None,['Land'],['Desert'],Common,HOU,None,None,None,"Desert of the Mindful enters the battlefield tapped.\n{T}: Add {U}.\nCycling {1}{U} ({1}{U}, Discard this card: Draw a card.)"
Banewhip Punisher,3.0,['Black'],['B'],None,['Creature'],"['Human', 'Warrior']",Uncommon,HOU,2,2,None,"When Banewhip Punisher enters the battlefield, you may put a -1/-1 counter on target creature.\n{B}, Sacrifice Banewhip Punisher: Destroy target creature that has a -1/-1 counter on it."
Desert of the Indomitable,0.0,None,['G'],None,['Land'],['Desert'],Common,HOU,None,None,None,"Desert of the Indomitable enters the battlefield tapped.\n{T}: Add {G}.\nCycling {1}{G} ({1}{G}, Discard this card: Draw a card.)"
Apocalypse Demon,6.0,['Black'],['B'],None,['Creature'],['Demon'],Rare,HOU,*,*,None,"Flying\nApocalypse Demon's power and toughness are each equal to the number of cards in your graveyard.\nAt the beginning of your upkeep, tap Apocalypse Demon unless you sacrifice another creature."
Ammit Eternal,3.0,['Black'],['B'],None,['Creature'],"['Zombie', 'Crocodile', 'Demon']",Rare,HOU,5,5,None,"Afflict 3 (Whenever this creature becomes blocked, defending player loses 3 life.)\nWhenever an opponent casts a spell, put a -1/-1 counter on Ammit Eternal.\nWhenever Ammit Eternal deals combat damage to a player, remove all -1/-1 counters from it."
Desert of the Glorified,0.0,None,['B'],None,['Land'],['Desert'],Common,HOU,None,None,None,"Desert of the Glorified enters the battlefield tapped.\n{T}: Add {B}.\nCycling {1}{B} ({1}{B}, Discard this card: Draw a card.)"
Accursed Horde,4.0,['Black'],['B'],None,['Creature'],['Zombie'],Uncommon,HOU,3,3,None,"{1}{B}: Target attacking Zombie gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it. If its toughness is 0 or less, it's still put into its owner's graveyard.)"
Desert of the Fervent,0.0,None,['R'],None,['Land'],['Desert'],Common,HOU,None,None,None,"Desert of the Fervent enters the battlefield tapped.\n{T}: Add {R}.\nCycling {1}{R} ({1}{R}, Discard this card: Draw a card.)"
Crypt of the Eternals,0.0,None,"['B', 'R', 'U']",None,['Land'],None,Uncommon,HOU,None,None,None,"When Crypt of the Eternals enters the battlefield, you gain 1 life.\n{T}: Add {C}.\n{1}, {T}: Add {U}, {B}, or {R}."
Wall of Forgotten Pharaohs,2.0,None,None,None,"['Artifact', 'Creature']",['Wall'],Common,HOU,0,4,None,Defender\n{T}: Wall of Forgotten Pharaohs deals 1 damage to target player or planeswalker. Activate only if you control a Desert or there is a Desert card in your graveyard.
Traveler's Amulet,1.0,None,None,None,['Artifact'],None,Common,HOU,None,None,None,"{1}, Sacrifice Traveler's Amulet: Search your library for a basic land card, reveal it, put it into your hand, then shuffle."
Sunset Pyramid,2.0,None,None,None,['Artifact'],None,Uncommon,HOU,None,None,None,"Sunset Pyramid enters the battlefield with three brick counters on it.\n{2}, {T}, Remove a brick counter from Sunset Pyramid: Draw a card.\n{2}, {T}: Scry 1."
Mirage Mirror,3.0,None,None,None,['Artifact'],None,Rare,HOU,None,None,None,"{2}: Mirage Mirror becomes a copy of target artifact, creature, enchantment, or land until end of turn."
Vizier of the Anointed,4.0,['Blue'],['U'],None,['Creature'],"['Human', 'Cleric']",Uncommon,HOU,2,4,None,"When Vizier of the Anointed enters the battlefield, you may search your library for a creature card with eternalize or embalm, put that card into your graveyard, then shuffle.\nWhenever you activate an eternalize or embalm ability, draw a card."
Manalith,3.0,None,None,None,['Artifact'],None,Common,HOU,None,None,None,{T}: Add one mana of any color.
Hollow One,5.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Rare,HOU,4,4,None,"This spell costs {2} less to cast for each card you've cycled or discarded this turn.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Unsummon,1.0,['Blue'],['U'],None,['Instant'],None,Common,HOU,None,None,None,Return target creature to its owner's hand.
Graven Abomination,3.0,None,None,None,"['Artifact', 'Creature']",['Horror'],Common,HOU,3,1,None,"Whenever Graven Abomination attacks, exile target card from defending player's graveyard."
Unquenchable Thirst,2.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Common,HOU,None,None,None,"Enchant creature\nWhen Unquenchable Thirst enters the battlefield, if you control a Desert or there is a Desert card in your graveyard, tap enchanted creature.\nEnchanted creature doesn't untap during its controller's untap step."
God-Pharaoh's Gift,7.0,None,None,None,['Artifact'],None,Rare,HOU,None,None,None,"At the beginning of combat on your turn, you may exile a creature card from your graveyard. If you do, create a token that's a copy of that card, except it's a 4/4 black Zombie. It gains haste until end of turn."
Dagger of the Worthy,2.0,None,None,None,['Artifact'],['Equipment'],Uncommon,HOU,None,None,None,"Equipped creature gets +2/+0 and has afflict 1. (Whenever it becomes blocked, defending player loses 1 life.)\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
"Unesh, Criosphinx Sovereign",6.0,['Blue'],['U'],['Legendary'],['Creature'],['Sphinx'],Mythic,HOU,4,4,None,"Flying\nSphinx spells you cast cost {2} less to cast.\nWhenever Unesh, Criosphinx Sovereign or another Sphinx enters the battlefield under your control, reveal the top four cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard."
Crook of Condemnation,2.0,None,None,None,['Artifact'],None,Uncommon,HOU,None,None,None,"{1}, {T}: Exile target card from a graveyard.\n{1}, Exile Crook of Condemnation: Exile all graveyards."
Tragic Lesson,3.0,['Blue'],['U'],None,['Instant'],None,Common,HOU,None,None,None,Draw two cards. Then discard a card unless you return a land you control to its owner's hand.
Abandoned Sarcophagus,3.0,None,None,None,['Artifact'],None,Rare,HOU,None,None,None,"You may cast spells that have a cycling ability from your graveyard.\nIf a card that has a cycling ability would be put into your graveyard from anywhere and it wasn't cycled, exile it instead."
