Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Jump,1.0,['Blue'],['U'],None,['Instant'],None,Common,LEA,None,None,None,Target creature gains flying until end of turn.
Invisibility,2.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Common,LEA,None,None,None,Enchant creature\nEnchanted creature can't be blocked except by Walls.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,LEA,None,None,None,({T}: Add {G}.)
Flight,1.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Common,LEA,None,None,None,Enchant creature\nEnchanted creature has flying.
Feedback,3.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Uncommon,LEA,None,None,None,"Enchant enchantment\nAt the beginning of the upkeep of enchanted enchantment's controller, Feedback deals 1 damage to that player."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,LEA,None,None,None,({T}: Add {G}.)
Drain Power,2.0,['Blue'],['U'],None,['Sorcery'],None,Rare,LEA,None,None,None,Target player activates a mana ability of each land they control. Then that player loses all unspent mana and you add the mana lost this way.
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,LEA,None,None,None,({T}: Add {R}.)
Creature Bond,2.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Common,LEA,None,None,None,"Enchant creature\nWhen enchanted creature dies, Creature Bond deals damage equal to that creature's toughness to the creature's controller."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,LEA,None,None,None,({T}: Add {R}.)
Counterspell,2.0,['Blue'],['U'],None,['Instant'],None,Uncommon,LEA,None,None,None,Counter target spell.
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,LEA,None,None,None,({T}: Add {B}.)
Copy Artifact,2.0,['Blue'],['U'],None,['Enchantment'],None,Rare,LEA,None,None,None,"You may have Copy Artifact enter the battlefield as a copy of any artifact on the battlefield, except it's an enchantment in addition to its other types."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,LEA,None,None,None,({T}: Add {B}.)
Control Magic,4.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Uncommon,LEA,None,None,None,Enchant creature\nYou control enchanted creature.
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,LEA,None,None,None,({T}: Add {U}.)
Clone,4.0,['Blue'],['U'],None,['Creature'],['Shapeshifter'],Uncommon,LEA,0,0,None,You may have Clone enter the battlefield as a copy of any creature on the battlefield.
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,LEA,None,None,None,({T}: Add {U}.)
Braingeyser,2.0,['Blue'],['U'],None,['Sorcery'],None,Rare,LEA,None,None,None,Target player draws X cards.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,LEA,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,LEA,None,None,None,({T}: Add {W}.)
Blue Elemental Blast,1.0,['Blue'],['U'],None,['Instant'],None,Common,LEA,None,None,None,Choose one —\n• Counter target red spell.\n• Destroy target red permanent.
Underground Sea,0.0,None,"['B', 'U']",None,['Land'],"['Island', 'Swamp']",Rare,LEA,None,None,None,({T}: Add {U} or {B}.)
Animate Artifact,4.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Uncommon,LEA,None,None,None,"Enchant artifact\nAs long as enchanted artifact isn't a creature, it's an artifact creature with power and toughness each equal to its mana value."
Tundra,0.0,None,"['U', 'W']",None,['Land'],"['Plains', 'Island']",Rare,LEA,None,None,None,({T}: Add {W} or {U}.)
Ancestral Recall,1.0,['Blue'],['U'],None,['Instant'],None,Rare,LEA,None,None,None,Target player draws three cards.
Tropical Island,0.0,None,"['G', 'U']",None,['Land'],"['Forest', 'Island']",Rare,LEA,None,None,None,({T}: Add {G} or {U}.)
Air Elemental,5.0,['Blue'],['U'],None,['Creature'],['Elemental'],Uncommon,LEA,4,4,None,Flying
Taiga,0.0,None,"['G', 'R']",None,['Land'],"['Mountain', 'Forest']",Rare,LEA,None,None,None,({T}: Add {R} or {G}.)
Scrubland,0.0,None,"['B', 'W']",None,['Land'],"['Plains', 'Swamp']",Rare,LEA,None,None,None,({T}: Add {W} or {B}.)
Savannah,0.0,None,"['G', 'W']",None,['Land'],"['Forest', 'Plains']",Rare,LEA,None,None,None,({T}: Add {G} or {W}.)
Wrath of God,4.0,['White'],['W'],None,['Sorcery'],None,Rare,LEA,None,None,None,Destroy all creatures. They can't be regenerated.
Plateau,0.0,None,"['R', 'W']",None,['Land'],"['Mountain', 'Plains']",Rare,LEA,None,None,None,({T}: Add {R} or {W}.)
Bayou,0.0,None,"['B', 'G']",None,['Land'],"['Swamp', 'Forest']",Rare,LEA,None,None,None,({T}: Add {B} or {G}.)
White Ward,1.0,['White'],['W'],None,['Enchantment'],['Aura'],Uncommon,LEA,None,None,None,Enchant creature\nEnchanted creature has protection from white. This effect doesn't remove White Ward.
Badlands,0.0,None,"['B', 'R']",None,['Land'],"['Swamp', 'Mountain']",Rare,LEA,None,None,None,({T}: Add {B} or {R}.)
White Knight,2.0,['White'],['W'],None,['Creature'],"['Human', 'Knight']",Uncommon,LEA,2,2,None,"First strike (This creature deals combat damage before creatures without first strike.)\nProtection from black (This creature can't be blocked, targeted, dealt damage, or enchanted by anything black.)"
Wooden Sphere,1.0,None,None,None,['Artifact'],None,Uncommon,LEA,None,None,None,"Whenever a player casts a green spell, you may pay {1}. If you do, you gain 1 life."
Wall of Swords,4.0,['White'],['W'],None,['Creature'],['Wall'],Uncommon,LEA,3,5,None,Defender (This creature can't attack.)\nFlying
Winter Orb,2.0,None,None,None,['Artifact'],None,Rare,LEA,None,None,None,"As long as Winter Orb is untapped, players can't untap more than one land during their untap steps."
Veteran Bodyguard,5.0,['White'],['W'],None,['Creature'],['Human'],Rare,LEA,2,5,None,"As long as Veteran Bodyguard is untapped, all damage that would be dealt to you by unblocked creatures is dealt to Veteran Bodyguard instead."
Time Vault,2.0,None,None,None,['Artifact'],None,Rare,LEA,None,None,None,"Time Vault enters the battlefield tapped.\nTime Vault doesn't untap during your untap step.\nIf you would begin your turn while Time Vault is tapped, you may skip that turn instead. If you do, untap Time Vault.\n{T}: Take an extra turn after this one."
Swords to Plowshares,1.0,['White'],['W'],None,['Instant'],None,Uncommon,LEA,None,None,None,Exile target creature. Its controller gains life equal to its power.
Serra Angel,5.0,['White'],['W'],None,['Creature'],['Angel'],Uncommon,LEA,4,4,None,"Flying, vigilance"
Throne of Bone,1.0,None,None,None,['Artifact'],None,Uncommon,LEA,None,None,None,"Whenever a player casts a black spell, you may pay {1}. If you do, you gain 1 life."
Savannah Lions,1.0,['White'],['W'],None,['Creature'],['Cat'],Rare,LEA,2,1,None,None
The Hive,5.0,None,None,None,['Artifact'],None,Rare,LEA,None,None,None,"{5}, {T}: Create a 1/1 colorless Insect artifact creature token with flying named Wasp. (It can't be blocked except by creatures with flying or reach.)"
Samite Healer,2.0,['White'],['W'],None,['Creature'],"['Human', 'Cleric']",Common,LEA,1,1,None,{T}: Prevent the next 1 damage that would be dealt to any target this turn.
Sunglasses of Urza,3.0,None,None,None,['Artifact'],None,Rare,LEA,None,None,None,You may spend white mana as though it were red mana.
Righteousness,1.0,['White'],['W'],None,['Instant'],None,Rare,LEA,None,None,None,Target blocking creature gets +7/+7 until end of turn.
Soul Net,1.0,None,None,None,['Artifact'],None,Uncommon,LEA,None,None,None,"Whenever a creature dies, you may pay {1}. If you do, you gain 1 life."
Reverse Damage,3.0,['White'],['W'],None,['Instant'],None,Rare,LEA,None,None,None,"The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way."
Sol Ring,1.0,None,None,None,['Artifact'],None,Uncommon,LEA,None,None,None,{T}: Add {C}{C}.
Resurrection,4.0,['White'],['W'],None,['Sorcery'],None,Uncommon,LEA,None,None,None,Return target creature card from your graveyard to the battlefield.
Rod of Ruin,4.0,None,None,None,['Artifact'],None,Uncommon,LEA,None,None,None,"{3}, {T}: Rod of Ruin deals 1 damage to any target."
Red Ward,1.0,['White'],['W'],None,['Enchantment'],['Aura'],Uncommon,LEA,None,None,None,Enchant creature\nEnchanted creature has protection from red. This effect doesn't remove Red Ward.
Power Surge,2.0,['Red'],['R'],None,['Enchantment'],None,Rare,LEA,None,None,None,"At the beginning of each player's upkeep, Power Surge deals X damage to that player, where X is the number of untapped lands they controlled at the beginning of this turn."
Obsianus Golem,6.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Uncommon,LEA,4,6,None,None
Orcish Oriflamme,4.0,['Red'],['R'],None,['Enchantment'],None,Uncommon,LEA,None,None,None,Attacking creatures you control get +1/+0.
Purelace,1.0,['White'],['W'],None,['Instant'],None,Rare,LEA,None,None,None,Target spell or permanent becomes white. (Mana symbols on that permanent remain unchanged.)
Orcish Artillery,3.0,['Red'],['R'],None,['Creature'],"['Orc', 'Warrior']",Uncommon,LEA,1,3,None,{T}: Orcish Artillery deals 2 damage to any target and 3 damage to you.
Nevinyrral's Disk,4.0,None,None,None,['Artifact'],None,Rare,LEA,None,None,None,"Nevinyrral's Disk enters the battlefield tapped.\n{1}, {T}: Destroy all artifacts, creatures, and enchantments."
Personal Incarnation,6.0,['White'],['W'],None,['Creature'],"['Avatar', 'Incarnation']",Rare,LEA,6,6,None,"{0}: The next 1 damage that would be dealt to Personal Incarnation this turn is dealt to its owner instead. Only Personal Incarnation's owner may activate this ability.\nWhen Personal Incarnation dies, its owner loses half their life, rounded up."
Mox Sapphire,0.0,None,['U'],None,['Artifact'],None,Rare,LEA,None,None,None,{T}: Add {U}.
Pearled Unicorn,3.0,['White'],['W'],None,['Creature'],['Unicorn'],Common,LEA,2,2,None,None
Mox Ruby,0.0,None,['R'],None,['Artifact'],None,Rare,LEA,None,None,None,{T}: Add {R}.
Northern Paladin,4.0,['White'],['W'],None,['Creature'],"['Human', 'Knight']",Rare,LEA,3,3,None,"{W}{W}, {T}: Destroy target black permanent."
Mox Pearl,0.0,None,['W'],None,['Artifact'],None,Rare,LEA,None,None,None,{T}: Add {W}.
Mesa Pegasus,2.0,['White'],['W'],None,['Creature'],['Pegasus'],Common,LEA,1,1,None,"Flying; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)"
Mox Jet,0.0,None,['B'],None,['Artifact'],None,Rare,LEA,None,None,None,{T}: Add {B}.
Lance,1.0,['White'],['W'],None,['Enchantment'],['Aura'],Uncommon,LEA,None,None,None,Enchant creature\nEnchanted creature has first strike.
Mox Emerald,0.0,None,['G'],None,['Artifact'],None,Rare,LEA,None,None,None,{T}: Add {G}.
Karma,4.0,['White'],['W'],None,['Enchantment'],None,Uncommon,LEA,None,None,None,"At the beginning of each player's upkeep, Karma deals damage to that player equal to the number of Swamps they control."
Mons's Goblin Raiders,1.0,['Red'],['R'],None,['Creature'],['Goblin'],Common,LEA,1,1,None,None
Meekstone,1.0,None,None,None,['Artifact'],None,Rare,LEA,None,None,None,Creatures with power 3 or greater don't untap during their controllers' untap steps.
Island Sanctuary,2.0,['White'],['W'],None,['Enchantment'],None,Rare,LEA,None,None,None,"If you would draw a card during your draw step, instead you may skip that draw. If you do, until your next turn, you can't be attacked except by creatures with flying and/or islandwalk."
Manabarbs,4.0,['Red'],['R'],None,['Enchantment'],None,Rare,LEA,None,None,None,"Whenever a player taps a land for mana, Manabarbs deals 1 damage to that player."
Mana Vault,1.0,None,None,None,['Artifact'],None,Rare,LEA,None,None,None,"Mana Vault doesn't untap during your untap step.\nAt the beginning of your upkeep, you may pay {4}. If you do, untap Mana Vault.\nAt the beginning of your draw step, if Mana Vault is tapped, it deals 1 damage to you.\n{T}: Add {C}{C}{C}."
Holy Strength,1.0,['White'],['W'],None,['Enchantment'],['Aura'],Common,LEA,None,None,None,Enchant creature\nEnchanted creature gets +1/+2.
Mana Flare,3.0,['Red'],['R'],None,['Enchantment'],None,Rare,LEA,None,None,None,"Whenever a player taps a land for mana, that player adds one mana of any type that land produced."
Living Wall,4.0,None,None,None,"['Artifact', 'Creature']",['Wall'],Uncommon,LEA,0,6,None,Defender (This creature can't attack.)\n{1}: Regenerate Living Wall.
Holy Armor,1.0,['White'],['W'],None,['Enchantment'],['Aura'],Common,LEA,None,None,None,Enchant creature\nEnchanted creature gets +0/+2.\n{W}: Enchanted creature gets +0/+1 until end of turn.
Lightning Bolt,1.0,['Red'],['R'],None,['Instant'],None,Common,LEA,None,None,None,Lightning Bolt deals 3 damage to any target.
Library of Leng,1.0,None,None,None,['Artifact'],None,Uncommon,LEA,None,None,None,"You have no maximum hand size.\nIf an effect causes you to discard a card, discard it, but you may put it on top of your library instead of into your graveyard."
Healing Salve,1.0,['White'],['W'],None,['Instant'],None,Common,LEA,None,None,None,Choose one —\n• Target player gains 3 life.\n• Prevent the next 3 damage that would be dealt to any target this turn.
Kormus Bell,4.0,None,None,None,['Artifact'],None,Rare,LEA,None,None,None,All Swamps are 1/1 black creatures that are still lands.
Guardian Angel,1.0,['White'],['W'],None,['Instant'],None,Common,LEA,None,None,None,"Prevent the next X damage that would be dealt to any target this turn. Until end of turn, you may pay {1} any time you could cast an instant. If you do, prevent the next 1 damage that would be dealt to that permanent or player this turn."
Keldon Warlord,4.0,['Red'],['R'],None,['Creature'],"['Human', 'Barbarian']",Uncommon,LEA,*,*,None,Keldon Warlord's power and toughness are each equal to the number of non-Wall creatures you control.
Juggernaut,4.0,None,None,None,"['Artifact', 'Creature']",['Juggernaut'],Uncommon,LEA,5,3,None,Juggernaut attacks each combat if able.\nJuggernaut can't be blocked by Walls.
Green Ward,1.0,['White'],['W'],None,['Enchantment'],['Aura'],Uncommon,LEA,None,None,None,Enchant creature\nEnchanted creature has protection from green. This effect doesn't remove Green Ward.
Ironclaw Orcs,2.0,['Red'],['R'],None,['Creature'],['Orc'],Common,LEA,2,2,None,Ironclaw Orcs can't block creatures with power 2 or greater.
Jayemdae Tome,4.0,None,None,None,['Artifact'],None,Rare,LEA,None,None,None,"{4}, {T}: Draw a card."
Farmstead,3.0,['White'],['W'],None,['Enchantment'],['Aura'],Rare,LEA,None,None,None,"Enchant land\nEnchanted land has ""At the beginning of your upkeep, you may pay {W}{W}. If you do, you gain 1 life."""
Jade Statue,4.0,None,None,None,['Artifact'],None,Uncommon,LEA,None,None,None,{2}: Jade Statue becomes a 3/6 Golem artifact creature until end of combat. Activate only during combat.
Disenchant,2.0,['White'],['W'],None,['Instant'],None,Common,LEA,None,None,None,Destroy target artifact or enchantment.
Jade Monolith,4.0,None,None,None,['Artifact'],None,Rare,LEA,None,None,None,"{1}: The next time a source of your choice would deal damage to target creature this turn, that source deals that damage to you instead."
Death Ward,1.0,['White'],['W'],None,['Instant'],None,Common,LEA,None,None,None,Regenerate target creature.
Ivory Cup,1.0,None,None,None,['Artifact'],None,Uncommon,LEA,None,None,None,"Whenever a player casts a white spell, you may pay {1}. If you do, you gain 1 life."
Armageddon,4.0,['White'],['W'],None,['Sorcery'],None,Rare,LEA,None,None,None,Destroy all lands.
Iron Star,1.0,None,None,None,['Artifact'],None,Uncommon,LEA,None,None,None,"Whenever a player casts a red spell, you may pay {1}. If you do, you gain 1 life."
Black Ward,1.0,['White'],['W'],None,['Enchantment'],['Aura'],Uncommon,LEA,None,None,None,Enchant creature\nEnchanted creature has protection from black. This effect doesn't remove Black Ward.
Hurloon Minotaur,3.0,['Red'],['R'],None,['Creature'],['Minotaur'],Common,LEA,2,3,None,None
Illusionary Mask,2.0,None,None,None,['Artifact'],None,Rare,LEA,None,None,None,"{X}: You may choose a creature card in your hand whose mana cost could be paid by some amount of, or all of, the mana you spent on {X}. If you do, you may cast that card face down as a 2/2 creature spell without paying its mana cost. If the creature that spell becomes as it resolves has not been turned face up and would assign or deal damage, be dealt damage, or become tapped, instead it's turned face up and assigns or deals damage, is dealt damage, or becomes tapped. Activate only as a sorcery."
Animate Wall,1.0,['White'],['W'],None,['Enchantment'],['Aura'],Rare,LEA,None,None,None,Enchant Wall\nEnchanted Wall can attack as though it didn't have defender.
Hill Giant,4.0,['Red'],['R'],None,['Creature'],['Giant'],Common,LEA,3,3,None,None
Icy Manipulator,4.0,None,None,None,['Artifact'],None,Uncommon,LEA,None,None,None,"{1}, {T}: Tap target artifact, creature, or land."
Gray Ogre,3.0,['Red'],['R'],None,['Creature'],['Ogre'],Common,LEA,2,2,None,None
Howling Mine,2.0,None,None,None,['Artifact'],None,Rare,LEA,None,None,None,"At the beginning of each player's draw step, if Howling Mine is untapped, that player draws an additional card."
