Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Rod of Ruin,4.0,None,None,None,['Artifact'],None,Uncommon,M10,None,None,None,"{3}, {T}: Rod of Ruin deals 1 damage to any target."
Kraken's Eye,2.0,None,None,None,['Artifact'],None,Uncommon,M10,None,None,None,"Whenever a player casts a blue spell, you may gain 1 life."
Platinum Angel,7.0,None,None,None,"['Artifact', 'Creature']",['Angel'],Mythic,M10,4,4,None,Flying\nYou can't lose the game and your opponents can't win the game.
Pithing Needle,1.0,None,None,None,['Artifact'],None,Rare,M10,None,None,None,"As Pithing Needle enters the battlefield, choose a card name.\nActivated abilities of sources with the chosen name can't be activated unless they're mana abilities."
Mirror of Fate,5.0,None,None,None,['Artifact'],None,Rare,M10,None,None,None,"{T}, Sacrifice Mirror of Fate: Choose up to seven face-up exiled cards you own. Exile all the cards from your library, then put the chosen cards on top of your library."
Ornithopter,0.0,None,None,None,"['Artifact', 'Creature']",['Thopter'],Uncommon,M10,0,2,None,Flying
Magebane Armor,3.0,None,None,None,['Artifact'],['Equipment'],Rare,M10,None,None,None,Equipped creature gets +2/+4 and loses flying.\nPrevent all noncombat damage that would be dealt to equipped creature.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)
Howling Mine,2.0,None,None,None,['Artifact'],None,Rare,M10,None,None,None,"At the beginning of each player's draw step, if Howling Mine is untapped, that player draws an additional card."
Gorgon Flail,2.0,None,None,None,['Artifact'],['Equipment'],Uncommon,M10,None,None,None,Equipped creature gets +1/+1 and has deathtouch. (Any amount of damage it deals to a creature is enough to destroy that creature.)\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)
Dragon's Claw,2.0,None,None,None,['Artifact'],None,Uncommon,M10,None,None,None,"Whenever a player casts a red spell, you may gain 1 life."
Coat of Arms,5.0,None,None,None,['Artifact'],None,Rare,M10,None,None,None,"Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. (For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)"
Demon's Horn,2.0,None,None,None,['Artifact'],None,Uncommon,M10,None,None,None,"Whenever a player casts a black spell, you may gain 1 life."
Darksteel Colossus,11.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Mythic,M10,11,11,None,"Trample, indestructible\nIf Darksteel Colossus would be put into a graveyard from anywhere, reveal Darksteel Colossus and shuffle it into its owner's library instead."
Runeclaw Bear,2.0,['Green'],['G'],None,['Creature'],['Bear'],Common,M10,2,2,None,None
Rampant Growth,2.0,['Green'],['G'],None,['Sorcery'],None,Common,M10,None,None,None,"Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Angel's Feather,2.0,None,None,None,['Artifact'],None,Uncommon,M10,None,None,None,"Whenever a player casts a white spell, you may gain 1 life."
Windstorm,1.0,['Green'],['G'],None,['Instant'],None,Uncommon,M10,None,None,None,Windstorm deals X damage to each creature with flying.
Stampeding Rhino,5.0,['Green'],['G'],None,['Creature'],['Rhino'],Common,M10,4,4,None,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Protean Hydra,1.0,['Green'],['G'],None,['Creature'],['Hydra'],Mythic,M10,0,0,None,"Protean Hydra enters the battlefield with X +1/+1 counters on it.\nIf damage would be dealt to Protean Hydra, prevent that damage and remove that many +1/+1 counters from it.\nWhenever a +1/+1 counter is removed from Protean Hydra, put two +1/+1 counters on it at the beginning of the next end step."
Prized Unicorn,4.0,['Green'],['G'],None,['Creature'],['Unicorn'],Uncommon,M10,2,2,None,All creatures able to block Prized Unicorn do so.
Overrun,5.0,['Green'],['G'],None,['Sorcery'],None,Uncommon,M10,None,None,None,Creatures you control get +3/+3 and gain trample until end of turn.
Oakenform,3.0,['Green'],['G'],None,['Enchantment'],['Aura'],Common,M10,None,None,None,Enchant creature\nEnchanted creature gets +3/+3.
Nature's Spiral,2.0,['Green'],['G'],None,['Sorcery'],None,Uncommon,M10,None,None,None,Return target permanent card from your graveyard to your hand.
Naturalize,2.0,['Green'],['G'],None,['Instant'],None,Common,M10,None,None,None,Destroy target artifact or enchantment.
Mold Adder,1.0,['Green'],['G'],None,['Creature'],"['Fungus', 'Snake']",Uncommon,M10,1,1,None,"Whenever an opponent casts a blue or black spell, you may put a +1/+1 counter on Mold Adder."
Regenerate,2.0,['Green'],['G'],None,['Instant'],None,Common,M10,None,None,None,"Regenerate target creature. (The next time that creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
Mist Leopard,4.0,['Green'],['G'],None,['Creature'],['Cat'],Common,M10,3,2,None,Shroud (This creature can't be the target of spells or abilities.)
Might of Oaks,4.0,['Green'],['G'],None,['Instant'],None,Rare,M10,None,None,None,Target creature gets +7/+7 until end of turn.
